# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	110	706	+							ENM59_01715	597		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	110	706	+	HHR27180.1			hypothetical protein			ENM59_01715	597	198	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	716	1351	+							ENM59_01720	636		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	716	1351	+	HHR27181.1			hypothetical protein			ENM59_01720	636	211	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	1385	1714	+							ENM59_01725	330		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	1385	1714	+	HHR27182.1			hypothetical protein			ENM59_01725	330	109	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	1707	1970	+							ENM59_01730	264		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	1707	1970	+	HHR27183.1			hypothetical protein			ENM59_01730	264	87	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	1967	2239	+							ENM59_01735	273		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	1967	2239	+	HHR27184.1			hypothetical protein			ENM59_01735	273	90	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	2361	3386	+							ENM59_01740	1026		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	2361	3386	+	HHR27185.1			hypothetical protein			ENM59_01740	1026	341	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	3723	5579	+							ENM59_01745	1857		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	3723	5579	+	HHR27186.1			hypothetical protein			ENM59_01745	1857	618	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	5576	6172	+							ENM59_01750	597		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	5576	6172	+	HHR27187.1			hypothetical protein			ENM59_01750	597	198	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	6186	6407	+							ENM59_01755	222		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	6186	6407	+	HHR27188.1			hypothetical protein			ENM59_01755	222	73	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	6409	6888	+							ENM59_01760	480		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	6409	6888	+	HHR27189.1			hypothetical protein			ENM59_01760	480	159	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	7117	7449	+							ENM59_01765	333		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	7117	7449	+	HHR27190.1			hypothetical protein			ENM59_01765	333	110	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	7685	8212	+							ENM59_01770	528		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	7685	8212	+	HHR27191.1			hypothetical protein			ENM59_01770	528	175	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	8242	15849	+							ENM59_01775	7608		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	8242	15849	+	HHR27192.1			DUF2341 domain-containing protein			ENM59_01775	7608	2535	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	16025	17875	+							ENM59_01780	1851		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	16025	17875	+	HHR27193.1			PEGA domain-containing protein			ENM59_01780	1851	616	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	17880	18980	+							ENM59_01785	1101		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	17880	18980	+	HHR27194.1			hypothetical protein			ENM59_01785	1101	366	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	18977	19162	+							ENM59_01790	186		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	18977	19162	+	HHR27195.1			hypothetical protein			ENM59_01790	186	61	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	19159	19653	+							ENM59_01795	495		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	19159	19653	+	HHR27196.1			hypothetical protein			ENM59_01795	495	164	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	19653	19958	+							ENM59_01800	306		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	19653	19958	+	HHR27197.1			hypothetical protein			ENM59_01800	306	101	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	19968	20285	+							ENM59_01805	318		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	19968	20285	+	HHR27198.1			hypothetical protein			ENM59_01805	318	105	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	20307	20576	+							ENM59_01810	270		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	20307	20576	+	HHR27199.1			hypothetical protein			ENM59_01810	270	89	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	20874	21347	+							ENM59_01815	474		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	20874	21347	+	HHR27200.1			hypothetical protein			ENM59_01815	474	157	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	21319	21579	-							ENM59_01820	261		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	21319	21579	-	HHR27201.1			ArsR family transcriptional regulator			ENM59_01820	261	86	
gene	protein_coding	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	21748	22014	+							ENM59_01825	267		
CDS	with_protein	GCA_011380245.1	Primary Assembly	unplaced scaffold		DRYJ01000053.1	21748	22014	+	HHR27202.1			hypothetical protein			ENM59_01825	267	88	
