# Assembly name:  ASM1138024v1
# Organism name:  Candidatus Bathyarchaeota archaeon (archaea)
# Isolate:  SpSt-11
# Taxid:          2026714
# BioSample:      SAMN09639006
# BioProject:     PRJNA480137
# Submitter:      The University of Hong Kong
# Date:           2020-03-17
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    DRYJ01
# Assembly method: MEGAHIT v. 1.1.2
# Expected final version: yes
# Genome coverage: 14.81x
# Sequencing technology: Illumina Genome Analyzer II
# Excluded from RefSeq: derived from metagenome; genus undefined
# GenBank assembly accession: GCA_011380245.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011380265.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Ga0065719_100268	unplaced-scaffold	na	na	DRYJ01000053.1	<>	na	Primary Assembly	26098	na
Ga0065719_100918	unplaced-scaffold	na	na	DRYJ01000212.1	<>	na	Primary Assembly	11961	na
Ga0065719_101100	unplaced-scaffold	na	na	DRYJ01000021.1	<>	na	Primary Assembly	3751	na
Ga0065719_101918	unplaced-scaffold	na	na	DRYJ01000049.1	<>	na	Primary Assembly	11098	na
Ga0065719_103997	unplaced-scaffold	na	na	DRYJ01000074.1	<>	na	Primary Assembly	9727	na
Ga0065719_104397	unplaced-scaffold	na	na	DRYJ01000096.1	<>	na	Primary Assembly	3450	na
Ga0065719_105055	unplaced-scaffold	na	na	DRYJ01000022.1	<>	na	Primary Assembly	7295	na
Ga0065719_106618	unplaced-scaffold	na	na	DRYJ01000139.1	<>	na	Primary Assembly	29394	na
Ga0065719_106632	unplaced-scaffold	na	na	DRYJ01000061.1	<>	na	Primary Assembly	23939	na
Ga0065719_106692	unplaced-scaffold	na	na	DRYJ01000015.1	<>	na	Primary Assembly	19935	na
Ga0065719_106694	unplaced-scaffold	na	na	DRYJ01000018.1	<>	na	Primary Assembly	16975	na
Ga0065719_106801	unplaced-scaffold	na	na	DRYJ01000104.1	<>	na	Primary Assembly	17865	na
Ga0065719_106812	unplaced-scaffold	na	na	DRYJ01000137.1	<>	na	Primary Assembly	10471	na
Ga0065719_106825	unplaced-scaffold	na	na	DRYJ01000046.1	<>	na	Primary Assembly	11624	na
Ga0065719_106856	unplaced-scaffold	na	na	DRYJ01000020.1	<>	na	Primary Assembly	9390	na
Ga0065719_106868	unplaced-scaffold	na	na	DRYJ01000160.1	<>	na	Primary Assembly	11529	na
Ga0065719_106871	unplaced-scaffold	na	na	DRYJ01000011.1	<>	na	Primary Assembly	8952	na
Ga0065719_106883	unplaced-scaffold	na	na	DRYJ01000115.1	<>	na	Primary Assembly	9701	na
Ga0065719_106959	unplaced-scaffold	na	na	DRYJ01000136.1	<>	na	Primary Assembly	10393	na
Ga0065719_106985	unplaced-scaffold	na	na	DRYJ01000029.1	<>	na	Primary Assembly	8554	na
Ga0065719_107004	unplaced-scaffold	na	na	DRYJ01000106.1	<>	na	Primary Assembly	7409	na
Ga0065719_107048	unplaced-scaffold	na	na	DRYJ01000228.1	<>	na	Primary Assembly	7362	na
Ga0065719_107092	unplaced-scaffold	na	na	DRYJ01000084.1	<>	na	Primary Assembly	5766	na
Ga0065719_107099	unplaced-scaffold	na	na	DRYJ01000082.1	<>	na	Primary Assembly	8059	na
Ga0065719_107103	unplaced-scaffold	na	na	DRYJ01000159.1	<>	na	Primary Assembly	5614	na
Ga0065719_107129	unplaced-scaffold	na	na	DRYJ01000220.1	<>	na	Primary Assembly	7547	na
Ga0065719_107144	unplaced-scaffold	na	na	DRYJ01000048.1	<>	na	Primary Assembly	5588	na
Ga0065719_107150	unplaced-scaffold	na	na	DRYJ01000076.1	<>	na	Primary Assembly	5173	na
Ga0065719_107248	unplaced-scaffold	na	na	DRYJ01000100.1	<>	na	Primary Assembly	7433	na
Ga0065719_107304	unplaced-scaffold	na	na	DRYJ01000055.1	<>	na	Primary Assembly	6909	na
Ga0065719_107310	unplaced-scaffold	na	na	DRYJ01000080.1	<>	na	Primary Assembly	4900	na
Ga0065719_107312	unplaced-scaffold	na	na	DRYJ01000034.1	<>	na	Primary Assembly	4101	na
Ga0065719_107320	unplaced-scaffold	na	na	DRYJ01000219.1	<>	na	Primary Assembly	6924	na
Ga0065719_107375	unplaced-scaffold	na	na	DRYJ01000134.1	<>	na	Primary Assembly	7302	na
Ga0065719_107430	unplaced-scaffold	na	na	DRYJ01000003.1	<>	na	Primary Assembly	6846	na
Ga0065719_107470	unplaced-scaffold	na	na	DRYJ01000141.1	<>	na	Primary Assembly	3419	na
Ga0065719_107585	unplaced-scaffold	na	na	DRYJ01000163.1	<>	na	Primary Assembly	3677	na
Ga0065719_107598	unplaced-scaffold	na	na	DRYJ01000194.1	<>	na	Primary Assembly	2993	na
Ga0065719_107599	unplaced-scaffold	na	na	DRYJ01000193.1	<>	na	Primary Assembly	5417	na
Ga0065719_107671	unplaced-scaffold	na	na	DRYJ01000056.1	<>	na	Primary Assembly	3315	na
Ga0065719_107731	unplaced-scaffold	na	na	DRYJ01000167.1	<>	na	Primary Assembly	4148	na
Ga0065719_107751	unplaced-scaffold	na	na	DRYJ01000089.1	<>	na	Primary Assembly	2782	na
Ga0065719_107853	unplaced-scaffold	na	na	DRYJ01000099.1	<>	na	Primary Assembly	2568	na
Ga0065719_107877	unplaced-scaffold	na	na	DRYJ01000038.1	<>	na	Primary Assembly	2960	na
Ga0065719_107922	unplaced-scaffold	na	na	DRYJ01000124.1	<>	na	Primary Assembly	3693	na
Ga0065719_107933	unplaced-scaffold	na	na	DRYJ01000155.1	<>	na	Primary Assembly	3276	na
Ga0065719_108072	unplaced-scaffold	na	na	DRYJ01000105.1	<>	na	Primary Assembly	2589	na
Ga0065719_108246	unplaced-scaffold	na	na	DRYJ01000033.1	<>	na	Primary Assembly	2799	na
Ga0065719_108308	unplaced-scaffold	na	na	DRYJ01000179.1	<>	na	Primary Assembly	3223	na
Ga0065719_108456	unplaced-scaffold	na	na	DRYJ01000077.1	<>	na	Primary Assembly	2931	na
Ga0065719_108512	unplaced-scaffold	na	na	DRYJ01000075.1	<>	na	Primary Assembly	2673	na
Ga0065719_116293	unplaced-scaffold	na	na	DRYJ01000192.1	<>	na	Primary Assembly	31862	na
Ga0065719_116295	unplaced-scaffold	na	na	DRYJ01000191.1	<>	na	Primary Assembly	22187	na
Ga0065719_116296	unplaced-scaffold	na	na	DRYJ01000189.1	<>	na	Primary Assembly	21969	na
Ga0065719_116298	unplaced-scaffold	na	na	DRYJ01000195.1	<>	na	Primary Assembly	19752	na
Ga0065719_116299	unplaced-scaffold	na	na	DRYJ01000196.1	<>	na	Primary Assembly	19656	na
Ga0065719_116301	unplaced-scaffold	na	na	DRYJ01000057.1	<>	na	Primary Assembly	17852	na
Ga0065719_116307	unplaced-scaffold	na	na	DRYJ01000060.1	<>	na	Primary Assembly	15401	na
