# Assembly name:  ASM364492v1
# Organism name:  Candidatus Fermentibacteria bacterium (bacteria)
# Isolate:  B22_G4
# Taxid:          2044591
# BioSample:      SAMN09215099
# BioProject:     PRJNA362212
# Submitter:      The University of Texas at Austin
# Date:           2018-10-15
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    QNDS01
# Assembly method: megahit v. 1.0.6
# Expected final version: yes
# Genome coverage: 16.3028455284553x
# Sequencing technology: Illumina HiSeq
# Excluded from RefSeq: derived from metagenome; genus undefined
# GenBank assembly accession: GCA_003644925.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003644965.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
B22_Guay4_scaffold_00191	unplaced-scaffold	na	na	QNDS01000001.1	<>	na	Primary Assembly	44372	na
B22_Guay4_scaffold_00250	unplaced-scaffold	na	na	QNDS01000002.1	<>	na	Primary Assembly	40684	na
B22_Guay4_scaffold_00308	unplaced-scaffold	na	na	QNDS01000003.1	<>	na	Primary Assembly	37420	na
B22_Guay4_scaffold_00324	unplaced-scaffold	na	na	QNDS01000004.1	<>	na	Primary Assembly	36761	na
B22_Guay4_scaffold_00356	unplaced-scaffold	na	na	QNDS01000005.1	<>	na	Primary Assembly	35898	na
B22_Guay4_scaffold_00373	unplaced-scaffold	na	na	QNDS01000006.1	<>	na	Primary Assembly	35233	na
B22_Guay4_scaffold_00423	unplaced-scaffold	na	na	QNDS01000007.1	<>	na	Primary Assembly	33419	na
B22_Guay4_scaffold_00439	unplaced-scaffold	na	na	QNDS01000008.1	<>	na	Primary Assembly	33110	na
B22_Guay4_scaffold_00471	unplaced-scaffold	na	na	QNDS01000009.1	<>	na	Primary Assembly	32411	na
B22_Guay4_scaffold_00487	unplaced-scaffold	na	na	QNDS01000010.1	<>	na	Primary Assembly	32070	na
