# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	1	537	+							DRQ25_00005	537		partial
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	1	537	+	RKZ11231.1			NAD(P)H-hydrate dehydratase			DRQ25_00005	537	178	partial
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	527	1081	+							DRQ25_00010	555		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	527	1081	+	RKZ11232.1			HD family phosphohydrolase			DRQ25_00010	555	184	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	1095	1676	-							DRQ25_00015	582		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	1095	1676	-	RKZ11233.1			indolepyruvate oxidoreductase subunit beta			DRQ25_00015	582	193	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	1673	3457	-					iorA		DRQ25_00020	1785		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	1673	3457	-	RKZ11234.1			indolepyruvate ferredoxin oxidoreductase subunit alpha	iorA		DRQ25_00020	1785	594	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	3474	4556	-					buk		DRQ25_00025	1083		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	3474	4556	-	RKZ11235.1			butyrate kinase	buk		DRQ25_00025	1083	360	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	4549	5451	-							DRQ25_00030	903		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	4549	5451	-	RKZ11236.1			phosphate butyryltransferase			DRQ25_00030	903	300	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	5608	6309	+							DRQ25_00035	702		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	5608	6309	+	RKZ11237.1			hypothetical protein			DRQ25_00035	702	233	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	6306	6884	+							DRQ25_00040	579		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	6306	6884	+	RKZ11238.1			hypothetical protein			DRQ25_00040	579	192	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	7314	10286	+							DRQ25_00045	2973		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	7314	10286	+	RKZ11239.1			hypothetical protein			DRQ25_00045	2973	990	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	10344	10511	-							DRQ25_00050	168		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	10344	10511	-	RKZ11240.1			ferredoxin			DRQ25_00050	168	55	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	10622	11476	-							DRQ25_00055	855		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	10622	11476	-	RKZ11241.1			hypothetical protein			DRQ25_00055	855	284	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	11473	12234	-							DRQ25_00060	762		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	11473	12234	-	RKZ11242.1			hypothetical protein			DRQ25_00060	762	253	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	12305	12919	-					rsmG		DRQ25_00065	615		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	12305	12919	-	RKZ11243.1			16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		DRQ25_00065	615	204	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	12916	14721	-							DRQ25_00070	1806		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	12916	14721	-	RKZ11244.1			tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG			DRQ25_00070	1806	601	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	14718	15968	-							DRQ25_00075	1251		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	14718	15968	-	RKZ11245.1			hypothetical protein			DRQ25_00075	1251	416	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	16017	17606	-							DRQ25_00080	1590		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	16017	17606	-	RKZ11246.1			hypothetical protein			DRQ25_00080	1590	529	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	17603	17866	-							DRQ25_00085	264		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	17603	17866	-	RKZ11247.1			membrane protein insertion efficiency factor YidD			DRQ25_00085	264	87	
gene	protein_coding	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	17879	18352	-					rnpA		DRQ25_00090	474		
CDS	with_protein	GCA_003644925.1	Primary Assembly	unplaced scaffold		QNDS01000001.1	17879	18352	-	RKZ11248.1			ribonuclease P protein component	rnpA		DRQ25_00090	474	157	
