homolog_group	Halogeometricum_borinquense_strain_wsp4	Halobonum_sp_NJ-3-1	ga0207718_100100	jgi12330j12834_1000008	Natrinema_altunense_strain_AJ2	Halovivax_sp_KZCA124	Haloterrigena_sp_SYSU_A121-1	Haloplanus_natans_DSM_17983	Haloferax_sp_Q22	ga0207719_100190	ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_25.faa	.	.	ORF_2660_ga0207718_100100	ORF_2889_jgi12330j12834_1000008	.	ORF_508_Halovivax_sp_KZCA124	ORF_381_Haloterrigena_sp_SYSU_A121-1	ORF_2192_Haloplanus_natans_DSM_17983	ORF_1207_Haloferax_sp_Q22	ORF_1219_ga0207719_100190	ORF_374_ga0207733_100382
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/43895_NZ_CP071597.1_2668_expanded.faa	ORF_1098_Halogeometricum_borinquense_strain_wsp4	ORF_1096_Halobonum_sp_NJ-3-1	.	.	.	ORF_2668_Halovivax_sp_KZCA124	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91260_Ga0222658_1000332_127_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/36629_DQXS01000079.1_358_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/84261_Ga0207718_100100_2313_expanded.faa	.	.	ORF_2313_ga0207718_100100	ORF_2530_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/91289_Ga0222658_1000332_156_expanded.faa	.	.	.	.	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/83458_Ga0207718_100100_1510_expanded.faa	.	.	ORF_1510_ga0207718_100100	ORF_1532_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/53296_CP058579_1854_expanded.faa	.	ORF_1854_Halobonum_sp_NJ-3-1	.	ORF_9_jgi12330j12834_1000008	.	.	.	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_12.faa	.	.	.	.	.	ORF_642_Halovivax_sp_KZCA124	ORF_1594_Haloterrigena_sp_SYSU_A121-1	.	.	.	.
../results/homolog_groups_expansion_and_collapse/results/connected_groups_filtered_splitted_arCOGs/fastas/protein/CG_12.faa	.	.	.	.	.	ORF_2063_Halovivax_sp_KZCA124	ORF_1594_Haloterrigena_sp_SYSU_A121-1	.	.	.	.
