Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300026961 assembled Ga0207715_1001021	CDS	Ga0207715_1001021	ATP-dependent Lhr-like helicase	3	971	+	
3300026961 assembled Ga0207715_10010210	CDS	Ga0207715_10010210	pimeloyl-ACP methyl ester carboxylesterase	7443	8447	+	
3300026961 assembled Ga0207715_10010211	CDS	Ga0207715_10010211	uncharacterized protein DUF3459	8468	8989	-	
3300026961 assembled Ga0207715_10010212	CDS	Ga0207715_10010212	glycosidase	9020	10663	-	
3300026961 assembled Ga0207715_10010213	CDS	Ga0207715_10010213	cysteine synthase A	10770	11801	-	
3300026961 assembled Ga0207715_10010214	CDS	Ga0207715_10010214	thiol-disulfide isomerase/thioredoxin	11950	12333	+	
3300026961 assembled Ga0207715_10010215	CDS	Ga0207715_10010215	hypothetical protein	12348	12791	-	
3300026961 assembled Ga0207715_10010216	CDS	Ga0207715_10010216	hypothetical protein	12992	13720	+	
3300026961 assembled Ga0207715_10010217	CDS	Ga0207715_10010217	predicted metal-dependent phosphoesterase TrpH	13781	14521	-	
3300026961 assembled Ga0207715_10010218	CDS	Ga0207715_10010218	hypothetical protein	14775	15524	+	
3300026961 assembled Ga0207715_10010219	CDS	Ga0207715_10010219	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase in catechol pathway	15539	16270	-	
3300026961 assembled Ga0207715_1001022	CDS	Ga0207715_1001022	septum site-determining protein MinD	1014	1667	+	
3300026961 assembled Ga0207715_10010220	CDS	Ga0207715_10010220	integrase	16712	17812	+	
3300026961 assembled Ga0207715_10010221	CDS	Ga0207715_10010221	hypothetical protein	17893	18792	+	
3300026961 assembled Ga0207715_10010222	tRNA	Ga0207715_10010222	tRNA_Glu_TTC	18957	19031	+	
3300026961 assembled Ga0207715_10010223	CDS	Ga0207715_10010223	hypothetical protein	19179	19493	-	
3300026961 assembled Ga0207715_10010224	CDS	Ga0207715_10010224	predicted DNA binding protein/PAS domain-containing protein/PAS domain-containing protein/PAS domain-containing protein/GAF domain-containing protein/PAS domain-containing protein	19737	24101	+	
3300026961 assembled Ga0207715_10010225	tRNA	Ga0207715_10010225	tRNA_Lys_CTT	24228	24301	+	
