Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300000868 assembled JGI12330J12834_10000081	CDS	JGI12330J12834_10000081	hypothetical protein	3	176	+	
3300000868 assembled JGI12330J12834_100000810	CDS	JGI12330J12834_100000810	hypothetical protein	7192	8625	+	
3300000868 assembled JGI12330J12834_1000008100	CDS	JGI12330J12834_1000008100	hypothetical protein	71318	72010	+	
3300000868 assembled JGI12330J12834_1000008101	CDS	JGI12330J12834_1000008101	hypothetical protein	72007	72807	+	
3300000868 assembled JGI12330J12834_1000008102	CDS	JGI12330J12834_1000008102	hypothetical protein	72811	73209	+	
3300000868 assembled JGI12330J12834_1000008103	CDS	JGI12330J12834_1000008103	hypothetical protein	73243	73476	+	
3300000868 assembled JGI12330J12834_1000008104	CDS	JGI12330J12834_1000008104	Predicted ATPase	73479	75521	+	
3300000868 assembled JGI12330J12834_1000008105	CDS	JGI12330J12834_1000008105	hypothetical protein	75518	76066	-	
3300000868 assembled JGI12330J12834_1000008106	CDS	JGI12330J12834_1000008106	PKD domain	76224	77507	-	
3300000868 assembled JGI12330J12834_1000008107	CDS	JGI12330J12834_1000008107	Transposase and inactivated derivatives	78031	79044	-	
3300000868 assembled JGI12330J12834_1000008108	CDS	JGI12330J12834_1000008108	hypothetical protein	79717	80256	+	
3300000868 assembled JGI12330J12834_1000008109	CDS	JGI12330J12834_1000008109	hypothetical protein	80348	80839	+	
3300000868 assembled JGI12330J12834_100000811	CDS	JGI12330J12834_100000811	hypothetical protein	8630	8887	-	
3300000868 assembled JGI12330J12834_1000008110	CDS	JGI12330J12834_1000008110	hypothetical protein	81140	81292	-	
3300000868 assembled JGI12330J12834_1000008111	CDS	JGI12330J12834_1000008111	hypothetical protein	81371	82777	+	
3300000868 assembled JGI12330J12834_1000008112	CDS	JGI12330J12834_1000008112	hypothetical protein	82774	83535	-	
3300000868 assembled JGI12330J12834_1000008113	CDS	JGI12330J12834_1000008113	hypothetical protein	83654	84094	+	
3300000868 assembled JGI12330J12834_1000008114	CDS	JGI12330J12834_1000008114	hypothetical protein	84091	84303	+	
3300000868 assembled JGI12330J12834_1000008115	CDS	JGI12330J12834_1000008115	hypothetical protein	84307	84867	-	
3300000868 assembled JGI12330J12834_1000008116	CDS	JGI12330J12834_1000008116	ATPases of the AAA+ class	84871	85782	-	
3300000868 assembled JGI12330J12834_1000008117	CDS	JGI12330J12834_1000008117	hypothetical protein	85846	86145	+	
3300000868 assembled JGI12330J12834_1000008118	CDS	JGI12330J12834_1000008118	hypothetical protein	86142	86702	-	
3300000868 assembled JGI12330J12834_1000008119	CDS	JGI12330J12834_1000008119	hypothetical protein	86699	87277	-	
3300000868 assembled JGI12330J12834_100000812	CDS	JGI12330J12834_100000812	hypothetical protein	8892	15140	-	
3300000868 assembled JGI12330J12834_1000008120	CDS	JGI12330J12834_1000008120	hypothetical protein	87490	88599	+	
3300000868 assembled JGI12330J12834_1000008121	CDS	JGI12330J12834_1000008121	hypothetical protein	88660	88971	+	
3300000868 assembled JGI12330J12834_1000008122	CDS	JGI12330J12834_1000008122	hypothetical protein	89260	89472	+	
3300000868 assembled JGI12330J12834_1000008123	CDS	JGI12330J12834_1000008123	hypothetical protein	89472	89624	+	
3300000868 assembled JGI12330J12834_1000008124	CDS	JGI12330J12834_1000008124	hypothetical protein	89621	89953	+	
3300000868 assembled JGI12330J12834_1000008125	CDS	JGI12330J12834_1000008125	hypothetical protein	89931	90164	+	
3300000868 assembled JGI12330J12834_1000008126	CDS	JGI12330J12834_1000008126	hypothetical protein	90161	90424	+	
3300000868 assembled JGI12330J12834_1000008127	CDS	JGI12330J12834_1000008127	hypothetical protein	90446	91135	+	
3300000868 assembled JGI12330J12834_1000008128	CDS	JGI12330J12834_1000008128	hypothetical protein	91531	91869	+	
3300000868 assembled JGI12330J12834_1000008129	CDS	JGI12330J12834_1000008129	hypothetical protein	91878	92063	+	
3300000868 assembled JGI12330J12834_100000813	CDS	JGI12330J12834_100000813	hypothetical protein	15207	15761	-	
3300000868 assembled JGI12330J12834_1000008130	CDS	JGI12330J12834_1000008130	hypothetical protein	92154	92687	+	
3300000868 assembled JGI12330J12834_1000008131	CDS	JGI12330J12834_1000008131	hypothetical protein	92694	92792	+	
3300000868 assembled JGI12330J12834_1000008132	CDS	JGI12330J12834_1000008132	hypothetical protein	92853	93110	+	
3300000868 assembled JGI12330J12834_1000008133	CDS	JGI12330J12834_1000008133	hypothetical protein	93099	93482	-	
3300000868 assembled JGI12330J12834_1000008134	CDS	JGI12330J12834_1000008134	hypothetical protein	93587	93820	-	
3300000868 assembled JGI12330J12834_1000008135	CDS	JGI12330J12834_1000008135	hypothetical protein	93851	94693	-	
3300000868 assembled JGI12330J12834_1000008136	CDS	JGI12330J12834_1000008136	hypothetical protein	94814	94999	-	
3300000868 assembled JGI12330J12834_1000008137	CDS	JGI12330J12834_1000008137	hypothetical protein	94996	95172	-	
3300000868 assembled JGI12330J12834_1000008138	CDS	JGI12330J12834_1000008138	Predicted phosphoesterase - COG0622	95432	96118	-	
3300000868 assembled JGI12330J12834_1000008139	CDS	JGI12330J12834_1000008139	Site-specific recombinase XerD	96195	97244	-	
3300000868 assembled JGI12330J12834_100000814	CDS	JGI12330J12834_100000814	hypothetical protein	15765	16640	-	
3300000868 assembled JGI12330J12834_1000008140	CDS	JGI12330J12834_1000008140	hypothetical protein	97245	97742	-	
3300000868 assembled JGI12330J12834_100000815	CDS	JGI12330J12834_100000815	hypothetical protein	16805	17833	-	
3300000868 assembled JGI12330J12834_100000816	CDS	JGI12330J12834_100000816	hypothetical protein	17993	18367	+	
3300000868 assembled JGI12330J12834_100000817	CDS	JGI12330J12834_100000817	hypothetical protein	18364	20826	-	
3300000868 assembled JGI12330J12834_100000818	CDS	JGI12330J12834_100000818	hypothetical protein	20869	21396	-	
3300000868 assembled JGI12330J12834_100000819	CDS	JGI12330J12834_100000819	hypothetical protein	21446	22021	-	
3300000868 assembled JGI12330J12834_10000082	CDS	JGI12330J12834_10000082	hypothetical protein	288	494	+	
3300000868 assembled JGI12330J12834_100000820	CDS	JGI12330J12834_100000820	hypothetical protein	22033	22533	-	
3300000868 assembled JGI12330J12834_100000821	CDS	JGI12330J12834_100000821	hypothetical protein	22628	23899	+	
3300000868 assembled JGI12330J12834_100000822	CDS	JGI12330J12834_100000822	DNA or RNA helicases of superfamily II	23906	25669	-	
3300000868 assembled JGI12330J12834_100000823	CDS	JGI12330J12834_100000823	hypothetical protein	26825	27265	+	
3300000868 assembled JGI12330J12834_100000824	tRNA	JGI12330J12834_100000824	tRNA_Ser_GCT	26328	26436	-	
3300000868 assembled JGI12330J12834_100000825	CDS	JGI12330J12834_100000825	hypothetical protein	27267	27665	-	
3300000868 assembled JGI12330J12834_100000826	CDS	JGI12330J12834_100000826	hypothetical protein	27674	28153	-	
3300000868 assembled JGI12330J12834_100000827	CDS	JGI12330J12834_100000827	hypothetical protein	28142	28297	+	
3300000868 assembled JGI12330J12834_100000828	CDS	JGI12330J12834_100000828	hypothetical protein	28448	28936	+	
3300000868 assembled JGI12330J12834_100000829	CDS	JGI12330J12834_100000829	hypothetical protein	29058	29423	+	
3300000868 assembled JGI12330J12834_10000083	CDS	JGI12330J12834_10000083	hypothetical protein	484	2583	+	
3300000868 assembled JGI12330J12834_100000830	CDS	JGI12330J12834_100000830	hypothetical protein	29450	30169	-	
