Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300005915 assembled Ga0075122_100008511	CDS	Ga0075122_100008511	hypothetical protein	2	286	+	
3300005915 assembled Ga0075122_1000085110	CDS	Ga0075122_1000085110	hypothetical protein	6176	6607	+	
3300005915 assembled Ga0075122_1000085111	CDS	Ga0075122_1000085111	Predicted protease of the Abi (CAAX) family	6762	7481	+	
3300005915 assembled Ga0075122_1000085112	CDS	Ga0075122_1000085112	hypothetical protein	7482	7604	+	
3300005915 assembled Ga0075122_1000085113	CDS	Ga0075122_1000085113	hypothetical protein	7601	7909	+	
3300005915 assembled Ga0075122_1000085114	CDS	Ga0075122_1000085114	Domain of unknown function (DUF2341)	7902	10760	+	
3300005915 assembled Ga0075122_1000085115	CDS	Ga0075122_1000085115	hypothetical protein	10765	13206	+	
3300005915 assembled Ga0075122_1000085116	CDS	Ga0075122_1000085116	hypothetical protein	13197	13316	+	
3300005915 assembled Ga0075122_1000085117	CDS	Ga0075122_1000085117	hypothetical protein	13313	13651	+	
3300005915 assembled Ga0075122_1000085118	CDS	Ga0075122_1000085118	hypothetical protein	13648	13839	+	
3300005915 assembled Ga0075122_1000085119	CDS	Ga0075122_1000085119	hypothetical protein	14007	14141	+	
3300005915 assembled Ga0075122_100008512	CDS	Ga0075122_100008512	MjaI restriction endonuclease	277	855	-	
3300005915 assembled Ga0075122_1000085120	CDS	Ga0075122_1000085120	hypothetical protein	14141	14374	+	
3300005915 assembled Ga0075122_1000085121	CDS	Ga0075122_1000085121	hypothetical protein	14527	15690	-	
3300005915 assembled Ga0075122_1000085122	CDS	Ga0075122_1000085122	hypothetical protein	15687	16409	-	
3300005915 assembled Ga0075122_1000085123	CDS	Ga0075122_1000085123	hypothetical protein	16410	17105	-	
3300005915 assembled Ga0075122_1000085124	CDS	Ga0075122_1000085124	hypothetical protein	17109	17336	-	
3300005915 assembled Ga0075122_1000085125	CDS	Ga0075122_1000085125	hypothetical protein	17471	18004	-	
3300005915 assembled Ga0075122_1000085126	CDS	Ga0075122_1000085126	CARDB	18001	19488	-	
3300005915 assembled Ga0075122_1000085127	CDS	Ga0075122_1000085127	hypothetical protein	19442	19747	-	
3300005915 assembled Ga0075122_1000085128	CDS	Ga0075122_1000085128	hypothetical protein	19855	19998	-	
3300005915 assembled Ga0075122_1000085129	CDS	Ga0075122_1000085129	hypothetical protein	19991	20299	-	
3300005915 assembled Ga0075122_100008513	CDS	Ga0075122_100008513	hypothetical protein	1031	1333	-	
3300005915 assembled Ga0075122_1000085130	CDS	Ga0075122_1000085130	hypothetical protein	20296	20538	-	
3300005915 assembled Ga0075122_1000085131	CDS	Ga0075122_1000085131	Site-specific recombinase XerD	20539	21513	-	
3300005915 assembled Ga0075122_1000085132	CDS	Ga0075122_1000085132	hypothetical protein	22021	22209	-	
3300005915 assembled Ga0075122_1000085133	CDS	Ga0075122_1000085133	hypothetical protein	22336	23010	-	
3300005915 assembled Ga0075122_100008514	CDS	Ga0075122_100008514	hypothetical protein	1334	1489	-	
3300005915 assembled Ga0075122_100008515	CDS	Ga0075122_100008515	hypothetical protein	1489	1812	-	
3300005915 assembled Ga0075122_100008516	CDS	Ga0075122_100008516	hypothetical protein	1950	2936	+	
3300005915 assembled Ga0075122_100008517	CDS	Ga0075122_100008517	hypothetical protein	3093	4889	+	
3300005915 assembled Ga0075122_100008518	CDS	Ga0075122_100008518	hypothetical protein	4892	5146	+	
3300005915 assembled Ga0075122_100008519	CDS	Ga0075122_100008519	hypothetical protein	5147	6175	+	
