Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300023257 assembled Ga0222658_10003321	CDS	Ga0222658_10003321	hypothetical protein	3	917	+	
3300023257 assembled Ga0222658_100033210	CDS	Ga0222658_100033210	hypothetical protein	8981	9469	+	
3300023257 assembled Ga0222658_100033211	CDS	Ga0222658_100033211	hypothetical protein	9471	9767	+	
3300023257 assembled Ga0222658_100033212	CDS	Ga0222658_100033212	hypothetical protein	9769	10071	+	
3300023257 assembled Ga0222658_100033213	CDS	Ga0222658_100033213	hypothetical protein	10073	10579	+	
3300023257 assembled Ga0222658_100033214	CDS	Ga0222658_100033214	hypothetical protein	10717	11361	+	
3300023257 assembled Ga0222658_100033215	CDS	Ga0222658_100033215	hypothetical protein	11403	11963	+	
3300023257 assembled Ga0222658_100033216	CDS	Ga0222658_100033216	hypothetical protein	11970	12905	+	
3300023257 assembled Ga0222658_100033217	CDS	Ga0222658_100033217	hypothetical protein	12928	13149	+	
3300023257 assembled Ga0222658_100033218	CDS	Ga0222658_100033218	hypothetical protein	13205	13495	+	
3300023257 assembled Ga0222658_100033219	CDS	Ga0222658_100033219	hypothetical protein	13488	14318	+	
3300023257 assembled Ga0222658_10003322	CDS	Ga0222658_10003322	hypothetical protein	914	2221	+	
3300023257 assembled Ga0222658_100033220	CDS	Ga0222658_100033220	ribonuclease HI	14235	14750	-	
3300023257 assembled Ga0222658_100033221	CDS	Ga0222658_100033221	hypothetical protein	14753	15148	-	
3300023257 assembled Ga0222658_100033222	CDS	Ga0222658_100033222	HNH endonuclease	15145	15771	-	
3300023257 assembled Ga0222658_100033223	CDS	Ga0222658_100033223	DNA helicase HerA-like ATPase	15867	17663	+	
3300023257 assembled Ga0222658_100033224	CDS	Ga0222658_100033224	hypothetical protein	17663	17791	+	
3300023257 assembled Ga0222658_100033225	CDS	Ga0222658_100033225	HNH endonuclease	17861	18463	+	
3300023257 assembled Ga0222658_100033226	CDS	Ga0222658_100033226	hypothetical protein	18907	19062	+	
3300023257 assembled Ga0222658_100033227	CDS	Ga0222658_100033227	hypothetical protein	19100	19444	+	
3300023257 assembled Ga0222658_100033228	CDS	Ga0222658_100033228	hypothetical protein	19486	20115	-	
3300023257 assembled Ga0222658_100033229	CDS	Ga0222658_100033229	hypothetical protein	20241	20354	-	
3300023257 assembled Ga0222658_10003323	CDS	Ga0222658_10003323	hypothetical protein	2218	2430	+	
3300023257 assembled Ga0222658_100033230	CDS	Ga0222658_100033230	DNA (cytosine-5)-methyltransferase 1	20344	21882	-	
3300023257 assembled Ga0222658_100033231	CDS	Ga0222658_100033231	hypothetical protein	21977	22381	-	
3300023257 assembled Ga0222658_100033232	CDS	Ga0222658_100033232	hypothetical protein	22368	22487	-	
3300023257 assembled Ga0222658_100033233	CDS	Ga0222658_100033233	hypothetical protein	22484	22786	-	
3300023257 assembled Ga0222658_100033234	CDS	Ga0222658_100033234	hypothetical protein	22783	22890	-	
3300023257 assembled Ga0222658_100033235	CDS	Ga0222658_100033235	hypothetical protein	22887	23015	-	
3300023257 assembled Ga0222658_100033236	CDS	Ga0222658_100033236	hypothetical protein	23154	23621	-	
3300023257 assembled Ga0222658_100033237	CDS	Ga0222658_100033237	site-specific DNA-methyltransferase (adenine-specific)	23627	24352	-	
3300023257 assembled Ga0222658_100033238	CDS	Ga0222658_100033238	hypothetical protein	24352	24522	-	
3300023257 assembled Ga0222658_100033239	CDS	Ga0222658_100033239	hypothetical protein	24542	24733	-	
3300023257 assembled Ga0222658_10003324	CDS	Ga0222658_10003324	hypothetical protein	2482	2928	+	
3300023257 assembled Ga0222658_100033240	CDS	Ga0222658_100033240	hypothetical protein	24733	25026	-	
3300023257 assembled Ga0222658_100033241	CDS	Ga0222658_100033241	hypothetical protein	25028	25414	-	
3300023257 assembled Ga0222658_100033242	CDS	Ga0222658_100033242	hypothetical protein	25389	25571	-	
3300023257 assembled Ga0222658_100033243	CDS	Ga0222658_100033243	hypothetical protein	25561	25809	-	
3300023257 assembled Ga0222658_100033244	CDS	Ga0222658_100033244	hypothetical protein	25810	25998	-	
3300023257 assembled Ga0222658_100033245	CDS	Ga0222658_100033245	hypothetical protein	26047	26142	-	
3300023257 assembled Ga0222658_10003325	CDS	Ga0222658_10003325	hypothetical protein	2928	3446	+	
3300023257 assembled Ga0222658_10003326	CDS	Ga0222658_10003326	hypothetical protein	3476	4222	+	
3300023257 assembled Ga0222658_10003327	CDS	Ga0222658_10003327	hypothetical protein	4282	8031	+	
3300023257 assembled Ga0222658_10003328	CDS	Ga0222658_10003328	hypothetical protein	8034	8429	+	
3300023257 assembled Ga0222658_10003329	CDS	Ga0222658_10003329	hypothetical protein	8632	8940	+	
