Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300027007 assembled Ga0207718_1001001	CDS	Ga0207718_1001001	deoxyhypusine synthase	1	1125	+	
3300027007 assembled Ga0207718_10010010	CDS	Ga0207718_10010010	hypothetical protein	9316	11706	-	
3300027007 assembled Ga0207718_100100100	CDS	Ga0207718_100100100	hypothetical protein	77758	77883	+	
3300027007 assembled Ga0207718_100100101	CDS	Ga0207718_100100101	Fic family protein	77889	78371	+	
3300027007 assembled Ga0207718_100100102	CDS	Ga0207718_100100102	hypothetical protein	78377	78604	-	
3300027007 assembled Ga0207718_100100103	CDS	Ga0207718_100100103	hypothetical protein	78724	79041	+	
3300027007 assembled Ga0207718_100100104	CDS	Ga0207718_100100104	hypothetical protein	79038	79364	+	
3300027007 assembled Ga0207718_100100105	CDS	Ga0207718_100100105	hypothetical protein	79361	80059	+	
3300027007 assembled Ga0207718_100100106	CDS	Ga0207718_100100106	hypothetical protein	80059	80406	+	
3300027007 assembled Ga0207718_100100107	CDS	Ga0207718_100100107	hypothetical protein	80406	80672	+	
3300027007 assembled Ga0207718_100100108	CDS	Ga0207718_100100108	hypothetical protein	81338	81562	+	
3300027007 assembled Ga0207718_100100109	CDS	Ga0207718_100100109	hypothetical protein	81592	82041	+	
3300027007 assembled Ga0207718_10010011	CDS	Ga0207718_10010011	hypothetical protein	11811	12119	-	
3300027007 assembled Ga0207718_100100110	CDS	Ga0207718_100100110	hypothetical protein	82038	82382	+	
3300027007 assembled Ga0207718_100100111	CDS	Ga0207718_100100111	hypothetical protein	82382	82702	+	
3300027007 assembled Ga0207718_100100112	CDS	Ga0207718_100100112	hypothetical protein	82699	82926	+	
3300027007 assembled Ga0207718_100100113	CDS	Ga0207718_100100113	hypothetical protein	82923	83345	+	
3300027007 assembled Ga0207718_100100114	CDS	Ga0207718_100100114	hypothetical protein	83547	83765	+	
3300027007 assembled Ga0207718_100100115	CDS	Ga0207718_100100115	hypothetical protein	83955	84479	+	
3300027007 assembled Ga0207718_100100116	CDS	Ga0207718_100100116	hypothetical protein	84480	84623	+	
3300027007 assembled Ga0207718_100100117	CDS	Ga0207718_100100117	hypothetical protein	84860	84967	+	
3300027007 assembled Ga0207718_100100118	CDS	Ga0207718_100100118	hypothetical protein	84967	85161	+	
3300027007 assembled Ga0207718_100100119	CDS	Ga0207718_100100119	hypothetical protein	85168	85779	-	
3300027007 assembled Ga0207718_10010012	CDS	Ga0207718_10010012	hypothetical protein	12183	12296	-	
3300027007 assembled Ga0207718_100100120	CDS	Ga0207718_100100120	hypothetical protein	85824	86111	-	
3300027007 assembled Ga0207718_100100121	CDS	Ga0207718_100100121	hypothetical protein	86178	86861	-	
3300027007 assembled Ga0207718_100100122	CDS	Ga0207718_100100122	hypothetical protein	86877	87164	+	
3300027007 assembled Ga0207718_100100123	CDS	Ga0207718_100100123	hypothetical protein	87161	87433	+	
3300027007 assembled Ga0207718_100100124	CDS	Ga0207718_100100124	putative transposase	87445	88419	-	
3300027007 assembled Ga0207718_100100125	CDS	Ga0207718_100100125	hypothetical protein	88744	88950	-	
3300027007 assembled Ga0207718_100100126	CDS	Ga0207718_100100126	hypothetical protein	89000	89410	-	
3300027007 assembled Ga0207718_100100127	CDS	Ga0207718_100100127	hypothetical protein	89460	90392	+	
3300027007 assembled Ga0207718_100100128	CDS	Ga0207718_100100128	integrase/recombinase XerD	90533	91534	-	
3300027007 assembled Ga0207718_100100129	CDS	Ga0207718_100100129	hypothetical protein	91536	92033	-	
3300027007 assembled Ga0207718_10010013	CDS	Ga0207718_10010013	hypothetical protein	13009	13431	+	
3300027007 assembled Ga0207718_100100130	CDS	Ga0207718_100100130	predicted Zn-dependent protease	92185	93435	-	
3300027007 assembled Ga0207718_100100131	CDS	Ga0207718_100100131	hypothetical protein	93513	93743	-	
3300027007 assembled Ga0207718_100100132	CDS	Ga0207718_100100132	multiple sugar transport system ATP-binding protein	93955	95139	-	
3300027007 assembled Ga0207718_100100133	CDS	Ga0207718_100100133	multiple sugar transport system permease protein	95143	96204	-	
3300027007 assembled Ga0207718_100100134	CDS	Ga0207718_100100134	multiple sugar transport system permease protein	96206	97210	-	
3300027007 assembled Ga0207718_100100135	CDS	Ga0207718_100100135	ABC-type glycerol-3-phosphate transport system substrate-binding protein	97217	98701	-	
3300027007 assembled Ga0207718_100100136	CDS	Ga0207718_100100136	hypothetical protein	98922	99842	+	
3300027007 assembled Ga0207718_100100137	CDS	Ga0207718_100100137	hypothetical protein	100168	100485	+	
3300027007 assembled Ga0207718_100100138	CDS	Ga0207718_100100138	predicted DNA binding protein/GAF domain-containing protein/GAF domain-containing protein	100489	103401	+	
3300027007 assembled Ga0207718_100100139	CDS	Ga0207718_100100139	hypothetical protein	103540	103845	+	
3300027007 assembled Ga0207718_10010014	CDS	Ga0207718_10010014	hypothetical protein	13594	14556	-	
3300027007 assembled Ga0207718_100100140	CDS	Ga0207718_100100140	WAS/WASL-interacting protein	103937	104521	+	
3300027007 assembled Ga0207718_100100141	CDS	Ga0207718_100100141	ferritin-like metal-binding protein YciE	104518	105009	+	
3300027007 assembled Ga0207718_100100142	CDS	Ga0207718_100100142	thioredoxin reductase (NADPH)	105187	106260	-	
3300027007 assembled Ga0207718_100100143	CDS	Ga0207718_100100143	hypothetical protein	106449	106997	-	
3300027007 assembled Ga0207718_100100144	CDS	Ga0207718_100100144	ERCC4-type nuclease	107165	107812	+	
3300027007 assembled Ga0207718_100100145	CDS	Ga0207718_100100145	peptide chain release factor subunit 1	108011	108523	+	
3300027007 assembled Ga0207718_10010015	CDS	Ga0207718_10010015	hypothetical protein	14613	15635	-	
3300027007 assembled Ga0207718_10010016	CDS	Ga0207718_10010016	hypothetical protein	15795	16220	+	
3300027007 assembled Ga0207718_10010017	CDS	Ga0207718_10010017	hypothetical protein	16212	18716	-	
3300027007 assembled Ga0207718_10010018	CDS	Ga0207718_10010018	hypothetical protein	18907	19431	-	
3300027007 assembled Ga0207718_10010019	CDS	Ga0207718_10010019	hypothetical protein	19438	20043	-	
3300027007 assembled Ga0207718_1001002	CDS	Ga0207718_1001002	APA family basic amino acid/polyamine antiporter	1153	2391	-	
3300027007 assembled Ga0207718_10010020	CDS	Ga0207718_10010020	hypothetical protein	20055	20585	-	
