Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300005916 assembled Ga0075120_100006941	CDS	Ga0075120_100006941	hypothetical protein	114	437	+	
3300005916 assembled Ga0075120_1000069410	CDS	Ga0075120_1000069410	hypothetical protein	8413	9567	+	
3300005916 assembled Ga0075120_1000069411	CDS	Ga0075120_1000069411	hypothetical protein	9583	11490	+	
3300005916 assembled Ga0075120_1000069412	CDS	Ga0075120_1000069412	hypothetical protein	11494	11733	+	
3300005916 assembled Ga0075120_1000069413	CDS	Ga0075120_1000069413	hypothetical protein	11730	11930	+	
3300005916 assembled Ga0075120_1000069414	CDS	Ga0075120_1000069414	hypothetical protein	11932	12132	+	
3300005916 assembled Ga0075120_1000069415	CDS	Ga0075120_1000069415	hypothetical protein	12132	13034	+	
3300005916 assembled Ga0075120_1000069416	CDS	Ga0075120_1000069416	hypothetical protein	12976	13257	+	
3300005916 assembled Ga0075120_1000069417	CDS	Ga0075120_1000069417	hypothetical protein	13254	13511	+	
3300005916 assembled Ga0075120_1000069418	CDS	Ga0075120_1000069418	hypothetical protein	13543	13914	+	
3300005916 assembled Ga0075120_1000069419	CDS	Ga0075120_1000069419	hypothetical protein	13968	14129	-	
3300005916 assembled Ga0075120_100006942	CDS	Ga0075120_100006942	hypothetical protein	502	627	+	
3300005916 assembled Ga0075120_1000069420	CDS	Ga0075120_1000069420	hypothetical protein	14337	14477	+	
3300005916 assembled Ga0075120_1000069421	CDS	Ga0075120_1000069421	Transposase DDE domain	14483	15112	+	
3300005916 assembled Ga0075120_1000069422	CDS	Ga0075120_1000069422	hypothetical protein	15274	15906	-	
3300005916 assembled Ga0075120_1000069423	CDS	Ga0075120_1000069423	hypothetical protein	15879	16202	-	
3300005916 assembled Ga0075120_1000069424	CDS	Ga0075120_1000069424	hypothetical protein	16321	17283	+	
3300005916 assembled Ga0075120_1000069425	CDS	Ga0075120_1000069425	hypothetical protein	17438	17740	+	
3300005916 assembled Ga0075120_1000069426	CDS	Ga0075120_1000069426	hypothetical protein	17821	18795	+	
3300005916 assembled Ga0075120_1000069427	CDS	Ga0075120_1000069427	hypothetical protein	18779	18961	+	
3300005916 assembled Ga0075120_1000069428	CDS	Ga0075120_1000069428	hypothetical protein	18948	19625	+	
3300005916 assembled Ga0075120_1000069429	CDS	Ga0075120_1000069429	Site-specific recombinase XerD	19733	20608	-	
3300005916 assembled Ga0075120_100006943	CDS	Ga0075120_100006943	hypothetical protein	620	2050	+	
3300005916 assembled Ga0075120_1000069430	CDS	Ga0075120_1000069430	hypothetical protein	20663	21739	-	
3300005916 assembled Ga0075120_1000069431	CDS	Ga0075120_1000069431	hypothetical protein	21741	22274	-	
3300005916 assembled Ga0075120_1000069432	CDS	Ga0075120_1000069432	hypothetical protein	22261	22713	-	
3300005916 assembled Ga0075120_1000069433	CDS	Ga0075120_1000069433	hypothetical protein	22706	22840	-	
3300005916 assembled Ga0075120_1000069434	CDS	Ga0075120_1000069434	hypothetical protein	22904	23389	-	
3300005916 assembled Ga0075120_1000069435	CDS	Ga0075120_1000069435	hypothetical protein	23390	23647	-	
3300005916 assembled Ga0075120_1000069436	CDS	Ga0075120_1000069436	hypothetical protein	23793	23918	+	
3300005916 assembled Ga0075120_1000069437	CDS	Ga0075120_1000069437	hypothetical protein	23915	24037	+	
3300005916 assembled Ga0075120_1000069438	CDS	Ga0075120_1000069438	hypothetical protein	24024	24215	+	
3300005916 assembled Ga0075120_1000069439	CDS	Ga0075120_1000069439	hypothetical protein	24338	24823	+	
3300005916 assembled Ga0075120_100006944	CDS	Ga0075120_100006944	hypothetical protein	2050	2694	+	
3300005916 assembled Ga0075120_1000069440	CDS	Ga0075120_1000069440	hypothetical protein	24820	24939	+	
3300005916 assembled Ga0075120_1000069441	CDS	Ga0075120_1000069441	hypothetical protein	24917	25579	+	
3300005916 assembled Ga0075120_1000069442	CDS	Ga0075120_1000069442	hypothetical protein	25979	26110	+	
3300005916 assembled Ga0075120_1000069443	CDS	Ga0075120_1000069443	hypothetical protein	26107	26478	+	
3300005916 assembled Ga0075120_1000069444	CDS	Ga0075120_1000069444	hypothetical protein	26480	26647	+	
3300005916 assembled Ga0075120_1000069445	CDS	Ga0075120_1000069445	hypothetical protein	26644	26760	+	
3300005916 assembled Ga0075120_1000069446	CDS	Ga0075120_1000069446	hypothetical protein	26902	27087	+	
3300005916 assembled Ga0075120_1000069447	CDS	Ga0075120_1000069447	hypothetical protein	27084	27302	+	
3300005916 assembled Ga0075120_1000069448	CDS	Ga0075120_1000069448	hypothetical protein	27299	27547	+	
3300005916 assembled Ga0075120_1000069449	CDS	Ga0075120_1000069449	hypothetical protein	27715	27816	+	
3300005916 assembled Ga0075120_100006945	CDS	Ga0075120_100006945	hypothetical protein	2694	3296	+	
3300005916 assembled Ga0075120_100006946	CDS	Ga0075120_100006946	hypothetical protein	3289	3948	+	
3300005916 assembled Ga0075120_100006947	CDS	Ga0075120_100006947	hypothetical protein	3986	4861	+	
3300005916 assembled Ga0075120_100006948	CDS	Ga0075120_100006948	hypothetical protein	4943	5167	+	
3300005916 assembled Ga0075120_100006949	CDS	Ga0075120_100006949	hypothetical protein	5143	8361	+	
