Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300005275 assembled Ga0065719_1002681	CDS	Ga0065719_1002681	hypothetical protein	110	706	+	
3300005275 assembled Ga0065719_10026810	CDS	Ga0065719_10026810	hypothetical protein	6174	6407	+	
3300005275 assembled Ga0065719_10026811	CDS	Ga0065719_10026811	hypothetical protein	6409	6888	+	
3300005275 assembled Ga0065719_10026812	CDS	Ga0065719_10026812	hypothetical protein	6885	7055	-	
3300005275 assembled Ga0065719_10026813	CDS	Ga0065719_10026813	hypothetical protein	7117	7449	+	
3300005275 assembled Ga0065719_10026814	CDS	Ga0065719_10026814	hypothetical protein	7486	7635	+	
3300005275 assembled Ga0065719_10026815	CDS	Ga0065719_10026815	hypothetical protein	7685	8212	+	
3300005275 assembled Ga0065719_10026816	CDS	Ga0065719_10026816	Domain of unknown function (DUF2341)	8242	15849	+	
3300005275 assembled Ga0065719_10026817	CDS	Ga0065719_10026817	Ribbon-helix-helix protein, copG family	15882	16028	+	
3300005275 assembled Ga0065719_10026818	CDS	Ga0065719_10026818	hypothetical protein	16031	17875	+	
3300005275 assembled Ga0065719_10026819	CDS	Ga0065719_10026819	hypothetical protein	17880	18980	+	
3300005275 assembled Ga0065719_1002682	CDS	Ga0065719_1002682	hypothetical protein	716	1351	+	
3300005275 assembled Ga0065719_10026820	CDS	Ga0065719_10026820	hypothetical protein	18977	19162	+	
3300005275 assembled Ga0065719_10026821	CDS	Ga0065719_10026821	hypothetical protein	19159	19653	+	
3300005275 assembled Ga0065719_10026822	CDS	Ga0065719_10026822	hypothetical protein	19653	19958	+	
3300005275 assembled Ga0065719_10026823	CDS	Ga0065719_10026823	hypothetical protein	19968	20285	+	
3300005275 assembled Ga0065719_10026824	CDS	Ga0065719_10026824	hypothetical protein	20307	20576	+	
3300005275 assembled Ga0065719_10026825	CDS	Ga0065719_10026825	hypothetical protein	20581	20733	+	
3300005275 assembled Ga0065719_10026826	CDS	Ga0065719_10026826	hypothetical protein	20735	20872	+	
3300005275 assembled Ga0065719_10026827	CDS	Ga0065719_10026827	hypothetical protein	20874	21347	+	
3300005275 assembled Ga0065719_10026828	CDS	Ga0065719_10026828	Uncharacterized protein conserved in archaea	21319	21579	-	
3300005275 assembled Ga0065719_10026829	CDS	Ga0065719_10026829	hypothetical protein	21748	22014	+	
3300005275 assembled Ga0065719_1002683	CDS	Ga0065719_1002683	hypothetical protein	1385	1714	+	
3300005275 assembled Ga0065719_10026830	CDS	Ga0065719_10026830	hypothetical protein	22100	22462	+	
3300005275 assembled Ga0065719_10026831	CDS	Ga0065719_10026831	hypothetical protein	22459	22686	+	
3300005275 assembled Ga0065719_10026832	CDS	Ga0065719_10026832	hypothetical protein	22658	23137	-	
3300005275 assembled Ga0065719_10026833	CDS	Ga0065719_10026833	hypothetical protein	23143	24057	-	
3300005275 assembled Ga0065719_10026834	CDS	Ga0065719_10026834	hypothetical protein	24054	24269	-	
3300005275 assembled Ga0065719_10026835	CDS	Ga0065719_10026835	hypothetical protein	24297	24671	-	
3300005275 assembled Ga0065719_10026836	CDS	Ga0065719_10026836	hypothetical protein	24649	24954	-	
3300005275 assembled Ga0065719_10026837	CDS	Ga0065719_10026837	hypothetical protein	25020	25439	-	
3300005275 assembled Ga0065719_10026838	CDS	Ga0065719_10026838	hypothetical protein	25469	25708	-	
3300005275 assembled Ga0065719_10026839	CDS	Ga0065719_10026839	hypothetical protein	25746	25865	+	
3300005275 assembled Ga0065719_1002684	CDS	Ga0065719_1002684	hypothetical protein	1707	1970	+	
3300005275 assembled Ga0065719_10026840	CDS	Ga0065719_10026840	hypothetical protein	25854	26096	-	
3300005275 assembled Ga0065719_1002685	CDS	Ga0065719_1002685	hypothetical protein	1967	2239	+	
3300005275 assembled Ga0065719_1002686	CDS	Ga0065719_1002686	hypothetical protein	2361	3386	+	
3300005275 assembled Ga0065719_1002687	CDS	Ga0065719_1002687	hypothetical protein	3451	3726	+	
3300005275 assembled Ga0065719_1002688	CDS	Ga0065719_1002688	hypothetical protein	3723	5579	+	
3300005275 assembled Ga0065719_1002689	CDS	Ga0065719_1002689	hypothetical protein	5576	6172	+	
