Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300014208 assembled Ga0172379_100002431	CDS	Ga0172379_100002431	hypothetical protein	1	321	+	
3300014208 assembled Ga0172379_1000024310	CDS	Ga0172379_1000024310	hypothetical protein	8617	8772	-	
3300014208 assembled Ga0172379_10000243100	CDS	Ga0172379_10000243100	hypothetical protein	65726	66238	+	
3300014208 assembled Ga0172379_10000243101	CDS	Ga0172379_10000243101	hypothetical protein	66242	66712	+	
3300014208 assembled Ga0172379_10000243102	CDS	Ga0172379_10000243102	hypothetical protein	66709	66891	+	
3300014208 assembled Ga0172379_10000243103	CDS	Ga0172379_10000243103	Thymidylate synthase	66903	67700	+	
3300014208 assembled Ga0172379_10000243104	CDS	Ga0172379_10000243104	hypothetical protein	67723	67887	+	
3300014208 assembled Ga0172379_10000243105	CDS	Ga0172379_10000243105	hypothetical protein	67892	68398	+	
3300014208 assembled Ga0172379_10000243106	CDS	Ga0172379_10000243106	MreB/Mbl protein	68399	69373	+	
3300014208 assembled Ga0172379_10000243107	CDS	Ga0172379_10000243107	hypothetical protein	69405	69830	+	
3300014208 assembled Ga0172379_10000243108	CDS	Ga0172379_10000243108	hypothetical protein	69847	70080	+	
3300014208 assembled Ga0172379_10000243109	CDS	Ga0172379_10000243109	hypothetical protein	70077	70283	+	
3300014208 assembled Ga0172379_1000024311	CDS	Ga0172379_1000024311	hypothetical protein	9372	12341	+	
3300014208 assembled Ga0172379_10000243110	CDS	Ga0172379_10000243110	hypothetical protein	70280	70708	+	
3300014208 assembled Ga0172379_10000243111	CDS	Ga0172379_10000243111	Orotate phosphoribosyltransferase	70718	71260	+	
3300014208 assembled Ga0172379_10000243112	CDS	Ga0172379_10000243112	hypothetical protein	71272	71925	+	
3300014208 assembled Ga0172379_10000243113	CDS	Ga0172379_10000243113	hypothetical protein	71928	72410	+	
3300014208 assembled Ga0172379_10000243114	CDS	Ga0172379_10000243114	hypothetical protein	72443	72670	+	
3300014208 assembled Ga0172379_10000243115	CDS	Ga0172379_10000243115	hypothetical protein	72667	73326	+	
3300014208 assembled Ga0172379_10000243116	CDS	Ga0172379_10000243116	hypothetical protein	73487	74110	+	
3300014208 assembled Ga0172379_10000243117	CDS	Ga0172379_10000243117	hypothetical protein	74128	74844	+	
3300014208 assembled Ga0172379_10000243118	CDS	Ga0172379_10000243118	hypothetical protein	74858	75055	+	
3300014208 assembled Ga0172379_10000243119	CDS	Ga0172379_10000243119	hypothetical protein	75040	75540	+	
3300014208 assembled Ga0172379_1000024312	CDS	Ga0172379_1000024312	Beta-glucanase, GH16 family	12450	13802	-	
3300014208 assembled Ga0172379_10000243120	CDS	Ga0172379_10000243120	hypothetical protein	75533	75667	+	
3300014208 assembled Ga0172379_10000243121	CDS	Ga0172379_10000243121	Uncharacterized metal-binding protein	75660	76085	+	
3300014208 assembled Ga0172379_10000243122	CDS	Ga0172379_10000243122	hypothetical protein	76093	76272	-	
3300014208 assembled Ga0172379_10000243123	CDS	Ga0172379_10000243123	hypothetical protein	76269	76823	-	
3300014208 assembled Ga0172379_10000243124	CDS	Ga0172379_10000243124	hypothetical protein	76828	76989	-	
3300014208 assembled Ga0172379_10000243125	CDS	Ga0172379_10000243125	hypothetical protein	76994	77182	-	
3300014208 assembled Ga0172379_10000243126	CDS	Ga0172379_10000243126	hypothetical protein	77179	77736	-	
3300014208 assembled Ga0172379_10000243127	CDS	Ga0172379_10000243127	hypothetical protein	77790	78077	-	
3300014208 assembled Ga0172379_10000243128	CDS	Ga0172379_10000243128	hypothetical protein	78312	78569	-	
3300014208 assembled Ga0172379_10000243129	CDS	Ga0172379_10000243129	hypothetical protein	78575	78811	-	
