Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300005915 assembled Ga0075122_100008271	CDS	Ga0075122_100008271	hypothetical protein	3	119	+	
3300005915 assembled Ga0075122_1000082710	CDS	Ga0075122_1000082710	hypothetical protein	5366	5632	+	
3300005915 assembled Ga0075122_1000082711	CDS	Ga0075122_1000082711	hypothetical protein	5629	6330	+	
3300005915 assembled Ga0075122_1000082712	CDS	Ga0075122_1000082712	hypothetical protein	6311	6622	+	
3300005915 assembled Ga0075122_1000082713	CDS	Ga0075122_1000082713	hypothetical protein	6619	7029	+	
3300005915 assembled Ga0075122_1000082714	CDS	Ga0075122_1000082714	HNH endonuclease	7019	7741	+	
3300005915 assembled Ga0075122_1000082715	CDS	Ga0075122_1000082715	hypothetical protein	7738	7980	+	
3300005915 assembled Ga0075122_1000082716	CDS	Ga0075122_1000082716	hypothetical protein	7981	8127	+	
3300005915 assembled Ga0075122_1000082717	CDS	Ga0075122_1000082717	hypothetical protein	8127	8483	+	
3300005915 assembled Ga0075122_1000082718	CDS	Ga0075122_1000082718	hypothetical protein	8496	8684	+	
3300005915 assembled Ga0075122_1000082719	CDS	Ga0075122_1000082719	hypothetical protein	8685	9803	+	
3300005915 assembled Ga0075122_100008272	CDS	Ga0075122_100008272	hypothetical protein	123	251	+	
3300005915 assembled Ga0075122_1000082720	CDS	Ga0075122_1000082720	hypothetical protein	9800	10006	+	
3300005915 assembled Ga0075122_1000082721	CDS	Ga0075122_1000082721	hypothetical protein	9987	10331	+	
3300005915 assembled Ga0075122_1000082722	CDS	Ga0075122_1000082722	hypothetical protein	10387	10581	+	
3300005915 assembled Ga0075122_1000082723	CDS	Ga0075122_1000082723	hypothetical protein	10608	10835	+	
3300005915 assembled Ga0075122_1000082724	CDS	Ga0075122_1000082724	hypothetical protein	10851	11060	+	
3300005915 assembled Ga0075122_1000082725	CDS	Ga0075122_1000082725	hypothetical protein	11134	11226	+	
3300005915 assembled Ga0075122_1000082726	CDS	Ga0075122_1000082726	hypothetical protein	11432	12283	+	
3300005915 assembled Ga0075122_1000082727	CDS	Ga0075122_1000082727	hypothetical protein	12481	13518	+	
3300005915 assembled Ga0075122_1000082728	CDS	Ga0075122_1000082728	hypothetical protein	13606	15453	+	
3300005915 assembled Ga0075122_1000082729	CDS	Ga0075122_1000082729	hypothetical protein	15455	15682	+	
3300005915 assembled Ga0075122_100008273	CDS	Ga0075122_100008273	hypothetical protein	248	490	+	
3300005915 assembled Ga0075122_1000082730	CDS	Ga0075122_1000082730	hypothetical protein	15679	16032	+	
3300005915 assembled Ga0075122_1000082731	CDS	Ga0075122_1000082731	hypothetical protein	16029	16412	+	
3300005915 assembled Ga0075122_1000082732	CDS	Ga0075122_1000082732	hypothetical protein	16521	16772	+	
3300005915 assembled Ga0075122_1000082733	CDS	Ga0075122_1000082733	hypothetical protein	16772	16954	+	
3300005915 assembled Ga0075122_1000082734	CDS	Ga0075122_1000082734	hypothetical protein	16942	17097	+	
3300005915 assembled Ga0075122_1000082735	CDS	Ga0075122_1000082735	CAAX amino terminal protease family	17099	17743	+	
3300005915 assembled Ga0075122_1000082736	CDS	Ga0075122_1000082736	hypothetical protein	17740	18735	+	
3300005915 assembled Ga0075122_1000082737	CDS	Ga0075122_1000082737	hypothetical protein	18786	21311	+	
3300005915 assembled Ga0075122_1000082738	CDS	Ga0075122_1000082738	hypothetical protein	21308	21451	+	
3300005915 assembled Ga0075122_1000082739	CDS	Ga0075122_1000082739	hypothetical protein	21448	21585	+	
3300005915 assembled Ga0075122_100008274	CDS	Ga0075122_100008274	hypothetical protein	536	658	+	
3300005915 assembled Ga0075122_1000082740	CDS	Ga0075122_1000082740	hypothetical protein	21587	23359	+	
3300005915 assembled Ga0075122_100008275	CDS	Ga0075122_100008275	hypothetical protein	655	1194	+	
3300005915 assembled Ga0075122_100008276	CDS	Ga0075122_100008276	hypothetical protein	1187	1969	+	
3300005915 assembled Ga0075122_100008277	CDS	Ga0075122_100008277	hypothetical protein	1950	2234	-	
3300005915 assembled Ga0075122_100008278	CDS	Ga0075122_100008278	hypothetical protein	2315	4156	+	
3300005915 assembled Ga0075122_100008279	CDS	Ga0075122_100008279	hypothetical protein	4143	5255	+	
