Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300025121 assembled Ga0208375_10001501	CDS	Ga0208375_10001501	hypothetical protein	42	599	+	
3300025121 assembled Ga0208375_100015010	CDS	Ga0208375_100015010	hypothetical protein	2956	3045	+	
3300025121 assembled Ga0208375_1000150100	CDS	Ga0208375_1000150100	hypothetical protein	64740	65423	+	
3300025121 assembled Ga0208375_1000150101	CDS	Ga0208375_1000150101	hypothetical protein	65499	65732	+	
3300025121 assembled Ga0208375_1000150102	CDS	Ga0208375_1000150102	hypothetical protein	65741	67624	+	
3300025121 assembled Ga0208375_1000150103	CDS	Ga0208375_1000150103	hypothetical protein	67636	68802	+	
3300025121 assembled Ga0208375_1000150104	CDS	Ga0208375_1000150104	transposase	68913	70478	+	
3300025121 assembled Ga0208375_1000150105	CDS	Ga0208375_1000150105	hypothetical protein	70548	71414	+	
3300025121 assembled Ga0208375_1000150106	CDS	Ga0208375_1000150106	hypothetical protein	71415	71735	+	
3300025121 assembled Ga0208375_1000150107	CDS	Ga0208375_1000150107	hypothetical protein	71739	71915	+	
3300025121 assembled Ga0208375_1000150108	CDS	Ga0208375_1000150108	hypothetical protein	71915	72124	+	
3300025121 assembled Ga0208375_1000150109	CDS	Ga0208375_1000150109	hypothetical protein	72126	72266	+	
3300025121 assembled Ga0208375_100015011	CDS	Ga0208375_100015011	hypothetical protein	3055	3327	+	
3300025121 assembled Ga0208375_1000150110	CDS	Ga0208375_1000150110	hypothetical protein	72268	72459	+	
3300025121 assembled Ga0208375_1000150111	CDS	Ga0208375_1000150111	hypothetical protein	72456	72800	+	
3300025121 assembled Ga0208375_1000150112	CDS	Ga0208375_1000150112	hypothetical protein	72818	73162	+	
3300025121 assembled Ga0208375_1000150113	CDS	Ga0208375_1000150113	hypothetical protein	73332	73769	+	
3300025121 assembled Ga0208375_1000150114	CDS	Ga0208375_1000150114	hypothetical protein	73772	73888	+	
3300025121 assembled Ga0208375_1000150115	CDS	Ga0208375_1000150115	hypothetical protein	73891	74076	+	
3300025121 assembled Ga0208375_1000150116	CDS	Ga0208375_1000150116	hypothetical protein	74080	74421	+	
3300025121 assembled Ga0208375_1000150117	CDS	Ga0208375_1000150117	hypothetical protein	74418	74816	+	
3300025121 assembled Ga0208375_1000150118	CDS	Ga0208375_1000150118	hypothetical protein	74803	75156	+	
3300025121 assembled Ga0208375_1000150119	CDS	Ga0208375_1000150119	hypothetical protein	75172	75420	+	
3300025121 assembled Ga0208375_100015012	CDS	Ga0208375_100015012	ATP-dependent DNA ligase	3405	4247	+	
3300025121 assembled Ga0208375_1000150120	CDS	Ga0208375_1000150120	hypothetical protein	75473	75799	-	
3300025121 assembled Ga0208375_1000150121	CDS	Ga0208375_1000150121	hypothetical protein	75802	76161	-	
3300025121 assembled Ga0208375_1000150122	CDS	Ga0208375_1000150122	hypothetical protein	76158	76262	-	
3300025121 assembled Ga0208375_1000150123	CDS	Ga0208375_1000150123	hypothetical protein	76350	76442	-	
3300025121 assembled Ga0208375_1000150124	CDS	Ga0208375_1000150124	hypothetical protein	76439	76684	-	
3300025121 assembled Ga0208375_1000150125	CDS	Ga0208375_1000150125	hypothetical protein	76775	76912	-	
3300025121 assembled Ga0208375_1000150126	CDS	Ga0208375_1000150126	hypothetical protein	76909	77232	-	
3300025121 assembled Ga0208375_1000150127	CDS	Ga0208375_1000150127	hypothetical protein	77222	77488	-	
3300025121 assembled Ga0208375_1000150128	CDS	Ga0208375_1000150128	hypothetical protein	77488	77733	-	
3300025121 assembled Ga0208375_1000150129	CDS	Ga0208375_1000150129	hypothetical protein	77735	77917	-	
3300025121 assembled Ga0208375_100015013	CDS	Ga0208375_100015013	hypothetical protein	4252	4617	+	
3300025121 assembled Ga0208375_1000150130	CDS	Ga0208375_1000150130	hypothetical protein	77932	78546	-	
3300025121 assembled Ga0208375_1000150131	CDS	Ga0208375_1000150131	hypothetical protein	78548	78871	-	
3300025121 assembled Ga0208375_1000150132	CDS	Ga0208375_1000150132	hypothetical protein	78925	79305	-	
3300025121 assembled Ga0208375_1000150133	CDS	Ga0208375_1000150133	hypothetical protein	79369	79539	-	
3300025121 assembled Ga0208375_1000150134	CDS	Ga0208375_1000150134	hypothetical protein	79784	80188	-	
3300025121 assembled Ga0208375_1000150135	CDS	Ga0208375_1000150135	DNA replicative helicase MCM subunit Mcm2 (Cdc46/Mcm family)	80185	81054	-	
3300025121 assembled Ga0208375_1000150136	CDS	Ga0208375_1000150136	hypothetical protein	81065	81256	-	
3300025121 assembled Ga0208375_1000150137	CDS	Ga0208375_1000150137	hypothetical protein	81257	81394	-	
3300025121 assembled Ga0208375_1000150138	CDS	Ga0208375_1000150138	hypothetical protein	81458	81802	-	
3300025121 assembled Ga0208375_1000150139	CDS	Ga0208375_1000150139	hypothetical protein	81803	82084	-	
3300025121 assembled Ga0208375_100015014	CDS	Ga0208375_100015014	hypothetical protein	4598	4798	+	
3300025121 assembled Ga0208375_1000150140	CDS	Ga0208375_1000150140	hypothetical protein	82081	82428	-	
3300025121 assembled Ga0208375_1000150141	CDS	Ga0208375_1000150141	beta-mannanase	82425	83468	-	
3300025121 assembled Ga0208375_1000150142	CDS	Ga0208375_1000150142	subtilisin family serine protease	83465	85312	-	
3300025121 assembled Ga0208375_1000150143	CDS	Ga0208375_1000150143	hypothetical protein	85309	85572	-	
3300025121 assembled Ga0208375_1000150144	CDS	Ga0208375_1000150144	hypothetical protein	85569	85877	-	
3300025121 assembled Ga0208375_1000150145	CDS	Ga0208375_1000150145	hypothetical protein	85874	86167	-	
3300025121 assembled Ga0208375_1000150146	CDS	Ga0208375_1000150146	hypothetical protein	86164	86901	-	
3300025121 assembled Ga0208375_1000150147	CDS	Ga0208375_1000150147	hypothetical protein	86898	87677	-	
3300025121 assembled Ga0208375_1000150148	CDS	Ga0208375_1000150148	hypothetical protein	87674	88048	-	
3300025121 assembled Ga0208375_1000150149	CDS	Ga0208375_1000150149	hypothetical protein	88045	88902	-	
3300025121 assembled Ga0208375_100015015	CDS	Ga0208375_100015015	hypothetical protein	4801	5013	+	
3300025121 assembled Ga0208375_1000150150	CDS	Ga0208375_1000150150	hypothetical protein	88895	89650	-	
3300025121 assembled Ga0208375_1000150151	CDS	Ga0208375_1000150151	hypothetical protein	89662	89991	-	
3300025121 assembled Ga0208375_1000150152	CDS	Ga0208375_1000150152	hypothetical protein	89988	90371	-	
3300025121 assembled Ga0208375_1000150153	CDS	Ga0208375_1000150153	hypothetical protein	90383	90841	-	
3300025121 assembled Ga0208375_1000150154	CDS	Ga0208375_1000150154	hypothetical protein	90822	91334	-	
3300025121 assembled Ga0208375_1000150155	CDS	Ga0208375_1000150155	hypothetical protein	91331	91591	-	
3300025121 assembled Ga0208375_1000150156	CDS	Ga0208375_1000150156	uncharacterized protein with von Willebrand factor type A (vWA) domain	91591	93072	-	
3300025121 assembled Ga0208375_1000150157	CDS	Ga0208375_1000150157	hypothetical protein	93162	93485	-	
3300025121 assembled Ga0208375_1000150158	CDS	Ga0208375_1000150158	hypothetical protein	93482	93763	-	
3300025121 assembled Ga0208375_1000150159	CDS	Ga0208375_1000150159	hypothetical protein	93760	94539	-	
3300025121 assembled Ga0208375_100015016	CDS	Ga0208375_100015016	hypothetical protein	5006	5194	+	
3300025121 assembled Ga0208375_1000150160	CDS	Ga0208375_1000150160	hypothetical protein	94699	95016	-	
3300025121 assembled Ga0208375_1000150161	CDS	Ga0208375_1000150161	hypothetical protein	95024	95317	-	
3300025121 assembled Ga0208375_1000150162	CDS	Ga0208375_1000150162	MoxR-like ATPase	95323	96042	-	
3300025121 assembled Ga0208375_1000150163	CDS	Ga0208375_1000150163	carbohydrate binding protein	96143	97141	-	
3300025121 assembled Ga0208375_1000150164	CDS	Ga0208375_1000150164	VCBS repeat protein/VCBS repeat protein/VCBS repeat protein/VCBS repeat protein/VCBS repeat protein/VCBS repeat protein	97152	99452	-	
3300025121 assembled Ga0208375_1000150165	CDS	Ga0208375_1000150165	hypothetical protein	99449	100885	-	
3300025121 assembled Ga0208375_1000150166	CDS	Ga0208375_1000150166	hypothetical protein	101011	101217	-	
3300025121 assembled Ga0208375_1000150167	CDS	Ga0208375_1000150167	PadR family transcriptional regulator	101248	101661	-	
3300025121 assembled Ga0208375_1000150168	CDS	Ga0208375_1000150168	hypothetical protein	101964	102800	+	
3300025121 assembled Ga0208375_1000150169	CDS	Ga0208375_1000150169	hypothetical protein	102781	103539	+	
3300025121 assembled Ga0208375_100015017	CDS	Ga0208375_100015017	hypothetical protein	5199	7358	+	
3300025121 assembled Ga0208375_1000150170	CDS	Ga0208375_1000150170	hypothetical protein	103536	103655	+	
3300025121 assembled Ga0208375_1000150171	CDS	Ga0208375_1000150171	hypothetical protein	103656	104438	+	
3300025121 assembled Ga0208375_1000150172	CDS	Ga0208375_1000150172	5-methylcytosine-specific restriction endonuclease McrA	104450	104854	+	
3300025121 assembled Ga0208375_1000150173	CDS	Ga0208375_1000150173	hypothetical protein	104826	104957	+	
3300025121 assembled Ga0208375_1000150174	CDS	Ga0208375_1000150174	RNA ligase	104947	105648	+	
3300025121 assembled Ga0208375_1000150175	CDS	Ga0208375_1000150175	hypothetical protein	105626	105922	+	
3300025121 assembled Ga0208375_1000150176	CDS	Ga0208375_1000150176	hypothetical protein	105919	106080	+	
3300025121 assembled Ga0208375_1000150177	CDS	Ga0208375_1000150177	ASCH domain-containing protein	106082	106615	+	
3300025121 assembled Ga0208375_1000150178	CDS	Ga0208375_1000150178	hypothetical protein	106593	106904	+	
3300025121 assembled Ga0208375_1000150179	CDS	Ga0208375_1000150179	hypothetical protein	106912	107160	+	
3300025121 assembled Ga0208375_100015018	CDS	Ga0208375_100015018	molybdopterin/thiamine biosynthesis adenylyltransferase	7355	7951	+	
3300025121 assembled Ga0208375_1000150180	CDS	Ga0208375_1000150180	hypothetical protein	107282	107638	-	
3300025121 assembled Ga0208375_1000150181	CDS	Ga0208375_1000150181	predicted ATP-dependent serine protease	107732	108451	+	
3300025121 assembled Ga0208375_1000150182	CDS	Ga0208375_1000150182	hypothetical protein	108560	108973	+	
3300025121 assembled Ga0208375_1000150183	CDS	Ga0208375_1000150183	hypothetical protein	109081	109185	+	
3300025121 assembled Ga0208375_100015019	CDS	Ga0208375_100015019	hypothetical protein	7954	8106	+	
3300025121 assembled Ga0208375_10001502	CDS	Ga0208375_10001502	hypothetical protein	601	915	+	
3300025121 assembled Ga0208375_100015020	CDS	Ga0208375_100015020	hypothetical protein	8111	8272	+	
3300025121 assembled Ga0208375_100015021	CDS	Ga0208375_100015021	hypothetical protein	8279	8812	+	
3300025121 assembled Ga0208375_100015022	CDS	Ga0208375_100015022	hypothetical protein	8815	8952	+	
3300025121 assembled Ga0208375_100015023	CDS	Ga0208375_100015023	hypothetical protein	8949	9119	+	
