Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300026970 assembled Ga0207733_1003821	CDS	Ga0207733_1003821	hypothetical protein	1	552	+	
3300026970 assembled Ga0207733_10038210	CDS	Ga0207733_10038210	cell division control protein 6	6135	7352	-	
3300026970 assembled Ga0207733_10038211	CDS	Ga0207733_10038211	hypothetical protein	8130	8414	-	
3300026970 assembled Ga0207733_10038212	CDS	Ga0207733_10038212	hypothetical protein	8465	8881	-	
3300026970 assembled Ga0207733_10038213	CDS	Ga0207733_10038213	type IV secretion system coupling TraD/TrwB family protein	8878	10797	-	
3300026970 assembled Ga0207733_10038214	CDS	Ga0207733_10038214	hypothetical protein	11016	12005	-	
3300026970 assembled Ga0207733_10038215	CDS	Ga0207733_10038215	AAA domain-containing protein	12002	14761	-	
3300026970 assembled Ga0207733_10038216	CDS	Ga0207733_10038216	hypothetical protein	14758	15909	-	
3300026970 assembled Ga0207733_10038217	CDS	Ga0207733_10038217	hypothetical protein	15919	16293	-	
3300026970 assembled Ga0207733_10038218	CDS	Ga0207733_10038218	hypothetical protein	16423	16989	+	
3300026970 assembled Ga0207733_10038219	CDS	Ga0207733_10038219	hypothetical protein	16991	17416	-	
3300026970 assembled Ga0207733_1003822	CDS	Ga0207733_1003822	transitional endoplasmic reticulum ATPase	549	1664	+	
3300026970 assembled Ga0207733_10038220	CDS	Ga0207733_10038220	hypothetical protein	17670	18284	+	
3300026970 assembled Ga0207733_10038221	CDS	Ga0207733_10038221	hypothetical protein	18336	18551	+	
3300026970 assembled Ga0207733_10038222	CDS	Ga0207733_10038222	hypothetical protein	18548	20236	+	
3300026970 assembled Ga0207733_10038223	CDS	Ga0207733_10038223	hypothetical protein	20253	20843	+	
3300026970 assembled Ga0207733_10038224	CDS	Ga0207733_10038224	hypothetical protein	20852	21787	+	
3300026970 assembled Ga0207733_10038225	CDS	Ga0207733_10038225	hypothetical protein	21985	22197	+	
3300026970 assembled Ga0207733_10038226	CDS	Ga0207733_10038226	hypothetical protein	22194	22373	+	
3300026970 assembled Ga0207733_10038227	CDS	Ga0207733_10038227	uncharacterized protein DUF433	22377	23009	+	
3300026970 assembled Ga0207733_10038228	CDS	Ga0207733_10038228	uncharacterized protein DUF87	23009	24352	+	
3300026970 assembled Ga0207733_10038229	CDS	Ga0207733_10038229	hypothetical protein	24596	24748	+	
3300026970 assembled Ga0207733_1003823	CDS	Ga0207733_1003823	hypothetical protein	1657	1860	+	
3300026970 assembled Ga0207733_10038230	CDS	Ga0207733_10038230	hypothetical protein	24824	25057	+	
3300026970 assembled Ga0207733_10038231	CDS	Ga0207733_10038231	hypothetical protein	25041	26993	+	
3300026970 assembled Ga0207733_10038232	CDS	Ga0207733_10038232	hypothetical protein	27335	28357	+	
3300026970 assembled Ga0207733_10038233	CDS	Ga0207733_10038233	hypothetical protein	28464	29099	+	
3300026970 assembled Ga0207733_10038234	CDS	Ga0207733_10038234	5-methylcytosine-specific restriction endonuclease McrA	29203	30630	+	
3300026970 assembled Ga0207733_10038235	CDS	Ga0207733_10038235	hypothetical protein	30759	30902	+	
3300026970 assembled Ga0207733_1003824	CDS	Ga0207733_1003824	transglutaminase-like putative cysteine protease	1835	2446	+	
3300026970 assembled Ga0207733_1003825	CDS	Ga0207733_1003825	hypothetical protein	2446	2985	+	
3300026970 assembled Ga0207733_1003826	CDS	Ga0207733_1003826	hypothetical protein	3053	5038	-	
3300026970 assembled Ga0207733_1003827	CDS	Ga0207733_1003827	DNA-binding MarR family transcriptional regulator	5075	5347	-	
3300026970 assembled Ga0207733_1003828	CDS	Ga0207733_1003828	hypothetical protein	5735	5959	+	
3300026970 assembled Ga0207733_1003829	CDS	Ga0207733_1003829	hypothetical protein	5864	6112	-	
