# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	221	1321	+							ENF58_02015	1101		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	221	1321	+	HDI72889.1			hypothetical protein			ENF58_02015	1101	366	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	1367	1579	+							ENF58_02020	213		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	1367	1579	+	HDI72890.1			hypothetical protein			ENF58_02020	213	70	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	1589	3394	+							ENF58_02025	1806		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	1589	3394	+	HDI72891.1			hypothetical protein			ENF58_02025	1806	601	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	3376	3672	+							ENF58_02030	297		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	3376	3672	+	HDI72892.1			hypothetical protein			ENF58_02030	297	98	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	3682	4818	+							ENF58_02035	1137		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	3682	4818	+	HDI72893.1			hypothetical protein			ENF58_02035	1137	378	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	4830	5576	+							ENF58_02040	747		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	4830	5576	+	HDI72894.1			transglutaminase family protein			ENF58_02040	747	248	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	5624	5854	+							ENF58_02045	231		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	5624	5854	+	HDI72895.1			N-acetyltransferase			ENF58_02045	231	76	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	5856	6191	+							ENF58_02050	336		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	5856	6191	+	HDI72896.1			hypothetical protein			ENF58_02050	336	111	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	6211	6753	+							ENF58_02055	543		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	6211	6753	+	HDI72897.1			hypothetical protein			ENF58_02055	543	180	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	6943	7515	-							ENF58_02060	573		
CDS	with_protein	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	6943	7515	-	HDI72898.1			hypothetical protein			ENF58_02060	573	190	
gene	protein_coding	GCA_011042275.1	Primary Assembly	unplaced scaffold		DQXS01000079.1	7623	7961	+							ENF58_02065	339		
