# Assembly name:  ASM1104227v1
# Organism name:  Candidatus Altiarchaeales archaeon (archaea)
# Isolate:  HyVt-139
# Taxid:          2250256
# BioSample:      SAMN09638305
# BioProject:     PRJNA480137
# Submitter:      The University of Hong Kong
# Date:           2020-02-29
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    DQXS01
# Assembly method: MEGAHIT v. 1.1.2
# Expected final version: yes
# Genome coverage: 27.99x
# Sequencing technology: Illumina HiSeq 2500
# Excluded from RefSeq: derived from metagenome; genus undefined
# GenBank assembly accession: GCA_011042275.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011042285.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Ga0116200_10000074	unplaced-scaffold	na	na	DQXS01000079.1	<>	na	Primary Assembly	22669	na
Ga0116200_10000153	unplaced-scaffold	na	na	DQXS01000139.1	<>	na	Primary Assembly	18623	na
Ga0116200_10000355	unplaced-scaffold	na	na	DQXS01000148.1	<>	na	Primary Assembly	14410	na
Ga0116200_10000397	unplaced-scaffold	na	na	DQXS01000120.1	<>	na	Primary Assembly	13894	na
Ga0116200_10000467	unplaced-scaffold	na	na	DQXS01000112.1	<>	na	Primary Assembly	13246	na
Ga0116200_10000573	unplaced-scaffold	na	na	DQXS01000082.1	<>	na	Primary Assembly	12453	na
Ga0116200_10000645	unplaced-scaffold	na	na	DQXS01000042.1	<>	na	Primary Assembly	12023	na
Ga0116200_10000840	unplaced-scaffold	na	na	DQXS01000115.1	<>	na	Primary Assembly	11167	na
Ga0116200_10000859	unplaced-scaffold	na	na	DQXS01000122.1	<>	na	Primary Assembly	11079	na
Ga0116200_10000870	unplaced-scaffold	na	na	DQXS01000090.1	<>	na	Primary Assembly	11034	na
