# Assembly name:  ASM1202679v1
# Organism name:  Candidatus Methanoperedens sp. (euryarchaeotes)
# Isolate:  MnB_20
# Taxid:          2032688
# BioSample:      SAMN10872768
# BioProject:     PRJNA520935
# Submitter:      University of Queensland
# Date:           2020-04-03
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    VEPM01
# Assembly method: Metaspades v. 3.11.1
# Expected final version: yes
# Genome coverage: 3218.22519x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_012026795.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_012026825.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Mn.Bin2_1	unplaced-scaffold	na	na	VEPM01000001.1	<>	na	Primary Assembly	266067	na
Mn.Bin2_10	unplaced-scaffold	na	na	VEPM01000010.1	<>	na	Primary Assembly	140204	na
Mn.Bin2_11	unplaced-scaffold	na	na	VEPM01000011.1	<>	na	Primary Assembly	135438	na
Mn.Bin2_12	unplaced-scaffold	na	na	VEPM01000012.1	<>	na	Primary Assembly	124939	na
Mn.Bin2_13	unplaced-scaffold	na	na	VEPM01000013.1	<>	na	Primary Assembly	120484	na
Mn.Bin2_14	unplaced-scaffold	na	na	VEPM01000014.1	<>	na	Primary Assembly	116693	na
Mn.Bin2_15	unplaced-scaffold	na	na	VEPM01000015.1	<>	na	Primary Assembly	98009	na
Mn.Bin2_16	unplaced-scaffold	na	na	VEPM01000016.1	<>	na	Primary Assembly	87964	na
Mn.Bin2_17	unplaced-scaffold	na	na	VEPM01000017.1	<>	na	Primary Assembly	87551	na
Mn.Bin2_18	unplaced-scaffold	na	na	VEPM01000018.1	<>	na	Primary Assembly	87215	na
Mn.Bin2_19	unplaced-scaffold	na	na	VEPM01000019.1	<>	na	Primary Assembly	82734	na
Mn.Bin2_2	unplaced-scaffold	na	na	VEPM01000002.1	<>	na	Primary Assembly	86716	na
