# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	1	2609	+							ENX38_02125	2609		partial
CDS	with_protein	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	1	2609	+	HGF63511.1			hypothetical protein			ENX38_02125	2609	868	partial
gene	protein_coding	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	2912	4780	-					dxs		ENX38_02130	1869		
CDS	with_protein	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	2912	4780	-	HGF63512.1			1-deoxy-D-xylulose-5-phosphate synthase	dxs		ENX38_02130	1869	622	
gene	protein_coding	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	4980	5993	+							ENX38_02135	1014		
CDS	with_protein	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	4980	5993	+	HGF63513.1			hypothetical protein			ENX38_02135	1014	337	
gene	protein_coding	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	6454	6729	+							ENX38_02140	276		
CDS	with_protein	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	6454	6729	+	HGF63514.1			hypothetical protein			ENX38_02140	276	91	
gene	protein_coding	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	6686	7369	-							ENX38_02145	684		
CDS	with_protein	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	6686	7369	-	HGF63515.1			hypothetical protein			ENX38_02145	684	227	
gene	protein_coding	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	7430	8302	+					ispE		ENX38_02150	873		
CDS	with_protein	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	7430	8302	+	HGF63516.1			4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE		ENX38_02150	873	290	
gene	tRNA	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	8433	8556	-							ENX38_02155	124		
tRNA		GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	8433	8556	-				tRNA-Arg			ENX38_02155	94		anticodon=TCT
gene	protein_coding	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	8625	10259	-							ENX38_02160	1635		
CDS	with_protein	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	8625	10259	-	HGF63517.1			thermosome subunit			ENX38_02160	1635	544	
gene	protein_coding	GCA_011358415.1	Primary Assembly	unplaced scaffold		DTNV01000037.1	10513	11121	+							ENX38_02165	609		
