#                                                                                                                                   --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                         accession  query name              accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                                 ------------------- ----------    -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
UPI000597F882                                                                         -          genomic_archaeaHap2.aln -           4.4e-240  812.7  20.4    5e-240  812.5  20.4   1.0   1   0   0   1   1   1   1 status=active 
UPI000737BFBE                                                                         -          genomic_archaeaHap2.aln -           3.5e-222  753.6   1.0  3.9e-222  753.4   1.0   1.0   1   0   0   1   1   1   1 status=active 
UPI0002AF5809                                                                         -          genomic_archaeaHap2.aln -           4.3e-211  716.9   4.8  4.8e-211  716.8   4.8   1.0   1   0   0   1   1   1   1 status=active 
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00069_38                          -          genomic_archaeaHap2.aln -            1.8e-86  305.1  14.5   2.3e-86  304.8  14.5   1.1   1   0   0   1   1   1   1 # 19065 # 21044 # 1 # ID=69_38;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.323 
LFFM01.1.fsa_nt_gi|998543634|gb|LFFM01005575.1|_1                                     -          genomic_archaeaHap2.aln -            2.7e-77  274.8 196.0       0.2   24.2   2.5  22.1  16   6   4  22  22  22  20 # 3 # 7166 # -1 # ID=5575_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.551 
OM-RGC.v1.000935073                                                                   -          genomic_archaeaHap2.aln -            1.6e-71  255.7   4.3   1.9e-71  255.5   4.3   1.1   1   0   0   1   1   1   1 TARA_037_MES_0.1-0.22_scaffold9604_1_gene10309	""	""  
LKMJ01.1.fsa_nt_gi|998607967|gb|LKMJ01001784.1|_16                                    -          genomic_archaeaHap2.aln -              3e-67  241.6  16.1   3.7e-67  241.3  16.1   1.0   1   0   0   1   1   1   1 # 10307 # 12229 # 1 # ID=1784_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456 
LFCJ01.1.fsa_nt_gi|998585003|gb|LFCJ01001378.1|_9                                     -          genomic_archaeaHap2.aln -            9.5e-66  236.7  10.9   1.5e-65  236.0  10.9   1.3   1   1   0   1   1   1   1 # 8363 # 10345 # -1 # ID=1378_9;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.434 
RifCSPlowO2_12_1023861.scaffolds.fasta_scaffold26356_2                                -          genomic_archaeaHap2.aln -              4e-64  231.3  13.9   4.6e-64  231.1  13.9   1.1   1   0   0   1   1   1   1 # 210 # 2183 # -1 # ID=26356_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.358 
LFCJ01.1.fsa_nt_gi|998588745|gb|LFCJ01000121.1|_24                                    -          genomic_archaeaHap2.aln -            3.4e-63  228.2   7.8   4.8e-63  227.7   7.8   1.2   1   0   0   1   1   1   1 # 19625 # 21415 # -1 # ID=121_24;partial=00;start_type=GTG;rbs_motif=TAAA;rbs_spacer=14bp;gc_cont=0.363 
RifOxyB1_1023888.scaffolds.fasta_scaffold05169_1                                      -          genomic_archaeaHap2.aln -            9.6e-60  216.8  29.4   1.2e-59  216.5  29.4   1.1   1   0   0   1   1   1   1 # 97 # 2022 # 1 # ID=5169_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.314 
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold26691_1                           -          genomic_archaeaHap2.aln -            2.4e-58  212.2  24.0     3e-58  211.9  24.0   1.1   1   0   0   1   1   1   1 # 2 # 1723 # -1 # ID=26691_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.330 
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00557_40                           -          genomic_archaeaHap2.aln -            3.2e-58  211.8   4.5   4.3e-58  211.4   4.5   1.2   1   0   0   1   1   1   1 # 17633 # 19441 # 1 # ID=557_40;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315 
