new_tip_label	newlab
3300000868-JGI12330J12834-1000008-299010-8 (Halobacteria)	1
MGYP000648692434	2
MGYP000103175163	3
MGYP000353818161	4
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00069_38 (TBA)	5
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold50355_1 (1 ORF scaffold)	6
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold00713_2 (TBA)	7
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold31711_5 (1 ORF scaffold)	8
3300014206-Ga0172377-10000119-870930-129 (Methanomicrobia)	9
3300014208-Ga0172379-10001592-871560-40 (Methanomicrobia)	10
3300014613-Ga0180008-1001212-875221-12	11
3300014208-Ga0172379-10000243-871512-158 (Methanomicrobia?)	12
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold72169_1 (1 ORF scaffold)	13
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold06785_2 (TBA)	14
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold17623_2 (TBA)	15
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold134102_1 (1 ORF scaffold)	16
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold29013_2 (TBA)	17
Ace Lake-Antarctica -1402-Ga0222697_1002427_6 (TBA)	18
MGYP000565992219	19
SAMEA2619974_10776_4	20
RLG94066.1 (Candidatus Bathyarchaeota archaeon)	21
RKX41251.1 (**Thermotogae bacterium)	22
MGYP000347782300	23
mc35926358|Representative=scaffold16196_4/1624 (TBA)	24
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00511_6 (TBA)	25
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold83478_1 (1 ORF scaffold)	26
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold24857_2 (TBA)	27
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold01114_5 (TBA)	28
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold11370_2 (TBA)	29
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold18285_3 (TBA)	30
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold82302_1 (1 ORF scaffold)	31
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold07707_5 (TBA)	32
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00557_40 (TBA)	33
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold02562_2 (TBA)	34
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold36732_2 (1 ORF scaffold)	35
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold55385_1 (1 ORF scaffold)	36
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold34113_4 (1 ORF scaffold)	37
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold26691_1 (1 ORF scaffold)	38
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold70733_1 (1 ORF scaffold)	39
MGYP000359581082	40
MGYP000642661316	41
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00851_7 (TBA)	42
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold89608_1 (1 ORF scaffold)	43
RKZ11204.1 (Candidatus Fermentibacteria bacterium)	44
MGYP000672152970	45
MGYP000335988725	46
HID09282.1 (Candidatus Micrarchaeota archaeon)	47
WP_179268568.1 (Halobonum sp. NJ-3-1)	48
WP_163487151.1 (Halogeometricum borinquense strain wsp4)	49
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold03294_14 (TBA)	50
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold12674_2 (TBA)	51
AntAceMinimDraft_14_1070370.scaffolds.fasta_scaffold61386_1 (1 ORF scaffold)	52
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold06919_8 (TBA)	53
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold15402_2 (TBA)	54
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold06212_4 (TBA)	55
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold28048_2 (TBA)	56
PlaIllAssembly_1097288.scaffolds.fasta_scaffold00281_9 (TBA)	57
NOZ47386.1 (Chlorobi bacterium)	58
mc1330463358|Representative=gi|984778642|gb|LFUF01005182.1|_1/1417 (TBA)	59
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold19757_2 (TBA)	60
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold02754_4 (TBA)	61
MGYP000692789748	62
AntAceMinimDraft_14_1070370.scaffolds.fasta_scaffold00694_11 (TBA)	63
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold13455_2 (TBA)	64
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00827_26 (TBA)	65
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold20657_2 (TBA)	66
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold10520_11 (TBA)	67
001179505.1	68
000189635.1	69
003719155.1	70
000313135.1	71
HAP2_Chlamy	72
000190715.1	73
MGYP000681001372	74
MGYP000179698888-RLG58774.1 (Candidatus Geothermarchaeota B85_G16)	75
RLI53188.1 (Candidatus Thorarchaeota archaeon)	76
HHR27186.1 (Candidatus Bathyarchaeota archaeon)	77
MGYP000598426430-1548 (Archaea;Euryarchaeota;Halobacteria;Halobacteriales)	78
mc1328965482|Representative=gi|998585003|gb|LFCJ01001378.1|_8/1661 (TBA)	79
LKMP01000007_1 (Nanohaloarchaea archaeon B1-Br10_U2g21)	80
MGYP000005856144	81
MGYP000141506420	82
WP_058826362.1 (Haloferax sp. Q22)	83
WP_049937247.1 - WP_157573584.1 (Haloplanus natans DSM 17983)	84
WP_007110832.1 - WP_144240185.1 (Natrinema altunense (AJ2))	85
ELY83688.1 (JCM12890) (Natrinema altunense JCM12890))	86
