genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
1526048.3	Haloferax sp. Q22	LOEP01000001	RefSeq	source					1	21155	+	21155								
1526048.3	Haloferax sp. Q22	LOEP01000002	RefSeq	source					1	12306	+	12306								
1526048.3	Haloferax sp. Q22	LOEP01000003	RefSeq	source					1	71530	+	71530								
1526048.3	Haloferax sp. Q22	LOEP01000004	RefSeq	source					1	62853	+	62853								
1526048.3	Haloferax sp. Q22	LOEP01000005	RefSeq	source					1	254384	+	254384								
1526048.3	Haloferax sp. Q22	LOEP01000006	RefSeq	source					1	7280	+	7280								
1526048.3	Haloferax sp. Q22	LOEP01000007	RefSeq	source					1	136825	+	136825								
1526048.3	Haloferax sp. Q22	LOEP01000008	RefSeq	source					1	53296	+	53296								
1526048.3	Haloferax sp. Q22	LOEP01000009	RefSeq	source					1	144698	+	144698								
1526048.3	Haloferax sp. Q22	LOEP01000010	RefSeq	source					1	19039	+	19039								
1526048.3	Haloferax sp. Q22	LOEP01000011	RefSeq	source					1	36558	+	36558								
1526048.3	Haloferax sp. Q22	LOEP01000012	RefSeq	source					1	56511	+	56511								
1526048.3	Haloferax sp. Q22	LOEP01000013	RefSeq	source					1	18675	+	18675								
1526048.3	Haloferax sp. Q22	LOEP01000014	RefSeq	source					1	182442	+	182442								
1526048.3	Haloferax sp. Q22	LOEP01000015	RefSeq	source					1	50754	+	50754								
1526048.3	Haloferax sp. Q22	LOEP01000016	RefSeq	source					1	360402	+	360402								
1526048.3	Haloferax sp. Q22	LOEP01000017	RefSeq	source					1	108663	+	108663								
1526048.3	Haloferax sp. Q22	LOEP01000018	RefSeq	source					1	174301	+	174301								
1526048.3	Haloferax sp. Q22	LOEP01000019	RefSeq	source					1	20036	+	20036								
1526048.3	Haloferax sp. Q22	LOEP01000020	RefSeq	source					1	41468	+	41468								
1526048.3	Haloferax sp. Q22	LOEP01000021	RefSeq	source					1	91412	+	91412								
1526048.3	Haloferax sp. Q22	LOEP01000022	RefSeq	source					1	134902	+	134902								
1526048.3	Haloferax sp. Q22	LOEP01000023	RefSeq	source					1	120227	+	120227								
1526048.3	Haloferax sp. Q22	LOEP01000024	RefSeq	source					1	12867	+	12867								
1526048.3	Haloferax sp. Q22	LOEP01000025	RefSeq	source					1	12528	+	12528								
1526048.3	Haloferax sp. Q22	LOEP01000026	RefSeq	source					1	13244	+	13244								
1526048.3	Haloferax sp. Q22	LOEP01000027	RefSeq	source					1	284350	+	284350								
1526048.3	Haloferax sp. Q22	LOEP01000028	RefSeq	source					1	1070	+	1070								
1526048.3	Haloferax sp. Q22	LOEP01000029	RefSeq	source					1	135400	+	135400								
1526048.3	Haloferax sp. Q22	LOEP01000030	RefSeq	source					1	104953	+	104953								
1526048.3	Haloferax sp. Q22	LOEP01000030	RefSeq	assembly_gap					14104	14113	+	10								
1526048.3	Haloferax sp. Q22	LOEP01000031	RefSeq	source					1	68065	+	68065								
1526048.3	Haloferax sp. Q22	LOEP01000032	RefSeq	source					1	288158	+	288158								
1526048.3	Haloferax sp. Q22	LOEP01000032	RefSeq	assembly_gap					38131	38140	+	10								
1526048.3	Haloferax sp. Q22	LOEP01000033	RefSeq	source					1	209828	+	209828								
1526048.3	Haloferax sp. Q22	LOEP01000034	RefSeq	source					1	36535	+	36535								
1526048.3	Haloferax sp. Q22	LOEP01000035	RefSeq	source					1	27349	+	27349								
1526048.3	Haloferax sp. Q22	LOEP01000036	RefSeq	source					1	40089	+	40089								
1526048.3	Haloferax sp. Q22	LOEP01000037	RefSeq	source					1	253462	+	253462								
1526048.3	Haloferax sp. Q22	LOEP01000038	RefSeq	source					1	9462	+	9462								
1526048.3	Haloferax sp. Q22	LOEP01000039	RefSeq	source					1	17990	+	17990								
1526048.3	Haloferax sp. Q22	LOEP01000040	RefSeq	source					1	1403	+	1403								
1526048.3	Haloferax sp. Q22	LOEP01000041	RefSeq	source					1	5117	+	5117								
1526048.3	Haloferax sp. Q22	LOEP01000042	RefSeq	source					1	20981	+	20981								
1526048.3	Haloferax sp. Q22	LOEP01000043	RefSeq	source					1	6423	+	6423								
1526048.3	Haloferax sp. Q22	LOEP01000044	RefSeq	source					1	8151	+	8151								
1526048.3	Haloferax sp. Q22	LOEP01000045	RefSeq	source					1	2812	+	2812								
1526048.3	Haloferax sp. Q22	LOEP01000046	RefSeq	source					1	3041	+	3041								
1526048.3	Haloferax sp. Q22	LOEP01000047	RefSeq	source					1	1311	+	1311								
1526048.3	Haloferax sp. Q22	LOEP01000048	RefSeq	source					1	1832	+	1832								
1526048.3	Haloferax sp. Q22	LOEP01000049	RefSeq	source					1	2177	+	2177								
1526048.3	Haloferax sp. Q22	LOEP01000050	RefSeq	source					1	1297	+	1297								
1526048.3	Haloferax sp. Q22	LOEP01000051	RefSeq	source					1	1091	+	1091								
1526048.3	Haloferax sp. Q22	LOEP01000052	RefSeq	source					1	23848	+	23848								
1526048.3	Haloferax sp. Q22	LOEP01000053	RefSeq	source					1	2056	+	2056								
1526048.3	Haloferax sp. Q22	LOEP01000054	RefSeq	source					1	1064	+	1064								
1526048.3	Haloferax sp. Q22	LOEP01000055	RefSeq	source					1	21779	+	21779								
1526048.3	Haloferax sp. Q22	LOEP01000056	RefSeq	source					1	178105	+	178105								
