genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.616				Translation elongation factor 1 alpha subunit	Human Homolog	Human	BLASTP	NP_001393.1	Homo sapiens				99	95	50	0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.624				SSU ribosomal protein S23e (S12p)	Human Homolog	Human	BLASTP	NP_001016.1	Homo sapiens				96	95	55	0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.662				V-type ATP synthase subunit B (EC 3.6.3.14)	Human Homolog	Human	BLASTP	NP_001684.2	Homo sapiens				97	90	57	0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.663				V-type ATP synthase subunit A (EC 3.6.3.14)	Human Homolog	Human	BLASTP	NP_001681.2	Homo sapiens				90	87	51	0.0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.751				Glutaryl-CoA dehydrogenase (EC 1.3.8.6)	Human Homolog	Human	BLASTP	NP_000150.1	Homo sapiens				99	87	51	2e-131
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.776				hypothetical protein	Transporter	TCDB	BLAT	D4GZC9	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the twin arginine targeting (tat) family.	2.A.64.5.1		100	100	93	0.0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.848				hypothetical protein	Transporter	TCDB	BLAT	D4GUP9	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the pts galactitol (gat) family.	4.A.5.1.5	20333302	100	100	96	8e-81
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.849				PTS system, galactitol-specific IIC component	Transporter	TCDB	BLAT	D4GUQ0	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the pts galactitol (gat) family.	4.A.5.1.5	20333302	97	99	98	1e-281
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.850				hypothetical protein	Transporter	TCDB	BLAT	D4GUQ1	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the pts galactitol (gat) family.	4.A.5.1.5	20333302	98	98	96	4e-46
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1057				weak similarity to aminoglycoside N(3)-acetyltransferase	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic inactivation enzyme	\;				
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1100				Dihydrofolate reductase (EC 1.5.1.3)	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic target in susceptible species	20169085\;25288078				
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1270				hypothetical protein	Transporter	TCDB	BLAT	Q5V456	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809)	the general secretory pathway (sec) family.	3.A.5.7.1	1543743;15520287	96	93	85	1e-19
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1369				Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	Transporter	TCDB	BLAT	D4GYE2	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the phosphotransferase system enzyme i (ei) family.	8.A.7.1.4	20333302	100	100	97	0.0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1370				hypothetical protein	Transporter	TCDB	BLAT	D4GYE3	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the phosphotransferase system hpr (hpr) family.	8.A.8.1.4	20333302	100	100	95	3e-41
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1371				hypothetical protein	Transporter	TCDB	BLAT	D4GYE4	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the pts fructose-mannitol (fru) family.	4.A.2.1.15	20333302	100	100	98	2e-78
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1372				PTS system, fructose-specific IIA component (EC 2.7.1.202) / PTS system, fructose-specific IIB component (EC 2.7.1.202) / PTS system, fructose-specific IIC component	Transporter	TCDB	BLAT	D4GYE5	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the pts fructose-mannitol (fru) family.	4.A.2.1.15	20333302	100	100	99	1e-208
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1415				hypothetical protein	Transporter	TCDB	BLAT	D4GYE3	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the phosphotransferase system hpr (hpr) family.	8.A.8.1.4	20333302	95	97	87	2e-36
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1419				Isoleucyl-tRNA synthetase (EC 6.1.1.5)	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic target in susceptible species	7929087				
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1446				DNA gyrase subunit B (EC 5.99.1.3)	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic target in susceptible species	21693461\;22279180\;9293187				
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1447				DNA gyrase subunit A (EC 5.99.1.3)	Antibiotic Resistance	PATRIC	K-mer Search				antibiotic target in susceptible species	9293187				
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1467				Chaperone protein DnaK	Human Homolog	Human	BLASTP	NP_004125.3	Homo sapiens				94	90	52	0.0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1493				Lipoyl synthase (EC 2.8.1.8)	Human Homolog	Human	BLASTP	NP_006850.2	Homo sapiens				92	77	55	4e-111
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1675				SSU ribosomal protein S15e (S19p)	Human Homolog	Human	BLASTP	NP_001009.1	Homo sapiens				92	91	50	3.000000071226684e-33
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1681				LSU ribosomal protein L23e (L14p)	Human Homolog	Human	BLASTP	NP_000969.1	Homo sapiens				96	90	50	2.0000000718782596e-36
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1773				Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	Antibiotic Resistance	PATRIC	K-mer Search				protein altering cell wall charge conferring antibiotic resistance	21899450				
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1776				Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	Human Homolog	Human	BLASTP	NP_000523.2	Homo sapiens				98	93	59	0.0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1783				Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	Human Homolog	Human	BLASTP	NP_003840.2	Homo sapiens				97	82	53	0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.1844				Translation elongation factor 1 alpha subunit	Human Homolog	Human	BLASTP	NP_001393.1	Homo sapiens				99	94	50	1e-156
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.2115				hypothetical protein	Transporter	TCDB	BLAT	M0JFX5	Haloferax denitrificans ATCC 35960	the putative transglycosylase-associated holin (t-a hol) family.	1.E.43.2.4		100	100	92	3e-73
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.2362				Ammonium transporter	Transporter	TCDB	BLAT	B8ZYW2	Haloferax mediterranei (strain ATCC 33500 / DSM 1411 / JCM 8866 / NBRC 14739 / NCIMB 2177 / R-4)	the ammonium transporter channel (amt) family.	1.A.11.2.11		89	91	91	1e-230
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.2618				hypothetical protein	Transporter	TCDB	BLAT	M0HK80	Haloferax gibbonsii ATCC 33959	the disulfide bond oxidoreductase d (dsbd) family.	5.A.1.6.3		100	100	98	1e-146
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.2665				NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	Human Homolog	Human	BLASTP	NP_077718.3	Homo sapiens				60	65	53	0
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.2717				Twin-arginine translocation protein TatA	Transporter	TCDB	BLAT	D4GVK4	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the twin arginine targeting (tat) family.	2.A.64.4.1		85	85	88	3e-31
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.2736				hypothetical protein	Transporter	TCDB	BLAT	D4GXJ2	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)	the putative bacterial archaeal holin (bah) family.	9.B.185.1.2		100	100	96	3e-71
1526048.3	Haloferax sp. Q22	fig|1526048.3.peg.2815				SSU ribosomal protein S14e (S11p)	Human Homolog	Human	BLASTP	NP_001020242.1	Homo sapiens				86	74	57	9.80908925027372e-45
