# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	65	1279	+						63210918	J1N62_RS00005	1215		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	65	1279	+	WP_207588421.1	WP_207588421.1		proteasome-activating nucleotidase		63210918	J1N62_RS00005	1215	404	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	1422	1979	-						63210919	J1N62_RS00010	558		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	1422	1979	-	WP_207591986.1	WP_207591986.1		VTT domain-containing protein		63210919	J1N62_RS00010	558	185	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	2069	2206	-						63210920	J1N62_RS00015	138		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	2069	2206	-	WP_207588423.1	WP_207588423.1		hypothetical protein		63210920	J1N62_RS00015	138	45	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	2395	2856	-						63210921	J1N62_RS00020	462		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	2395	2856	-	WP_207591987.1	WP_207591987.1		VTT domain-containing protein		63210921	J1N62_RS00020	462	153	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	3142	3732	+						63210922	J1N62_RS00025	591		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	3142	3732	+	WP_207588424.1	WP_207588424.1		GMP synthase subunit A		63210922	J1N62_RS00025	591	196	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	3871	4596	+						63210923	J1N62_RS00030	726		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	3871	4596	+	WP_207588426.1	WP_207588426.1		alanyl-tRNA editing protein		63210923	J1N62_RS00030	726	241	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	4675	5979	-					hflX	63210924	J1N62_RS00035	1305		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	4675	5979	-	WP_207588430.1	WP_207588430.1		GTPase HflX	hflX	63210924	J1N62_RS00035	1305	434	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	6355	6618	-						63210925	J1N62_RS00040	264		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	6355	6618	-	WP_207588431.1	WP_207588431.1		DUF3194 domain-containing protein		63210925	J1N62_RS00040	264	87	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	6686	7081	-						63210926	J1N62_RS00045	396		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	6686	7081	-	WP_207588432.1	WP_207588432.1		prefoldin subunit beta		63210926	J1N62_RS00045	396	131	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	7215	8165	-						63210927	J1N62_RS00050	951		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	7215	8165	-	WP_207588433.1	WP_207588433.1		DUF368 domain-containing protein		63210927	J1N62_RS00050	951	316	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	8213	9073	-						63210928	J1N62_RS00055	861		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	8213	9073	-	WP_207588435.1	WP_207588435.1		hypothetical protein		63210928	J1N62_RS00055	861	286	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	9152	9448	-						63210929	J1N62_RS00060	297		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	9152	9448	-	WP_207588436.1	WP_207588436.1		KEOPS complex Pcc1-like subunit		63210929	J1N62_RS00060	297	98	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	9481	9615	-						63210930	J1N62_RS00065	135		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	9481	9615	-	WP_077205698.1	WP_077205698.1		DNA-directed RNA polymerase subunit P		63210930	J1N62_RS00065	135	44	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	9645	9917	-						63210931	J1N62_RS00070	273		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	9645	9917	-	WP_207588438.1	WP_207588438.1		50S ribosomal protein L37ae		63210931	J1N62_RS00070	273	90	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	9969	10172	-						63210932	J1N62_RS00075	204		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	9969	10172	-	WP_207591988.1	WP_207591988.1		hypothetical protein		63210932	J1N62_RS00075	204	67	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	10243	10959	-						63210933	J1N62_RS00080	717		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	10243	10959	-	WP_207588440.1	WP_207588440.1		DUF2103 domain-containing protein		63210933	J1N62_RS00080	717	238	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	11014	11475	-						63210934	J1N62_RS00085	462		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	11014	11475	-	WP_207588442.1	WP_207588442.1		zinc ribbon domain-containing protein		63210934	J1N62_RS00085	462	153	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	11575	12960	-					truD	63210935	J1N62_RS00090	1386		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	11575	12960	-	WP_207588444.1	WP_207588444.1		tRNA pseudouridine(13) synthase TruD	truD	63210935	J1N62_RS00090	1386	461	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	13085	13333	-						63210936	J1N62_RS00095	249		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	13085	13333	-	WP_207591989.1	WP_207591989.1		hypothetical protein		63210936	J1N62_RS00095	249	82	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	13440	13670	-						63210937	J1N62_RS00100	231		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	13440	13670	-	WP_207588446.1	WP_207588446.1		hypothetical protein		63210937	J1N62_RS00100	231	76	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	13667	14836	-						63210938	J1N62_RS00105	1170		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	13667	14836	-	WP_207588447.1	WP_207588447.1		YihY family inner membrane protein		63210938	J1N62_RS00105	1170	389	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	15061	15621	+						63210939	J1N62_RS00110	561		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	15061	15621	+	WP_207588449.1	WP_207588449.1		TATA-box-binding protein		63210939	J1N62_RS00110	561	186	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	15675	16979	+					aspS	63210940	J1N62_RS00115	1305		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	15675	16979	+	WP_207588451.1	WP_207588451.1		aspartate--tRNA(Asn) ligase	aspS	63210940	J1N62_RS00115	1305	434	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	17084	17638	-						63210941	J1N62_RS00120	555		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	17084	17638	-	WP_207588452.1	WP_207588452.1		hypothetical protein		63210941	J1N62_RS00120	555	184	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	17758	19029	+						63210942	J1N62_RS00125	1272		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	17758	19029	+	WP_207588453.1	WP_207588453.1		cation:proton antiporter		63210942	J1N62_RS00125	1272	423	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	19083	19577	+						63210943	J1N62_RS00130	495		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	19083	19577	+	WP_207588454.1	WP_207588454.1		SHOCT domain-containing protein		63210943	J1N62_RS00130	495	164	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	19777	21012	+						63210944	J1N62_RS00135	1236		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	19777	21012	+	WP_207588455.1	WP_207588455.1		cation:proton antiporter		63210944	J1N62_RS00135	1236	411	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	21083	21502	+						63210945	J1N62_RS00140	420		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	21083	21502	+	WP_207588456.1	WP_207588456.1		universal stress protein		63210945	J1N62_RS00140	420	139	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	21581	22441	+						63210946	J1N62_RS00145	861		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	21581	22441	+	WP_207588457.1	WP_207588457.1		sugar kinase		63210946	J1N62_RS00145	861	286	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	22949	25744	+						63210947	J1N62_RS00150	2796		
CDS	with_protein	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	22949	25744	+	WP_207588458.1	WP_207588458.1		DUF1508 domain-containing protein		63210947	J1N62_RS00150	2796	931	
gene	protein_coding	GCF_017357405.1	Primary Assembly	chromosome	1	NZ_CP071597.1	26074	27045	+						63210948	J1N62_RS00155	972		
