# Assembly name:  ASM1103933v1
# Organism name:  Candidatus Desulfofervidus auxilii (d-proteobacteria)
# Isolate:  HyVt-233
# Taxid:          1621989
# BioSample:      SAMN09638410
# BioProject:     PRJNA480137
# Submitter:      The University of Hong Kong
# Date:           2020-02-28
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    DRBS01
# Assembly method: MEGAHIT v. 1.1.2
# Expected final version: yes
# Genome coverage: 30.31x
# Sequencing technology: Illumina HiSeq 2500
# Excluded from RefSeq: derived from metagenome
# GenBank assembly accession: GCA_011039335.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011039355.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Ga0116200_10000069	unplaced-scaffold	na	na	DRBS01000259.1	<>	na	Primary Assembly	22994	na
Ga0116200_10000080	unplaced-scaffold	na	na	DRBS01000251.1	<>	na	Primary Assembly	22152	na
Ga0116200_10000214	unplaced-scaffold	na	na	DRBS01000086.1	<>	na	Primary Assembly	17048	na
Ga0116200_10000234	unplaced-scaffold	na	na	DRBS01000322.1	<>	na	Primary Assembly	16466	na
Ga0116200_10000315	unplaced-scaffold	na	na	DRBS01000149.1	<>	na	Primary Assembly	15015	na
Ga0116200_10000350	unplaced-scaffold	na	na	DRBS01000211.1	<>	na	Primary Assembly	14468	na
Ga0116200_10000370	unplaced-scaffold	na	na	DRBS01000389.1	<>	na	Primary Assembly	14226	na
Ga0116200_10000402	unplaced-scaffold	na	na	DRBS01000018.1	<>	na	Primary Assembly	13877	na
Ga0116200_10000518	unplaced-scaffold	na	na	DRBS01000206.1	<>	na	Primary Assembly	12744	na
Ga0116200_10000620	unplaced-scaffold	na	na	DRBS01000127.1	<>	na	Primary Assembly	12160	na
Ga0116200_10000679	unplaced-scaffold	na	na	DRBS01000193.1	<>	na	Primary Assembly	11863	na
Ga0116200_10000792	unplaced-scaffold	na	na	DRBS01000066.1	<>	na	Primary Assembly	11369	na
Ga0116200_10000806	unplaced-scaffold	na	na	DRBS01000334.1	<>	na	Primary Assembly	11312	na
Ga0116200_10000821	unplaced-scaffold	na	na	DRBS01000105.1	<>	na	Primary Assembly	11236	na
Ga0116200_10000880	unplaced-scaffold	na	na	DRBS01000233.1	<>	na	Primary Assembly	10991	na
Ga0116200_10000891	unplaced-scaffold	na	na	DRBS01000359.1	<>	na	Primary Assembly	10938	na
Ga0116200_10000925	unplaced-scaffold	na	na	DRBS01000139.1	<>	na	Primary Assembly	10803	na
Ga0116200_10000934	unplaced-scaffold	na	na	DRBS01000404.1	<>	na	Primary Assembly	10766	na
Ga0116200_10000939	unplaced-scaffold	na	na	DRBS01000188.1	<>	na	Primary Assembly	10755	na
