# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	1	213	+							ENG63_06890	213		pseudo
CDS	without_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	1	213	+				choline-binding protein A			ENG63_06890	213		pseudo
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	295	2328	+							ENG63_06895	2034		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	295	2328	+	HDD44567.1			hypothetical protein			ENG63_06895	2034	677	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	2319	2594	+							ENG63_06900	276		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	2319	2594	+	HDD44568.1			hypothetical protein			ENG63_06900	276	91	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	2595	2795	-							ENG63_06905	201		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	2595	2795	-	HDD44569.1			hypothetical protein			ENG63_06905	201	66	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	2788	2994	-							ENG63_06910	207		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	2788	2994	-	HDD44570.1			hypothetical protein			ENG63_06910	207	68	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	2994	3584	-							ENG63_06915	591		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	2994	3584	-	HDD44571.1			peptidoglycan-binding protein			ENG63_06915	591	196	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	3577	4167	-							ENG63_06920	591		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	3577	4167	-	HDD44572.1			hypothetical protein			ENG63_06920	591	196	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	4164	5048	-							ENG63_06925	885		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	4164	5048	-	HDD44573.1			transglutaminase domain-containing protein			ENG63_06925	885	294	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	5050	5940	-							ENG63_06930	891		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	5050	5940	-	HDD44574.1			hypothetical protein			ENG63_06930	891	296	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	5950	6324	-							ENG63_06935	375		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	5950	6324	-	HDD44575.1			hypothetical protein			ENG63_06935	375	124	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	6338	7360	-							ENG63_06940	1023		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	6338	7360	-	HDD44576.1			hypothetical protein			ENG63_06940	1023	340	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	7386	7850	-							ENG63_06945	465		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	7386	7850	-	HDD44577.1			hypothetical protein			ENG63_06945	465	154	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	8998	9618	+							ENG63_06950	621		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	8998	9618	+	HDD44578.1			hypothetical protein			ENG63_06950	621	206	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	9611	10114	+							ENG63_06955	504		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	9611	10114	+	HDD44579.1			hypothetical protein			ENG63_06955	504	167	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	10115	10423	+							ENG63_06960	309		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	10115	10423	+	HDD44580.1			hypothetical protein			ENG63_06960	309	102	
gene	protein_coding	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	10418	12193	-							ENG63_06965	1776		
CDS	with_protein	GCA_011039335.1	Primary Assembly	unplaced scaffold		DRBS01000259.1	10418	12193	-	HDD44581.1			hypothetical protein			ENG63_06965	1776	591	
