# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	1	531	+							DRP09_00005	531		partial
CDS	with_protein	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	1	531	+	RLI58159.1			ATPase			DRP09_00005	531	176	partial
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	544	1263	-					ribA		DRP09_00010	720		
CDS	with_protein	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	544	1263	-	RLI58160.1			GTP cyclohydrolase II	ribA		DRP09_00010	720	239	
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	1374	2438	+							DRP09_00015	1065		
CDS	with_protein	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	1374	2438	+	RLI58161.1			hypothetical protein			DRP09_00015	1065	354	
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	2494	4260	-							DRP09_00020	1767		
CDS	with_protein	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	2494	4260	-	RLI58162.1			hypothetical protein			DRP09_00020	1767	588	
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	4456	5370	+							DRP09_00025	915		
CDS	with_protein	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	4456	5370	+	RLI58163.1			hypothetical protein			DRP09_00025	915	304	
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	5397	7025	-							DRP09_00030	1629		
CDS	with_protein	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	5397	7025	-	RLI58164.1			hypothetical protein			DRP09_00030	1629	542	
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	7131	8027	+							DRP09_00035	897		
CDS	with_protein	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	7131	8027	+	RLI58165.1			hypothetical protein			DRP09_00035	897	298	
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	8106	9383	+							DRP09_00040	1278		
CDS	with_protein	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	8106	9383	+	RLI58166.1			hypothetical protein			DRP09_00040	1278	425	
gene	protein_coding	GCA_003662775.1	Primary Assembly	unplaced scaffold		QMYS01000001.1	9373	10125	+							DRP09_00045	753		
