# Assembly name:  ASM366277v1
# Organism name:  Candidatus Thorarchaeota archaeon (archaea)
# Isolate:  B59_G1
# Taxid:          2053491
# BioSample:      SAMN09214824
# BioProject:     PRJNA362212
# Submitter:      The University of Texas at Austin
# Date:           2018-10-15
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    QMYS01
# Assembly method: megahit v. 1.0.6
# Expected final version: yes
# Genome coverage: 63.7342256214149x
# Sequencing technology: Illumina HiSeq
# Excluded from RefSeq: derived from metagenome; genus undefined
# GenBank assembly accession: GCA_003662775.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003662795.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
B59_Guay1_scaffold_00001	unplaced-scaffold	na	na	QMYS01000001.1	<>	na	Primary Assembly	200187	na
B59_Guay1_scaffold_00004	unplaced-scaffold	na	na	QMYS01000002.1	<>	na	Primary Assembly	124499	na
B59_Guay1_scaffold_00005	unplaced-scaffold	na	na	QMYS01000003.1	<>	na	Primary Assembly	112960	na
B59_Guay1_scaffold_00007	unplaced-scaffold	na	na	QMYS01000004.1	<>	na	Primary Assembly	105898	na
B59_Guay1_scaffold_00008	unplaced-scaffold	na	na	QMYS01000005.1	<>	na	Primary Assembly	103339	na
B59_Guay1_scaffold_00009	unplaced-scaffold	na	na	QMYS01000006.1	<>	na	Primary Assembly	101242	na
B59_Guay1_scaffold_00010	unplaced-scaffold	na	na	QMYS01000007.1	<>	na	Primary Assembly	99253	na
B59_Guay1_scaffold_00014	unplaced-scaffold	na	na	QMYS01000008.1	<>	na	Primary Assembly	90871	na
B59_Guay1_scaffold_00016	unplaced-scaffold	na	na	QMYS01000009.1	<>	na	Primary Assembly	89304	na
B59_Guay1_scaffold_00019	unplaced-scaffold	na	na	QMYS01000010.1	<>	na	Primary Assembly	85381	na
B59_Guay1_scaffold_00020	unplaced-scaffold	na	na	QMYS01000011.1	<>	na	Primary Assembly	83174	na
B59_Guay1_scaffold_00022	unplaced-scaffold	na	na	QMYS01000012.1	<>	na	Primary Assembly	82801	na
B59_Guay1_scaffold_00024	unplaced-scaffold	na	na	QMYS01000013.1	<>	na	Primary Assembly	79800	na
B59_Guay1_scaffold_00026	unplaced-scaffold	na	na	QMYS01000014.1	<>	na	Primary Assembly	75785	na
