genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.188	HT576_00865		folP	Dihydropteroate synthase (EC 2.5.1.15)	Antibiotic Resistance	PATRIC	K-mer Search			Dihydropteroate synthase (EC 2.5.1.15)	antibiotic target in susceptible species	15673783				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.891	HT576_04030		Iso-tRNA	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	Antibiotic Resistance	PATRIC	K-mer Search			Isoleucyl-tRNA synthetase (EC 6.1.1.5)	antibiotic target in susceptible species	7929087				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.894	HT576_04045		GdpD	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	Antibiotic Resistance	PATRIC	K-mer Search			Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	protein altering cell wall charge conferring antibiotic resistance	21899450				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.1016	HT576_04575			Uncharacterized MFS-type transporter	Transporter	TCDB	BLAT	L9XUP5	Natrinema versiforme JCM 10478	the major facilitator superfamily (mfs).	2.A.1.55.2		100	100	82	1e-186
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.1133	HT576_05105			Efflux ABC transporter, permease protein	Transporter	TCDB	BLAT	F8D412	Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6)	the atp-binding cassette (abc) superfamily.	3.A.1.105.12		100	100	92	1e-139
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.1908	HT576_08535		KatG	Catalase-peroxidase KatG (EC 1.11.1.21)	Antibiotic Resistance	PATRIC	K-mer Search			Catalase-peroxidase KatG (EC 1.11.1.21)	antibiotic activation enzyme	14638486				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.1910	HT576_08545			hypothetical protein	Transporter	TCDB	BLAT	D2RXY9	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / NCIMB 13204 / VKM B-1734)	the multidrug/oligosaccharidyl-lipid/polysaccharide (mop) flippase superfamily.	2.A.66.12.3		100	100	95	1e-265
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.2862	HT576_12760			Uncharacterized MFS-type transporter	Transporter	TCDB	BLAT	M0BSL0	Haloterrigena salina JCM 13891	the major facilitator superfamily (mfs).	2.A.1.55.3		100	100	96	1e-216
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.2938	HT576_13100		folA, Dfr	Dihydrofolate reductase (EC 1.5.1.3)	Antibiotic Resistance	PATRIC	K-mer Search			Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.3021	HT576_13455		GdpD	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	Antibiotic Resistance	PATRIC	K-mer Search			Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	protein altering cell wall charge conferring antibiotic resistance	21899450				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.3581	HT576_15920		rpl2	LSU ribosomal protein L8e (L2p)	Drug Target	DrugBank	BLAT	P20276	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809)	Omacetaxine mepesuccinate	Drug target		99	99	87	1e-126
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.3635	HT576_16160		gyrA	DNA gyrase subunit A (EC 5.99.1.3)	Antibiotic Resistance	PATRIC	K-mer Search			DNA gyrase subunit A (EC 5.99.1.3)	antibiotic target in susceptible species	9293187				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.3636	HT576_16165		gyrB	DNA gyrase subunit B (EC 5.99.1.3)	Antibiotic Resistance	PATRIC	K-mer Search			DNA gyrase subunit B (EC 5.99.1.3)	antibiotic target in susceptible species	21693461;22279180;9293187				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.4085	HT576_18125		KatG	Catalase-peroxidase KatG (EC 1.11.1.21)	Antibiotic Resistance	PATRIC	K-mer Search			Catalase-peroxidase KatG (EC 1.11.1.21)	antibiotic activation enzyme	14638486				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.4194	HT576_18590		ptsP	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	Transporter	TCDB	BLAT	D2RXA5	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / NCIMB 13204 / VKM B-1734)	the phosphotransferase system enzyme i (ei) family.	8.A.7.1.3	21304683	100	100	97	0.0
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.4195	HT576_18595			hypothetical protein	Transporter	TCDB	BLAT	D2RXA6	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / NCIMB 13204 / VKM B-1734)	the phosphotransferase system hpr (hpr) family.	8.A.8.1.3	21304683	100	100	100	8e-47
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.4196	HT576_18600			hypothetical protein	Transporter	TCDB	BLAT	D2RXA7	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / NCIMB 13204 / VKM B-1734)	the pts fructose-mannitol (fru) family.	4.A.2.1.14	21304683	100	100	96	2e-77
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.4197	HT576_18605			PTS system, fructose-specific IIA component (EC 2.7.1.202) / PTS system, fructose-specific IIB component (EC 2.7.1.202) / PTS system, fructose-specific IIC component	Transporter	TCDB	BLAT	D2RXA8	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / NCIMB 13204 / VKM B-1734)	the pts fructose-mannitol (fru) family.	4.A.2.1.14	21304683	100	100	95	1e-212
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.4774	HT576_21035		folP	Dihydropteroate synthase (EC 2.5.1.15)	Antibiotic Resistance	PATRIC	K-mer Search			Dihydropteroate synthase (EC 2.5.1.15)	antibiotic target in susceptible species	15673783				
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.5286	HT576_22980		kasA	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	Antibiotic Resistance	PATRIC	K-mer Search			3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	antibiotic target in susceptible species	10428945				
