# Assembly name:  ASM366148v1
# Organism name:  Candidatus Geothermarchaeota archaeon (archaea)
# Isolate:  B85_G16
# Taxid:          2250273
# BioSample:      SAMN09214948
# BioProject:     PRJNA362212
# Submitter:      The University of Texas at Austin
# Date:           2018-10-15
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    QMWF01
# Assembly method: megahit v. 1.0.6
# Expected final version: yes
# Genome coverage: 20.8648648648649x
# Sequencing technology: Illumina HiSeq
# Excluded from RefSeq: derived from metagenome; genus undefined
# GenBank assembly accession: GCA_003661485.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003661495.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
B85_Guay16_scaffold_01839	unplaced-scaffold	na	na	QMWF01000001.1	<>	na	Primary Assembly	16642	na
B85_Guay16_scaffold_02113	unplaced-scaffold	na	na	QMWF01000002.1	<>	na	Primary Assembly	15648	na
B85_Guay16_scaffold_02315	unplaced-scaffold	na	na	QMWF01000003.1	<>	na	Primary Assembly	14959	na
B85_Guay16_scaffold_02391	unplaced-scaffold	na	na	QMWF01000004.1	<>	na	Primary Assembly	14728	na
B85_Guay16_scaffold_02725	unplaced-scaffold	na	na	QMWF01000005.1	<>	na	Primary Assembly	13893	na
B85_Guay16_scaffold_02804	unplaced-scaffold	na	na	QMWF01000006.1	<>	na	Primary Assembly	13698	na
B85_Guay16_scaffold_03016	unplaced-scaffold	na	na	QMWF01000007.1	<>	na	Primary Assembly	13175	na
B85_Guay16_scaffold_03721	unplaced-scaffold	na	na	QMWF01000008.1	<>	na	Primary Assembly	11873	na
B85_Guay16_scaffold_03740	unplaced-scaffold	na	na	QMWF01000009.1	<>	na	Primary Assembly	11848	na
B85_Guay16_scaffold_04073	unplaced-scaffold	na	na	QMWF01000010.1	<>	na	Primary Assembly	11302	na
B85_Guay16_scaffold_04153	unplaced-scaffold	na	na	QMWF01000011.1	<>	na	Primary Assembly	11206	na
B85_Guay16_scaffold_04266	unplaced-scaffold	na	na	QMWF01000012.1	<>	na	Primary Assembly	11050	na
B85_Guay16_scaffold_04432	unplaced-scaffold	na	na	QMWF01000013.1	<>	na	Primary Assembly	10845	na
B85_Guay16_scaffold_04678	unplaced-scaffold	na	na	QMWF01000014.1	<>	na	Primary Assembly	10559	na
B85_Guay16_scaffold_04765	unplaced-scaffold	na	na	QMWF01000015.1	<>	na	Primary Assembly	10456	na
B85_Guay16_scaffold_05497	unplaced-scaffold	na	na	QMWF01000016.1	<>	na	Primary Assembly	9692	na
B85_Guay16_scaffold_05568	unplaced-scaffold	na	na	QMWF01000017.1	<>	na	Primary Assembly	9638	na
B85_Guay16_scaffold_06116	unplaced-scaffold	na	na	QMWF01000018.1	<>	na	Primary Assembly	9222	na
B85_Guay16_scaffold_06152	unplaced-scaffold	na	na	QMWF01000019.1	<>	na	Primary Assembly	9191	na
B85_Guay16_scaffold_06330	unplaced-scaffold	na	na	QMWF01000020.1	<>	na	Primary Assembly	9044	na
B85_Guay16_scaffold_06524	unplaced-scaffold	na	na	QMWF01000021.1	<>	na	Primary Assembly	8900	na
B85_Guay16_scaffold_06897	unplaced-scaffold	na	na	QMWF01000022.1	<>	na	Primary Assembly	8646	na
B85_Guay16_scaffold_06910	unplaced-scaffold	na	na	QMWF01000023.1	<>	na	Primary Assembly	8635	na
B85_Guay16_scaffold_06932	unplaced-scaffold	na	na	QMWF01000024.1	<>	na	Primary Assembly	8622	na
B85_Guay16_scaffold_07018	unplaced-scaffold	na	na	QMWF01000025.1	<>	na	Primary Assembly	8555	na
B85_Guay16_scaffold_07080	unplaced-scaffold	na	na	QMWF01000026.1	<>	na	Primary Assembly	8509	na
B85_Guay16_scaffold_07414	unplaced-scaffold	na	na	QMWF01000027.1	<>	na	Primary Assembly	8330	na
B85_Guay16_scaffold_07433	unplaced-scaffold	na	na	QMWF01000028.1	<>	na	Primary Assembly	8317	na
B85_Guay16_scaffold_07497	unplaced-scaffold	na	na	QMWF01000029.1	<>	na	Primary Assembly	8278	na
B85_Guay16_scaffold_07847	unplaced-scaffold	na	na	QMWF01000030.1	<>	na	Primary Assembly	8073	na
B85_Guay16_scaffold_08153	unplaced-scaffold	na	na	QMWF01000031.1	<>	na	Primary Assembly	7915	na
B85_Guay16_scaffold_08954	unplaced-scaffold	na	na	QMWF01000032.1	<>	na	Primary Assembly	7517	na
B85_Guay16_scaffold_09101	unplaced-scaffold	na	na	QMWF01000033.1	<>	na	Primary Assembly	7447	na
B85_Guay16_scaffold_09273	unplaced-scaffold	na	na	QMWF01000034.1	<>	na	Primary Assembly	7369	na
B85_Guay16_scaffold_09386	unplaced-scaffold	na	na	QMWF01000035.1	<>	na	Primary Assembly	7328	na
B85_Guay16_scaffold_09542	unplaced-scaffold	na	na	QMWF01000036.1	<>	na	Primary Assembly	7259	na
B85_Guay16_scaffold_09894	unplaced-scaffold	na	na	QMWF01000037.1	<>	na	Primary Assembly	7121	na
B85_Guay16_scaffold_10171	unplaced-scaffold	na	na	QMWF01000038.1	<>	na	Primary Assembly	7029	na
B85_Guay16_scaffold_10214	unplaced-scaffold	na	na	QMWF01000039.1	<>	na	Primary Assembly	7012	na
