genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.47				Tyrosyl-tRNA synthetase (EC 6.1.1.1)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.49				Pantoate kinase, archaeal (EC 2.7.1.169)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.51				Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.57				LSU ribosomal protein L37e	Human Homolog	Human	BLASTP	NP_000988.1	Homo sapiens				87	51	50	0.000000005
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.123				Adenylate kinase (EC 2.7.4.3)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.140				SSU ribosomal protein S29e (S14p)	Human Homolog	Human	BLASTP	NP_001023.1	Homo sapiens				57	62	54	0.00000005
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.144				LSU ribosomal protein L23e (L14p)	Human Homolog	Human	BLASTP	NP_000969.1	Homo sapiens				96	90	51	2e-38
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.150				SSU ribosomal protein S15e (S19p)	Human Homolog	Human	BLASTP	NP_001009.1	Homo sapiens				92	91	51	8e-34
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.151				LSU ribosomal protein L8e (L2p)	Drug Target	DrugBank	BLAT	P20276	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809)	Omacetaxine mepesuccinate	Drug target		99	99	87	1e-125
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.163				Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.164				Glutamate 5-kinase (EC 2.7.2.11)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.183				Archaetidylserine decarboxylase @ Phosphatidylserine decarboxylase (EC 4.1.1.65)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.226				Threonyl-tRNA synthetase (EC 6.1.1.3)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.243				Uridine kinase (EC 2.7.1.48)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.244				Arginyl-tRNA synthetase (EC 6.1.1.19)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
222984.5	Natrinema altunense strain AJ2	fig|222984.5.peg.323				Homoserine dehydrogenase (EC 1.1.1.3)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
