genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.15				Seryl-tRNA synthetase (EC 6.1.1.11)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.47				NAD synthetase (EC 6.3.1.5)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.94				Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.96				Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.111				Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.178				V-type ATP synthase subunit A (EC 3.6.3.14)	Human Homolog	Human	BLASTP	NP_001681.2	Homo sapiens				90	87	51	0
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.179				V-type ATP synthase subunit B (EC 3.6.3.14)	Human Homolog	Human	BLASTP	NP_001684.2	Homo sapiens				98	90	57	0
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.194				Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.299				Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.335				Thiamine-monophosphate kinase (EC 2.7.4.16)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
