genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	source			1	1100837	+	1100837				
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	tRNA	fig|926690.3.rna.1		169	244	+	76		tRNA-Cys-GCA		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.1		349	612	-	264		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.2		581	1180	-	600		hypothetical protein		PGF_10363600
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.3		1300	2115	-	816		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.4		2455	3528	-	1074		FIG003737: Predicted deacylase		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.5		3672	3971	-	300		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.6		4111	6003	-	1893		Efflux ABC transporter, permease/ATP-binding protein		PGF_03192541
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.7		6028	7194	-	1167		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.8		7191	7547	-	357		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.9		7623	8630	+	1008		Alcohol dehydrogenase (EC 1.1.1.1)		PGF_03572345
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.10		8793	10253	+	1461		MCP domain signal transducer		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.11		10550	11941	-	1392		ATPase, AAA family		PGF_10048967
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.12		12137	14095	-	1959		Sodium/hydrogen exchanger family protein		PGF_02283065
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.13		14114	15010	-	897		MBL-fold metallo-hydrolase superfamily		PGF_10420457
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.14		15159	16661	+	1503		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.15		16805	18190	+	1386		Seryl-tRNA synthetase (EC 6.1.1.11)		PGF_00051525
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.16		18379	18924	+	546		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.17		18928	19317	-	390		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.18		19503	19991	+	489		Ribosome biogenesis protein TSR3		PGF_00048896
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.19		20257	20511	-	255		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.20		20486	21490	+	1005		OBG-family ribosome assembly protein NOG1/MJ1408		PGF_00007044
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.21		21487	22170	-	684		hypothetical protein		
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.22		22231	23631	-	1401		hypothetical protein		PGF_08225224
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.23		23717	24349	-	633		5-Formyltetrahydrofolate cycloligase paralog implicated in thiamin metabolism		PGF_00426143
926690.3	Haloplanus natans DSM 17983	ATYM01000001	PATRIC	CDS	fig|926690.3.peg.24		24365	24979	+	615		GTP-binding protein EngB		PGF_00007026
