genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	role_name	superclass	class	subclass	subsystem_name
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.15			Seryl-tRNA synthetase (EC 6.1.1.11)	Seryl-tRNA synthetase (EC 6.1.1.11)	Protein Processing	Protein Synthesis	Aminoacyl-tRNA-synthetases	tRNA aminoacylation, Ser
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.20			OBG-family ribosome assembly protein NOG1/MJ1408	OBG-family ribosome assembly protein NOG1/MJ1408	RNA Processing	RNA Processing	RNA processing and modification	Ribosome biogenesis, archaeal
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.23			5-Formyltetrahydrofolate cycloligase paralog implicated in thiamin metabolism	5-Formyltetrahydrofolate cycloligase paralog implicated in thiamin metabolism	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Thiamin	Thiamin, thiazole, hydroxymethylpyrimidine salvage and uptake
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.24			GTP-binding protein EngB	GTP-binding protein EngB	Protein Processing	Protein Synthesis		Universal GTPases
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.25			D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.30			Coenzyme F420-0:L-glutamate ligase (EC 6.3.2.31) @ F420-1:L-glutamate ligase (EC 6.3.2.34)	Coenzyme F420-0:L-glutamate ligase (EC 6.3.2.31)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Coenzyme F420	Coenzyme F420 synthesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.30			Coenzyme F420-0:L-glutamate ligase (EC 6.3.2.31) @ F420-1:L-glutamate ligase (EC 6.3.2.34)	F420-1:L-glutamate ligase (EC 6.3.2.34)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Coenzyme F420	Coenzyme F420 synthesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.35			DNA mismatch repair protein MutL	DNA mismatch repair protein MutL	DNA Processing	DNA Processing	DNA repair	DNA repair, bacterial MutHLS system
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.36			DNA mismatch repair protein MutS	DNA mismatch repair protein MutS	DNA Processing	DNA Processing	DNA repair	DNA repair system including RecA, MutS and a hypothetical protein
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.36			DNA mismatch repair protein MutS	DNA mismatch repair protein MutS	DNA Processing	DNA Processing	DNA repair	DNA repair, bacterial MutHLS system
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.47			NAD synthetase (EC 6.3.1.5)	NAD synthetase (EC 6.3.1.5)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis bacterial
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.47			NAD synthetase (EC 6.3.1.5)	NAD synthetase (EC 6.3.1.5)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis global
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.60			Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.66)	Metabolism	Metabolite damage and its repair or mitigation		Metabolite repair
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.61			Eukaryotic translation initiation factor 2 gamma subunit	Eukaryotic translation initiation factor 2 gamma subunit	Protein Processing	Protein Synthesis	Translation	Translation initiation factors, eukaryotic and archaeal
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.67			N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234) / Kinase (Bud32/PRPK), required for threonylcarbamoyladenosine t(6)A37 formation in tRNA (p53-regulating)	Kinase (Bud32/PRPK), required for threonylcarbamoyladenosine t(6)A37 formation in tRNA (p53-regulating)	RNA Processing	RNA Processing	RNA processing and modification	YrdC-YciO-Sua5 and associated protein families
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.67			N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234) / Kinase (Bud32/PRPK), required for threonylcarbamoyladenosine t(6)A37 formation in tRNA (p53-regulating)	N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)	RNA Processing	RNA Processing	RNA processing and modification	YrdC-YciO-Sua5 and associated protein families
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.83			Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)	Copper-translocating P-type ATPase (EC 3.6.3.4)	Membrane Transport	Membrane Transport	Cation transporters	Copper Transport System
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.86			Halocyanin	Halocyanin	Membrane Transport	Membrane Transport	Cation transporters	Copper transport and blue copper proteins
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.94			Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Tetrapyrroles	Heme Biosynthesis: protoporphyrin-, coproporphyrin- and siroheme-dependent pathways
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.94			Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Tetrapyrroles	Metal chelatases
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.96			Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Tetrapyrroles	Heme Biosynthesis: protoporphyrin-, coproporphyrin- and siroheme-dependent pathways
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.96			Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Tetrapyrroles	Metal chelatases
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.105			6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.111			Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis bacterial
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.111			Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis global
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.115			Prefoldin subunit beta	Prefoldin subunit beta	Protein Processing	Protein Fate (folding, modification, targeting, degradation)	Protein folding	Prefoldin
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.121			tRNA pseudouridine(13) synthase (EC 5.4.99.27)	tRNA pseudouridine(13) synthase (EC 5.4.99.27)	RNA Processing	RNA Processing	RNA processing and modification	RNA pseudouridine synthases
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.123			Peptidyl-tRNA hydrolase, archaeal type (EC 3.1.1.29)	Peptidyl-tRNA hydrolase, archaeal type (EC 3.1.1.29)	Protein Processing	Protein Synthesis	Translation	Translation elongation factors, eukaryotic and archaeal
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.129			D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.133			Aconitate hydratase (EC 4.2.1.3)	Aconitate hydratase (EC 4.2.1.3)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Anaerobic module of TCA
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.133			Aconitate hydratase (EC 4.2.1.3)	Aconitate hydratase (EC 4.2.1.3)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	TCA Cycle
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.137			ADP-ribose pyrophosphatase (EC 3.6.1.13)	ADP-ribose pyrophosphatase (EC 3.6.1.13)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis bacterial
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.137			ADP-ribose pyrophosphatase (EC 3.6.1.13)	ADP-ribose pyrophosphatase (EC 3.6.1.13)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis global
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.137			ADP-ribose pyrophosphatase (EC 3.6.1.13)	ADP-ribose pyrophosphatase (EC 3.6.1.13)	Metabolism	Metabolite damage and its repair or mitigation		Nudix proteins (nucleoside triphosphate hydrolases)
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.144			Aconitate hydratase (EC 4.2.1.3)	Aconitate hydratase (EC 4.2.1.3)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Anaerobic module of TCA
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.144			Aconitate hydratase (EC 4.2.1.3)	Aconitate hydratase (EC 4.2.1.3)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	TCA Cycle
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.145			Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	Metabolism	Metabolite damage and its repair or mitigation		Metabolite repair
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.145			Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	Metabolism	Metabolite damage and its repair or mitigation		Nudix proteins (nucleoside triphosphate hydrolases)
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.149			Lipoate-protein ligase A	Lipoate-protein ligase A	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Lipoic acid	Lipoic acid metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.150			Dihydroorotase (EC 3.5.2.3)	Dihydroorotase (EC 3.5.2.3)	Metabolism	Nucleosides and Nucleotides	Pyrimidines	De Novo Pyrimidine Synthesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.168			Nicotinamidase (EC 3.5.1.19)	Nicotinamidase (EC 3.5.1.19)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis bacterial
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.168			Nicotinamidase (EC 3.5.1.19)	Nicotinamidase (EC 3.5.1.19)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis global
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.173			V-type ATP synthase subunit I (EC 3.6.3.14)	V-type ATP synthase subunit I (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.174			V-type ATP synthase subunit K (EC 3.6.3.14)	V-type ATP synthase subunit K (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.175			V-type ATP synthase subunit E (EC 3.6.3.14)	V-type ATP synthase subunit E (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.176			V-type ATP synthase subunit C (EC 3.6.3.14)	V-type ATP synthase subunit C (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.177			V-type ATP synthase subunit F (EC 3.6.3.14)	V-type ATP synthase subunit F (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.178			V-type ATP synthase subunit A (EC 3.6.3.14)	V-type ATP synthase subunit A (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.179			V-type ATP synthase subunit B (EC 3.6.3.14)	V-type ATP synthase subunit B (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.185			V-type ATP synthase subunit D (EC 3.6.3.14)	V-type ATP synthase subunit D (EC 3.6.3.14)	Energy	Respiration	ATP synthases	V-Type ATP synthase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.188			Eukaryotic peptide chain release factor subunit 1	Eukaryotic peptide chain release factor subunit 1	Protein Processing	Protein Synthesis	Translation	Translation elongation factors, eukaryotic and archaeal
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.191			DNA-binding HTH domain in riboflavin kinase / CTP-dependent archaeal riboflavin kinase (EC 2.7.1.161)	CTP-dependent archaeal riboflavin kinase (EC 2.7.1.161)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD biosynthesis in Archaea
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.191			DNA-binding HTH domain in riboflavin kinase / CTP-dependent archaeal riboflavin kinase (EC 2.7.1.161)	DNA-binding HTH domain in riboflavin kinase	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD biosynthesis in Archaea
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.192			3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	Metabolism	Cofactors, Vitamins, Prosthetic Groups	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD biosynthesis in Archaea
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.194			Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Metabolism	Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain Amino Acid Biosynthesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.194			Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Pyruvate Alanine Serine Interconversions
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.197			Orotate phosphoribosyltransferase (EC 2.4.2.10)	Orotate phosphoribosyltransferase (EC 2.4.2.10)	Metabolism	Nucleosides and Nucleotides	Pyrimidines	De Novo Pyrimidine Synthesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.207			Threonine synthase (EC 4.2.3.1)	Threonine synthase (EC 4.2.3.1)	Metabolism	Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Aspartate to Threonine Module
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.213			Renalase (EC 1.6.3.5), oxidases 1,2-dihydro- and 1,6-dihydro- beta-NAD(P)H isomers back to NAD(P)	Renalase (EC 1.6.3.5), oxidases 1,2-dihydro- and 1,6-dihydro- beta-NAD(P)H isomers back to NAD(P)	DNA Processing	DNA Processing	DNA repair	DNA repair, bacterial photolyase
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.227			Ribosomal RNA processing endonuclease Nob1	Ribosomal RNA processing endonuclease Nob1	RNA Processing	RNA Processing	RNA processing and modification	Ribosome biogenesis, archaeal
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.229			Translation initiation factor 2	Translation initiation factor 2	Protein Processing	Protein Synthesis	Translation	Translation initiation factors, eukaryotic and archaeal
