genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00010	Glycolysis / Gluconeogenesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00071	Fatty acid metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00260	Glycine, serine and threonine metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00350	Tyrosine metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00625	Tetrachloroethene degradation
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00626	Naphthalene and anthracene degradation
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00830	Retinol metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00980	Metabolism of xenobiotics by cytochrome P450
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.9				1.1.1.1	Alcohol dehydrogenase	00982	Drug metabolism - cytochrome P450
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.15				6.1.1.11	Serine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.25				1.1.1.95	Phosphoglycerate dehydrogenase	00260	Glycine, serine and threonine metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.25				1.1.1.95	Phosphoglycerate dehydrogenase	00680	Methane metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.30				6.3.2.31	Coenzyme F420-0:L-glutamate ligase	00680	Methane metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.30				6.3.2.34	Coenzyme F420-1:gamma-L-glutamate ligase	00680	Methane metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.47				6.3.1.5	NAD(+) synthase	00760	Nicotinate and nicotinamide metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.49			"Long-chain-fatty-acid--CoA ligase "	6.2.1.3	Long-chain-fatty-acid--CoA ligase	00071	Fatty acid metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.63				2.7.7.6	DNA-directed RNA polymerase	00230	Purine metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.63				2.7.7.6	DNA-directed RNA polymerase	00240	Pyrimidine metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.82			"Aliphatic amidase amiE "	3.5.1.4	Amidase	00330	Arginine and proline metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.82			"Aliphatic amidase amiE "	3.5.1.4	Amidase	00360	Phenylalanine metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.82			"Aliphatic amidase amiE "	3.5.1.4	Amidase	00380	Tryptophan metabolism
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.82			"Aliphatic amidase amiE "	3.5.1.4	Amidase	00627	1,4-Dichlorobenzene degradation
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.82			"Aliphatic amidase amiE "	3.5.1.4	Amidase	00643	Styrene degradation
926690.3	Haloplanus natans DSM 17983	fig|926690.3.peg.87				1.9.3.1	Cytochrome-c oxidase	00190	Oxidative phosphorylation
