genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.117	C485_00600			Pantothenate:Na+ symporter (TC 2.A.21.1.1)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.241	C485_01250			Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.264	C485_01360		metG	Methionyl-tRNA synthetase (EC 6.1.1.10)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.284	C485_01450			Ribokinase (EC 2.7.1.15)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.308	C485_01565			hypothetical protein	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.310	C485_01575			3-dehydroquinate synthase II (EC 1.4.1.24)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.321	C485_01640			Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.392	C485_02009			Segregation and condensation protein A	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.393	C485_02014			Chromosome partition protein smc	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.398	C485_02049		gatB	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.427	C485_02194			Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.457	C485_02344			2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.563	C485_02848			Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.564	C485_02853			Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.568	C485_02873			Diaminopimelate epimerase (EC 5.1.1.7)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.569	C485_02878			Diaminopimelate decarboxylase (EC 4.1.1.20)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.603	C485_03038		aroE	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.640	C485_03238			NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	Human Homolog	Human	BLASTP	NP_077718.3	Homo sapiens				60	66	52	0
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.697	C485_03498			DNA topoisomerase I (EC 5.99.1.2)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.702	C485_03523			B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)	Human Homolog	Human	BLASTP	XP_005249200.1	Homo sapiens				86	16	51	1e-29
1227494.3	Natrinema altunense JCM 12890	fig|1227494.3.peg.725	C485_03638			Fructose-bisphosphate aldolase, archaeal class I (EC 4.1.2.13)	Essential Gene	PATRIC	FBA			Essential gene, predicted using metabolic flux-balance analysis in LB media						
