genome_id	genome_name	seed_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
1227494.3	Natrinema altunense JCM 12890		C485_01345			pyruvate kinase	2.7.1.40	Pyruvate kinase	00010	Glycolysis / Gluconeogenesis
1227494.3	Natrinema altunense JCM 12890		C485_01345			pyruvate kinase	2.7.1.40	Pyruvate kinase	00230	Purine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01345			pyruvate kinase	2.7.1.40	Pyruvate kinase	00620	Pyruvate metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01345			pyruvate kinase	2.7.1.40	Pyruvate kinase	00710	Carbon fixation in photosynthetic organisms
1227494.3	Natrinema altunense JCM 12890		C485_01360		metG	methionyl-tRNA ligase	6.1.1.10	Methionine--tRNA ligase	00450	Selenoamino acid metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01360		metG	methionyl-tRNA ligase	6.1.1.10	Methionine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_01385			L-tyrosine decarboxylase	4.1.1.25	Tyrosine decarboxylase	00350	Tyrosine metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01385			L-tyrosine decarboxylase	4.1.1.25	Tyrosine decarboxylase	00950	Isoquinoline alkaloid biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_01575			3-dehydroquinate synthase	4.2.3.4	3-dehydroquinate synthase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_01590			3-dehydroquinate synthase	4.2.3.4	3-dehydroquinate synthase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1227494.3	Natrinema altunense JCM 12890		C485_01625			fructose-bisphosphate aldolase	4.1.2.13	Fructose-bisphosphate aldolase	00010	Glycolysis / Gluconeogenesis
1227494.3	Natrinema altunense JCM 12890		C485_01625			fructose-bisphosphate aldolase	4.1.2.13	Fructose-bisphosphate aldolase	00030	Pentose phosphate pathway
1227494.3	Natrinema altunense JCM 12890		C485_01625			fructose-bisphosphate aldolase	4.1.2.13	Fructose-bisphosphate aldolase	00051	Fructose and mannose metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01625			fructose-bisphosphate aldolase	4.1.2.13	Fructose-bisphosphate aldolase	00680	Methane metabolism
1227494.3	Natrinema altunense JCM 12890		C485_01625			fructose-bisphosphate aldolase	4.1.2.13	Fructose-bisphosphate aldolase	00710	Carbon fixation in photosynthetic organisms
