genome_id	genome_name	accession	annotation	feature_type	seed_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	go	ec	pathway
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00005			2	250	+	249		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00010			597	1004	-	408		TrmB family transcriptional regulator				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00015			1107	2147	-	1041		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00020			2148	2294	-	147		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00025			2655	3503	+	849		UspA domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00030			3522	4247	-	726		Bacterio-opsin activator HTH domain-containing protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00035			4265	5686	+	1422		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00040			5920	6282	+	363		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00045			6320	6673	-	354		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00050			6673	7674	-	1002		cytochrome d ubiquinol oxidase, subunit II				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00055			7667	9088	-	1422		cytochrome bd ubiquinol oxidase subunit I				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00060			9282	10454	-	1173		phosphate transporter				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00065			10499	10957	-	459		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00070			10957	11514	-	558		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00075			11520	12713	-	1194		beta-lactamase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00080			12956	13204	+	249		SirA family protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00085			13201	13782	+	582		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00090			14010	15419	+	1410		na /proline symporter				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00095			15521	15655	-	135		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00100			15714	16949	+	1236		transposase, IS605 OrfB family protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00105			17220	18533	-	1314		dienelactone hydrolase-like enzyme				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00110			18706	19617	+	912		hypothetical protein				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00115			20031	21107	+	1077		NADH oxidase				
1227494.3	Natrinema altunense JCM 12890	AOIK01000001	RefSeq	CDS		C485_00120			21138	21836	+	699		short-chain dehydrogenase/reductase SDR				
