# Assembly name:  ASM1315265v1
# Organism name:  Chlorobi bacterium (green sulfur bacteria)
# Isolate:  M_MaxBin.088
# Taxid:          2268192
# BioSample:      SAMN12405733
# BioProject:     PRJNA557557
# Submitter:      Lab of Microbial Oceanography
# Date:           2020-05-22
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JAADFW01
# Assembly method: IDBA-UD v. v1.1.3
# Expected final version: yes
# Genome coverage: 50x
# Sequencing technology: Illumina HiSeq
# Excluded from RefSeq: derived from metagenome; genus undefined
# GenBank assembly accession: GCA_013152655.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013152665.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig-127_10117	unplaced-scaffold	na	na	JAADFW010000001.1	<>	na	Primary Assembly	11056	na
contig-127_101646	unplaced-scaffold	na	na	JAADFW010000002.1	<>	na	Primary Assembly	3245	na
contig-127_1023	unplaced-scaffold	na	na	JAADFW010000003.1	<>	na	Primary Assembly	38285	na
contig-127_10421	unplaced-scaffold	na	na	JAADFW010000004.1	<>	na	Primary Assembly	10843	na
contig-127_1044	unplaced-scaffold	na	na	JAADFW010000005.1	<>	na	Primary Assembly	38614	na
contig-127_1052	unplaced-scaffold	na	na	JAADFW010000006.1	<>	na	Primary Assembly	50562	na
contig-127_1065	unplaced-scaffold	na	na	JAADFW010000007.1	<>	na	Primary Assembly	44789	na
contig-127_10817	unplaced-scaffold	na	na	JAADFW010000008.1	<>	na	Primary Assembly	10583	na
contig-127_10894	unplaced-scaffold	na	na	JAADFW010000009.1	<>	na	Primary Assembly	10531	na
contig-127_10912	unplaced-scaffold	na	na	JAADFW010000010.1	<>	na	Primary Assembly	20662	na
contig-127_11215	unplaced-scaffold	na	na	JAADFW010000011.1	<>	na	Primary Assembly	10315	na
contig-127_11339	unplaced-scaffold	na	na	JAADFW010000012.1	<>	na	Primary Assembly	13199	na
contig-127_11343	unplaced-scaffold	na	na	JAADFW010000013.1	<>	na	Primary Assembly	10235	na
contig-127_11437	unplaced-scaffold	na	na	JAADFW010000014.1	<>	na	Primary Assembly	11412	na
contig-127_11533	unplaced-scaffold	na	na	JAADFW010000015.1	<>	na	Primary Assembly	11639	na
contig-127_11535	unplaced-scaffold	na	na	JAADFW010000016.1	<>	na	Primary Assembly	13433	na
contig-127_11666	unplaced-scaffold	na	na	JAADFW010000017.1	<>	na	Primary Assembly	10016	na
contig-127_11731	unplaced-scaffold	na	na	JAADFW010000018.1	<>	na	Primary Assembly	9971	na
contig-127_11774	unplaced-scaffold	na	na	JAADFW010000019.1	<>	na	Primary Assembly	9943	na
contig-127_11790	unplaced-scaffold	na	na	JAADFW010000020.1	<>	na	Primary Assembly	9933	na
contig-127_11933	unplaced-scaffold	na	na	JAADFW010000021.1	<>	na	Primary Assembly	13567	na
contig-127_11960	unplaced-scaffold	na	na	JAADFW010000022.1	<>	na	Primary Assembly	9836	na
contig-127_12163	unplaced-scaffold	na	na	JAADFW010000023.1	<>	na	Primary Assembly	9730	na
contig-127_12266	unplaced-scaffold	na	na	JAADFW010000024.1	<>	na	Primary Assembly	9673	na
contig-127_12680	unplaced-scaffold	na	na	JAADFW010000025.1	<>	na	Primary Assembly	9468	na
contig-127_12963	unplaced-scaffold	na	na	JAADFW010000026.1	<>	na	Primary Assembly	18086	na
contig-127_13028	unplaced-scaffold	na	na	JAADFW010000027.1	<>	na	Primary Assembly	9295	na
contig-127_1311	unplaced-scaffold	na	na	JAADFW010000028.1	<>	na	Primary Assembly	38708	na
contig-127_13142	unplaced-scaffold	na	na	JAADFW010000029.1	<>	na	Primary Assembly	9236	na
contig-127_1324	unplaced-scaffold	na	na	JAADFW010000030.1	<>	na	Primary Assembly	34045	na
contig-127_13285	unplaced-scaffold	na	na	JAADFW010000031.1	<>	na	Primary Assembly	9161	na
contig-127_1349	unplaced-scaffold	na	na	JAADFW010000032.1	<>	na	Primary Assembly	33872	na
