# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	242	1327	-							GXO79_00005	1086		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	242	1327	-	NOZ45144.1			hypothetical protein			GXO79_00005	1086	361	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	1508	2173	-							GXO79_00010	666		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	1508	2173	-	NOZ45145.1			hypothetical protein			GXO79_00010	666	221	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	2302	5610	-							GXO79_00015	3309		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	2302	5610	-	NOZ45146.1			SpoIIE family protein phosphatase			GXO79_00015	3309	1102	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	5704	8241	-							GXO79_00020	2538		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	5704	8241	-	NOZ45147.1			tetratricopeptide repeat protein			GXO79_00020	2538	845	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	8367	10790	-							GXO79_00025	2424		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000001.1	8367	10790	-	NOZ45148.1			tetratricopeptide repeat protein			GXO79_00025	2424	807	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000002.1	4	1326	-							GXO79_00030	1323		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000002.1	4	1326	-	NOZ45149.1			ATP-binding protein			GXO79_00030	1323	440	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000002.1	1899	2252	+							GXO79_00035	354		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000002.1	1899	2252	+	NOZ45150.1			GIY-YIG nuclease family protein			GXO79_00035	354	117	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000002.1	2731	3245	+							GXO79_00040	515		partial
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000002.1	2731	3245	+	NOZ45151.1			SAM-dependent DNA methyltransferase			GXO79_00040	515	171	partial
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	512	1723	+							GXO79_00045	1212		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	512	1723	+	NOZ45152.1			site-specific integrase			GXO79_00045	1212	403	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	1813	2601	+							GXO79_00050	789		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	1813	2601	+	NOZ45153.1			hypothetical protein			GXO79_00050	789	262	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	2601	3392	+							GXO79_00055	792		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	2601	3392	+	NOZ45154.1			nucleotidyl transferase AbiEii/AbiGii toxin family protein			GXO79_00055	792	263	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	3451	5061	-							GXO79_00060	1611		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	3451	5061	-	NOZ45155.1			sigma-54-dependent Fis family transcriptional regulator			GXO79_00060	1611	536	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	5051	5419	-							GXO79_00065	369		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	5051	5419	-	NOZ45156.1			hypothetical protein			GXO79_00065	369	122	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	5506	5994	-							GXO79_00070	489		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	5506	5994	-	NOZ45157.1			adenylate kinase			GXO79_00070	489	162	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	5912	7228	-							GXO79_00075	1317		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	5912	7228	-	NOZ45158.1			radical SAM protein			GXO79_00075	1317	438	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	7232	7534	-							GXO79_00080	303		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	7232	7534	-	NOZ45159.1			hypothetical protein			GXO79_00080	303	100	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	7716	8213	-							GXO79_00085	498		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	7716	8213	-	NOZ45160.1			DUF1294 domain-containing protein			GXO79_00085	498	165	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	8770	9075	+							GXO79_00090	306		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	8770	9075	+	NOZ45161.1			hypothetical protein			GXO79_00090	306	101	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	9080	10570	+							GXO79_00095	1491		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	9080	10570	+	NOZ45162.1			hypothetical protein			GXO79_00095	1491	496	
gene	pseudogene	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	10560	11863	+							GXO79_00100	1304		pseudo
CDS	without_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	10560	11863	+				MBL fold metallo-hydrolase			GXO79_00100	1304		pseudo
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	11984	14128	+							GXO79_00105	2145		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	11984	14128	+	NOZ45163.1			DUF262 domain-containing protein			GXO79_00105	2145	714	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	14149	16095	+							GXO79_00110	1947		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	14149	16095	+	NOZ45164.1			hypothetical protein			GXO79_00110	1947	648	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	16102	19164	+							GXO79_00115	3063		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	16102	19164	+	NOZ45165.1			type I restriction endonuclease subunit R			GXO79_00115	3063	1020	
gene	pseudogene	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	19161	20781	+							GXO79_00120	1621		pseudo
CDS	without_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	19161	20781	+				SAM-dependent DNA methyltransferase			GXO79_00120	1621		pseudo
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	20771	21379	+							GXO79_00125	609		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	20771	21379	+	NOZ45166.1			hypothetical protein			GXO79_00125	609	202	
gene	pseudogene	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	21392	21735	+							GXO79_00130	344		pseudo
CDS	without_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	21392	21735	+				virulence protein			GXO79_00130	344		pseudo
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	21825	23201	+							GXO79_00135	1377		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	21825	23201	+	NOZ45167.1			restriction endonuclease subunit S			GXO79_00135	1377	458	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	23207	25324	+							GXO79_00140	2118		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	23207	25324	+	NOZ45168.1			hypothetical protein			GXO79_00140	2118	705	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	25326	26255	+							GXO79_00145	930		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	25326	26255	+	NOZ45169.1			hypothetical protein			GXO79_00145	930	309	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	26296	28191	+							GXO79_00150	1896		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	26296	28191	+	NOZ45170.1			hypothetical protein			GXO79_00150	1896	631	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	28202	29245	+							GXO79_00155	1044		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	28202	29245	+	NOZ45171.1			hypothetical protein			GXO79_00155	1044	347	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	29599	30087	+							GXO79_00160	489		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	29599	30087	+	NOZ45172.1			DUF2256 domain-containing protein			GXO79_00160	489	162	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	30189	30899	-							GXO79_00165	711		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	30189	30899	-	NOZ45173.1			hypothetical protein			GXO79_00165	711	236	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	30808	31314	-							GXO79_00170	507		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	30808	31314	-	NOZ45174.1			hypothetical protein			GXO79_00170	507	168	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	31314	31592	-							GXO79_00175	279		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	31314	31592	-	NOZ45175.1			helix-turn-helix domain-containing protein			GXO79_00175	279	92	
gene	tRNA	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	32153	32229	-							GXO79_00180	77		
tRNA		GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	32153	32229	-				tRNA-Arg			GXO79_00180	77		anticodon=TCG
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	32343	35108	+							GXO79_00185	2766		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	32343	35108	+	NOZ45176.1			leucine--tRNA ligase			GXO79_00185	2766	921	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	35210	36070	+							GXO79_00190	861		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	35210	36070	+	NOZ45177.1			sigma-70 family RNA polymerase sigma factor			GXO79_00190	861	286	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	36107	36799	-							GXO79_00195	693		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	36107	36799	-	NOZ45178.1			ComF family protein			GXO79_00195	693	230	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	36802	38285	-					dacB		GXO79_00200	1484		partial
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000003.1	36802	38285	-	NOZ45179.1			D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	dacB		GXO79_00200	1484	493	partial
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	314	658	+							GXO79_00205	345		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	314	658	+	NOZ45180.1			hypothetical protein			GXO79_00205	345	114	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	664	1596	+							GXO79_00210	933		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	664	1596	+	NOZ45181.1			DUF4249 family protein			GXO79_00210	933	310	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	1601	4027	+							GXO79_00215	2427		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	1601	4027	+	NOZ45182.1			TonB-dependent receptor			GXO79_00215	2427	808	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	4168	5370	+							GXO79_00220	1203		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	4168	5370	+	NOZ45183.1			amidohydrolase family protein			GXO79_00220	1203	400	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	5382	6725	-					rmuC		GXO79_00225	1344		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	5382	6725	-	NOZ45184.1			DNA recombination protein RmuC	rmuC		GXO79_00225	1344	447	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	6808	7572	-							GXO79_00230	765		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	6808	7572	-	NOZ45185.1			1-acyl-sn-glycerol-3-phosphate acyltransferase			GXO79_00230	765	254	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	7764	8645	-							GXO79_00235	882		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	7764	8645	-	NOZ45186.1			phospholipase			GXO79_00235	882	293	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	8876	10429	-							GXO79_00240	1554		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000004.1	8876	10429	-	NOZ45187.1			hypothetical protein			GXO79_00240	1554	517	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	196	1308	+							GXO79_00245	1113		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	196	1308	+	NOZ45188.1			glycosyltransferase family 4 protein			GXO79_00245	1113	370	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	1301	2188	+							GXO79_00250	888		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	1301	2188	+	NOZ45189.1			glycosyltransferase			GXO79_00250	888	295	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	2564	6271	+							GXO79_00255	3708		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	2564	6271	+	NOZ45190.1			hypothetical protein			GXO79_00255	3708	1235	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	6364	7212	+							GXO79_00260	849		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	6364	7212	+	NOZ45191.1			universal stress protein			GXO79_00260	849	282	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	7384	8220	+							GXO79_00265	837		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	7384	8220	+	NOZ45192.1			universal stress protein			GXO79_00265	837	278	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	8408	9427	+							GXO79_00270	1020		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	8408	9427	+	NOZ45193.1			branched-chain amino acid aminotransferase			GXO79_00270	1020	339	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	9528	12254	+							GXO79_00275	2727		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	9528	12254	+	NOZ45194.1			T9SS type A sorting domain-containing protein			GXO79_00275	2727	908	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	12309	12935	+							GXO79_00280	627		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	12309	12935	+	NOZ45195.1			DUF2975 domain-containing protein			GXO79_00280	627	208	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	12945	13154	+							GXO79_00285	210		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	12945	13154	+	NOZ45196.1			helix-turn-helix transcriptional regulator			GXO79_00285	210	69	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	13363	15534	+							GXO79_00290	2172		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	13363	15534	+	NOZ45197.1			M1 family metallopeptidase			GXO79_00290	2172	723	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	15559	16566	+							GXO79_00295	1008		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	15559	16566	+	NOZ45198.1			hypothetical protein			GXO79_00295	1008	335	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	16630	18423	+							GXO79_00300	1794		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	16630	18423	+	NOZ45199.1			M20/M25/M40 family metallo-hydrolase			GXO79_00300	1794	597	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	18474	19478	+							GXO79_00305	1005		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	18474	19478	+	NOZ45200.1			ChaN family lipoprotein			GXO79_00305	1005	334	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	19540	21039	+							GXO79_00310	1500		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	19540	21039	+	NOZ45201.1			T9SS type A sorting domain-containing protein			GXO79_00310	1500	499	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	21144	23462	+							GXO79_00315	2319		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	21144	23462	+	NOZ45202.1			TonB-dependent receptor			GXO79_00315	2319	772	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	23468	24505	+							GXO79_00320	1038		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	23468	24505	+	NOZ45203.1			hypothetical protein			GXO79_00320	1038	345	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	24692	25330	-							GXO79_00325	639		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	24692	25330	-	NOZ45204.1			CDP-alcohol phosphatidyltransferase			GXO79_00325	639	212	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	25335	26438	-							GXO79_00330	1104		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	25335	26438	-	NOZ45205.1			histidinol-phosphate aminotransferase family protein			GXO79_00330	1104	367	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	26458	27255	-							GXO79_00335	798		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	26458	27255	-	NOZ45206.1			phosphocholine cytidylyltransferase family protein			GXO79_00335	798	265	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	27737	28405	-							GXO79_00340	669		
CDS	with_protein	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	27737	28405	-	NOZ45207.1			cytochrome C			GXO79_00340	669	222	
gene	protein_coding	GCA_013152655.1	Primary Assembly	unplaced scaffold		JAADFW010000005.1	28486	30213	-							GXO79_00345	1728		
