query_id	subject_id	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw
lcl|CP010426.1_prot_AJF62163.1_1	CP010426.1_32068	100	443	443	0	0	0	443	100	1	443	443	100	100	14	456	456	0	907	2345
lcl|CP010426.1_prot_AJF62164.1_2	CP010426.1_32044	100	49	49	0	0	0	49	100	1	49	49	100	100	24	72	72	1.04e-30	98.6	244
lcl|CP010426.1_prot_AJF62165.1_3	CP010426.1_32041	100	316	316	0	0	0	316	100	1	316	316	100	100	5	320	320	0	622	1605
lcl|CP010426.1_prot_AJF62166.1_4	CP010426.1_92	100	623	623	0	0	0	623	100	1	623	623	100	100	1	623	623	0	1268	3281
lcl|CP010426.1_prot_AJF62167.1_5	CP010426.1_31987	100	152	152	0	0	0	152	100	1	152	152	100	100	1	152	152	2.89e-106	296	758
lcl|CP010426.1_prot_AJF62168.1_6	CP010426.1_31980	100	171	171	0	0	0	171	100	1	171	171	100	100	16	186	186	3.84e-123	341	875
lcl|CP010426.1_prot_AJF62169.1_7	CP010426.1_120	100	159	159	0	0	0	159	100	1	159	159	100	100	41	199	199	1.01e-117	327	839
lcl|CP010426.1_prot_AJF62170.1_8	CP010426.1_128	100	91	91	0	0	0	91	100	1	91	91	100	100	9	99	99	1.21e-62	181	460
lcl|CP010426.1_prot_AJF62171.1_9	CP010426.1_31949	100	215	215	0	0	0	215	100	1	215	215	100	100	9	223	223	1.91e-158	434	1115
lcl|CP010426.1_prot_AJF62172.1_10	CP010426.1_154	100	150	150	0	0	0	150	100	1	150	150	100	100	4	153	153	1.15e-105	295	754
lcl|CP010426.1_prot_AJF62173.1_11	CP010426.1_31932	100	199	199	0	0	0	199	100	1	199	199	100	100	9	207	207	1.57e-150	412	1060
lcl|CP010426.1_prot_AJF62174.1_12	CP010426.1_31921	100	171	171	0	0	0	171	100	1	171	171	100	100	1	171	171	1.66e-125	347	889
lcl|CP010426.1_prot_AJF62175.1_13	CP010426.1_189	100	292	292	0	0	0	292	100	1	292	292	100	100	2	293	293	0	566	1460
lcl|CP010426.1_prot_AJF62176.1_14	CP010426.1_211	99.806	515	516	1	0	0	516	100	1	516	516	100	100	8	523	523	0	1027	2655
lcl|CP010426.1_prot_AJF62177.1_15	CP010426.1_31872	100	240	240	0	0	0	240	100	1	240	240	100	100	32	271	271	7.93e-180	491	1263
lcl|CP010426.1_prot_AJF62178.1_16	CP010426.1_241	100	137	137	0	0	0	137	100	1	137	137	100	100	1	137	137	3.38e-95	267	683
lcl|CP010426.1_prot_AJF62179.1_17	CP010426.1_31843	100	319	319	0	0	0	319	100	1	319	319	100	100	1	319	319	0	614	1584
lcl|CP010426.1_prot_AJF62180.1_18	CP010426.1_270	100	52	52	0	0	0	52	100	1	52	52	100	100	2	53	53	4.88e-31	99	245
lcl|CP010426.1_prot_AJF62181.1_19	CP010426.1_283	100	292	292	0	0	0	292	100	1	292	292	100	100	17	308	308	0	611	1575
lcl|CP010426.1_prot_AJF62182.1_20	CP010426.1_31800	100	260	260	0	0	0	260	100	1	260	260	100	100	3	262	262	0	518	1334
lcl|CP010426.1_prot_AJF62183.1_21	CP010426.1_313	100	217	217	0	0	0	217	100	1	217	217	100	100	1	217	217	4.8e-157	430	1105
lcl|CP010426.1_prot_AJF62184.1_22	CP010426.1_324	100	345	345	0	0	0	345	100	1	345	345	100	100	1	345	345	0	671	1732
lcl|CP010426.1_prot_AJF62185.1_23	CP010426.1_331	100	98	98	0	0	0	98	100	1	98	98	100	100	1	98	98	7.67e-64	185	469
lcl|CP010426.1_prot_AJF62186.1_24	CP010426.1_340	100	288	288	0	0	0	288	100	1	288	288	100	100	1	288	288	0	540	1390
lcl|CP010426.1_prot_AJF62187.1_25	CP010426.1_345	100	151	151	0	0	0	151	100	1	151	151	100	100	18	168	168	3.28e-106	296	759
lcl|CP010426.1_prot_AJF62188.1_26	CP010426.1_354	100	188	188	0	0	0	188	100	1	188	188	100	100	4	191	191	2.81e-130	360	924
lcl|CP010426.1_prot_AJF62189.1_27	CP010426.1_374	100	422	422	0	0	0	422	100	1	422	422	100	100	1	422	422	0	845	2183
lcl|CP010426.1_prot_AJF62190.1_28	CP010426.1_405	100	546	546	0	0	0	546	100	1	546	546	100	100	1	546	546	0	1089	2817
lcl|CP010426.1_prot_AJF62191.1_29	CP010426.1_408	100	103	103	0	0	0	103	100	1	103	103	100	100	10	112	112	2.56e-69	199	507
lcl|CP010426.1_prot_AJF62192.1_30	CP010426.1_422	99.6	249	250	1	0	0	250	100	1	250	250	100	100	2	251	251	1.28e-177	485	1248
lcl|CP010426.1_prot_AJF62193.1_31	CP010426.1_470	100	822	822	0	0	0	822	100	1	822	822	100	100	10	831	831	0	1693	4385
lcl|CP010426.1_prot_AJF62194.1_32	CP010426.1_31551	100	406	406	0	0	0	406	100	1	406	406	100	100	1	406	406	0	830	2144
lcl|CP010426.1_prot_AJF62195.1_33	CP010426.1_31524	100	88	88	0	0	0	88	100	1	88	88	100	100	1	88	88	1.83e-59	173	438
lcl|CP010426.1_prot_AJF62196.1_34	CP010426.1_31521	100	87	87	0	0	0	87	100	1	87	87	100	100	10	96	96	1.39e-58	171	433
lcl|CP010426.1_prot_AJF62197.1_35	CP010426.1_541	100	584	584	0	0	0	584	100	1	584	584	100	100	1	584	584	0	1210	3130
lcl|CP010426.1_prot_AJF62198.1_36	CP010426.1_31470	100	122	122	0	0	0	122	100	1	122	122	100	100	11	132	132	2.86e-84	239	609
lcl|CP010426.1_prot_AJF62199.1_37	CP010426.1_31464	100	135	135	0	0	0	135	100	1	135	135	100	100	3	137	137	1.41e-95	268	685
lcl|CP010426.1_prot_AJF62200.1_38	CP010426.1_564	100	243	243	0	0	0	243	100	1	243	243	100	100	2	244	244	1.49e-175	479	1233
lcl|CP010426.1_prot_AJF62201.1_39	CP010426.1_31436	100	68	68	0	0	0	68	100	1	68	68	100	100	5	72	72	1.22e-41	127	318
lcl|CP010426.1_prot_AJF62202.1_40	CP010426.1_592	100	389	389	0	0	0	389	100	1	389	389	100	100	2	390	390	0	791	2043
