# Assembly name:  ASM366200v1
# Organism name:  Candidatus Bathyarchaeota archaeon (archaea)
# Isolate:  B64_G1
# Taxid:          2026714
# BioSample:      SAMN09214776
# BioProject:     PRJNA362212
# Submitter:      The University of Texas at Austin
# Date:           2018-10-15
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    QMXF01
# Assembly method: megahit v. 1.0.6
# Expected final version: yes
# Genome coverage: 57.8671679197995x
# Sequencing technology: Illumina HiSeq
# Excluded from RefSeq: derived from metagenome; fragmented assembly; genus undefined
# GenBank assembly accession: GCA_003662005.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003662015.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
B64_Guay1_scaffold_00806	unplaced-scaffold	na	na	QMXF01000001.1	<>	na	Primary Assembly	17197	na
B64_Guay1_scaffold_01169	unplaced-scaffold	na	na	QMXF01000002.1	<>	na	Primary Assembly	14627	na
B64_Guay1_scaffold_02136	unplaced-scaffold	na	na	QMXF01000003.1	<>	na	Primary Assembly	11301	na
B64_Guay1_scaffold_02355	unplaced-scaffold	na	na	QMXF01000004.1	<>	na	Primary Assembly	10872	na
B64_Guay1_scaffold_03121	unplaced-scaffold	na	na	QMXF01000005.1	<>	na	Primary Assembly	9645	na
B64_Guay1_scaffold_03419	unplaced-scaffold	na	na	QMXF01000006.1	<>	na	Primary Assembly	9231	na
B64_Guay1_scaffold_03539	unplaced-scaffold	na	na	QMXF01000007.1	<>	na	Primary Assembly	9075	na
B64_Guay1_scaffold_03564	unplaced-scaffold	na	na	QMXF01000008.1	<>	na	Primary Assembly	9044	na
B64_Guay1_scaffold_03569	unplaced-scaffold	na	na	QMXF01000009.1	<>	na	Primary Assembly	9038	na
B64_Guay1_scaffold_03675	unplaced-scaffold	na	na	QMXF01000010.1	<>	na	Primary Assembly	8895	na
B64_Guay1_scaffold_03755	unplaced-scaffold	na	na	QMXF01000011.1	<>	na	Primary Assembly	8814	na
B64_Guay1_scaffold_03858	unplaced-scaffold	na	na	QMXF01000012.1	<>	na	Primary Assembly	8703	na
B64_Guay1_scaffold_04052	unplaced-scaffold	na	na	QMXF01000013.1	<>	na	Primary Assembly	8494	na
B64_Guay1_scaffold_04234	unplaced-scaffold	na	na	QMXF01000014.1	<>	na	Primary Assembly	8314	na
B64_Guay1_scaffold_04295	unplaced-scaffold	na	na	QMXF01000015.1	<>	na	Primary Assembly	8267	na
B64_Guay1_scaffold_04662	unplaced-scaffold	na	na	QMXF01000016.1	<>	na	Primary Assembly	7972	na
B64_Guay1_scaffold_04694	unplaced-scaffold	na	na	QMXF01000017.1	<>	na	Primary Assembly	7954	na
B64_Guay1_scaffold_05491	unplaced-scaffold	na	na	QMXF01000018.1	<>	na	Primary Assembly	7425	na
B64_Guay1_scaffold_05632	unplaced-scaffold	na	na	QMXF01000019.1	<>	na	Primary Assembly	7348	na
B64_Guay1_scaffold_05646	unplaced-scaffold	na	na	QMXF01000020.1	<>	na	Primary Assembly	7340	na
B64_Guay1_scaffold_05742	unplaced-scaffold	na	na	QMXF01000021.1	<>	na	Primary Assembly	7279	na
B64_Guay1_scaffold_05768	unplaced-scaffold	na	na	QMXF01000022.1	<>	na	Primary Assembly	7263	na
B64_Guay1_scaffold_05907	unplaced-scaffold	na	na	QMXF01000023.1	<>	na	Primary Assembly	7185	na
B64_Guay1_scaffold_06134	unplaced-scaffold	na	na	QMXF01000024.1	<>	na	Primary Assembly	7050	na
B64_Guay1_scaffold_06215	unplaced-scaffold	na	na	QMXF01000025.1	<>	na	Primary Assembly	7009	na
B64_Guay1_scaffold_06236	unplaced-scaffold	na	na	QMXF01000026.1	<>	na	Primary Assembly	7001	na
B64_Guay1_scaffold_06472	unplaced-scaffold	na	na	QMXF01000027.1	<>	na	Primary Assembly	6886	na
B64_Guay1_scaffold_06525	unplaced-scaffold	na	na	QMXF01000028.1	<>	na	Primary Assembly	6862	na
B64_Guay1_scaffold_06780	unplaced-scaffold	na	na	QMXF01000029.1	<>	na	Primary Assembly	6744	na
B64_Guay1_scaffold_07093	unplaced-scaffold	na	na	QMXF01000030.1	<>	na	Primary Assembly	6616	na
B64_Guay1_scaffold_07197	unplaced-scaffold	na	na	QMXF01000031.1	<>	na	Primary Assembly	6581	na
B64_Guay1_scaffold_07247	unplaced-scaffold	na	na	QMXF01000032.1	<>	na	Primary Assembly	6559	na
B64_Guay1_scaffold_07262	unplaced-scaffold	na	na	QMXF01000033.1	<>	na	Primary Assembly	6553	na
B64_Guay1_scaffold_07276	unplaced-scaffold	na	na	QMXF01000034.1	<>	na	Primary Assembly	6550	na
B64_Guay1_scaffold_07404	unplaced-scaffold	na	na	QMXF01000035.1	<>	na	Primary Assembly	6492	na
B64_Guay1_scaffold_07727	unplaced-scaffold	na	na	QMXF01000036.1	<>	na	Primary Assembly	6365	na
B64_Guay1_scaffold_08130	unplaced-scaffold	na	na	QMXF01000037.1	<>	na	Primary Assembly	6206	na
B64_Guay1_scaffold_08155	unplaced-scaffold	na	na	QMXF01000038.1	<>	na	Primary Assembly	6194	na
B64_Guay1_scaffold_08371	unplaced-scaffold	na	na	QMXF01000039.1	<>	na	Primary Assembly	6116	na
B64_Guay1_scaffold_08386	unplaced-scaffold	na	na	QMXF01000040.1	<>	na	Primary Assembly	6110	na
B64_Guay1_scaffold_08611	unplaced-scaffold	na	na	QMXF01000041.1	<>	na	Primary Assembly	6043	na
B64_Guay1_scaffold_09001	unplaced-scaffold	na	na	QMXF01000042.1	<>	na	Primary Assembly	5932	na
B64_Guay1_scaffold_09130	unplaced-scaffold	na	na	QMXF01000043.1	<>	na	Primary Assembly	5893	na
B64_Guay1_scaffold_09702	unplaced-scaffold	na	na	QMXF01000044.1	<>	na	Primary Assembly	5730	na
B64_Guay1_scaffold_09867	unplaced-scaffold	na	na	QMXF01000045.1	<>	na	Primary Assembly	5682	na
B64_Guay1_scaffold_09982	unplaced-scaffold	na	na	QMXF01000046.1	<>	na	Primary Assembly	5648	na
B64_Guay1_scaffold_10696	unplaced-scaffold	na	na	QMXF01000047.1	<>	na	Primary Assembly	5467	na
B64_Guay1_scaffold_11553	unplaced-scaffold	na	na	QMXF01000048.1	<>	na	Primary Assembly	5273	na
B64_Guay1_scaffold_11834	unplaced-scaffold	na	na	QMXF01000049.1	<>	na	Primary Assembly	5209	na
B64_Guay1_scaffold_12522	unplaced-scaffold	na	na	QMXF01000050.1	<>	na	Primary Assembly	5080	na
B64_Guay1_scaffold_12717	unplaced-scaffold	na	na	QMXF01000051.1	<>	na	Primary Assembly	5042	na
B64_Guay1_scaffold_12923	unplaced-scaffold	na	na	QMXF01000052.1	<>	na	Primary Assembly	5006	na
B64_Guay1_scaffold_12964	unplaced-scaffold	na	na	QMXF01000053.1	<>	na	Primary Assembly	4998	na
B64_Guay1_scaffold_13345	unplaced-scaffold	na	na	QMXF01000054.1	<>	na	Primary Assembly	4932	na
B64_Guay1_scaffold_13723	unplaced-scaffold	na	na	QMXF01000055.1	<>	na	Primary Assembly	4865	na
B64_Guay1_scaffold_13975	unplaced-scaffold	na	na	QMXF01000056.1	<>	na	Primary Assembly	4823	na
B64_Guay1_scaffold_14009	unplaced-scaffold	na	na	QMXF01000057.1	<>	na	Primary Assembly	4816	na
B64_Guay1_scaffold_14115	unplaced-scaffold	na	na	QMXF01000058.1	<>	na	Primary Assembly	4802	na
B64_Guay1_scaffold_14513	unplaced-scaffold	na	na	QMXF01000059.1	<>	na	Primary Assembly	4737	na
B64_Guay1_scaffold_15073	unplaced-scaffold	na	na	QMXF01000060.1	<>	na	Primary Assembly	4645	na
B64_Guay1_scaffold_15184	unplaced-scaffold	na	na	QMXF01000061.1	<>	na	Primary Assembly	4631	na
