# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	72	482	-							DRO29_00005	411		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	72	482	-	RLG98775.1			hypothetical protein			DRO29_00005	411	136	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	557	1621	-							DRO29_00010	1065		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	557	1621	-	RLG98776.1			inositol-3-phosphate synthase			DRO29_00010	1065	354	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	1710	2117	-							DRO29_00015	408		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	1710	2117	-	RLG98777.1			hypothetical protein			DRO29_00015	408	135	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	2374	2856	+							DRO29_00020	483		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	2374	2856	+	RLG98778.1			50S ribosomal protein L22			DRO29_00020	483	160	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	2856	3512	+							DRO29_00025	657		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	2856	3512	+	RLG98779.1			30S ribosomal protein S3			DRO29_00025	657	218	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	3513	3722	+					rpmC		DRO29_00030	210		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	3513	3722	+	RLG98780.1			50S ribosomal protein L29	rpmC		DRO29_00030	210	69	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	3719	4000	+							DRO29_00035	282		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	3719	4000	+	RLG98781.1			ribonuclease P protein subunit			DRO29_00035	282	93	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	3994	4341	+							DRO29_00040	348		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	3994	4341	+	RLG98782.1			30S ribosomal protein S17			DRO29_00040	348	115	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	4355	4765	+							DRO29_00045	411		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	4355	4765	+	RLG98799.1			50S ribosomal protein L14			DRO29_00045	411	136	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	4777	5199	+							DRO29_00050	423		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	4777	5199	+	RLG98783.1			50S ribosomal protein L24			DRO29_00050	423	140	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	5212	5979	+							DRO29_00055	768		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	5212	5979	+	RLG98784.1			30S ribosomal protein S4e			DRO29_00055	768	255	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	5984	6544	+							DRO29_00060	561		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	5984	6544	+	RLG98785.1			50S ribosomal protein L5			DRO29_00060	561	186	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	6557	6724	+					rps14P		DRO29_00065	168		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	6557	6724	+	RLG98786.1			30S ribosomal protein S14	rps14P		DRO29_00065	168	55	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	6759	7142	+							DRO29_00070	384		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	6759	7142	+	RLG98787.1			30S ribosomal protein S8			DRO29_00070	384	127	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	7155	7703	+							DRO29_00075	549		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	7155	7703	+	RLG98788.1			50S ribosomal protein L6			DRO29_00075	549	182	
gene	protein_coding	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	7700	8119	+							DRO29_00080	420		
CDS	with_protein	GCA_003662005.1	Primary Assembly	unplaced scaffold		QMXF01000001.1	7700	8119	+	RLG98789.1			50S ribosomal protein L32e			DRO29_00080	420	139	
