# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	1	212	-							ENG01_00725	212		partial
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	1	212	-	HEX32920.1			hypothetical protein			ENG01_00725	212	71	partial
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	297	848	+							ENG01_00730	552		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	297	848	+	HEX32921.1			N-glycosylase/DNA lyase			ENG01_00730	552	183	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	889	1833	+							ENG01_00735	945		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	889	1833	+	HEX32922.1			replication factor C small subunit			ENG01_00735	945	314	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	1833	2966	+							ENG01_00740	1134		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	1833	2966	+	HEX32923.1			replication factor C large subunit			ENG01_00740	1134	377	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	2949	6290	-							ENG01_00745	3342		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	2949	6290	-	HEX32924.1			DUF2341 domain-containing protein			ENG01_00745	3342	1113	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	6287	6985	-							ENG01_00750	699		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000043.1	6287	6985	-	HEX32925.1			hypothetical protein			ENG01_00750	699	232	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	171	1334	+							ENG01_00440	1164		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	171	1334	+	HEX32865.1			hypothetical protein			ENG01_00440	1164	387	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	1315	1620	-							ENG01_00445	306		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	1315	1620	-	HEX32866.1			ArsR family transcriptional regulator			ENG01_00445	306	101	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	1669	2055	+							ENG01_00450	387		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	1669	2055	+	HEX32867.1			Hsp20/alpha crystallin family protein			ENG01_00450	387	128	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	2057	4150	+							ENG01_00455	2094		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	2057	4150	+	HEX32868.1			AAA family ATPase			ENG01_00455	2094	697	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	4137	5267	-							ENG01_00460	1131		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	4137	5267	-	HEX32869.1			hypothetical protein			ENG01_00460	1131	376	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	5298	6242	-							ENG01_00465	945		
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000028.1	5298	6242	-	HEX32870.1			cation:proton antiporter			ENG01_00465	945	314	
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000051.1	1	500	-							ENG01_00830	500		partial
CDS	with_protein	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000051.1	1	500	-	HEX32940.1			DNA-directed RNA polymerase			ENG01_00830	500	166	partial
gene	protein_coding	GCA_011044075.1	Primary Assembly	unplaced scaffold		DQZJ01000051.1	544	897	-							ENG01_00835	354		
