# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	1	189	+							DRP23_00005	189		partial
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	1	189	+	RKX41618.1			beta-ketoacyl-ACP reductase			DRP23_00005	189	62	partial
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	216	740	+							DRP23_00010	525		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	216	740	+	RKX41619.1			antiterminator			DRP23_00010	525	174	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	729	1055	-							DRP23_00015	327		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	729	1055	-	RKX41629.1			molybdopterin oxidoreductase			DRP23_00015	327	108	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	1112	2335	-							DRP23_00020	1224		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	1112	2335	-	RKX41620.1			pyridine nucleotide-disulfide oxidoreductase			DRP23_00020	1224	407	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	2332	3771	-							DRP23_00025	1440		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	2332	3771	-	RKX41621.1			FAD/NAD(P)-binding oxidoreductase			DRP23_00025	1440	479	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	3878	5920	-							DRP23_00030	2043		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	3878	5920	-	RKX41622.1			hypothetical protein			DRP23_00030	2043	680	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	6089	7531	+					glpK		DRP23_00035	1443		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	6089	7531	+	RKX41623.1			glycerol kinase	glpK		DRP23_00035	1443	480	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	7489	8001	+							DRP23_00040	513		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	7489	8001	+	RKX41624.1			tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE			DRP23_00040	513	170	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	7943	10315	+					lon		DRP23_00045	2373		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	7943	10315	+	RKX41630.1			endopeptidase La	lon		DRP23_00045	2373	790	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	10312	10707	+							DRP23_00050	396		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	10312	10707	+	RKX41625.1			hypothetical protein			DRP23_00050	396	131	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	10704	11822	+							DRP23_00055	1119		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	10704	11822	+	RKX41626.1			hypothetical protein			DRP23_00055	1119	372	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	11819	14374	+							DRP23_00060	2556		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	11819	14374	+	RKX41627.1			hypothetical protein			DRP23_00060	2556	851	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	14365	15006	+							DRP23_00065	642		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	14365	15006	+	RKX41628.1			hypothetical protein			DRP23_00065	642	213	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	15021	15827	+							DRP23_00070	807		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000001.1	15021	15827	+	RKX41631.1			ABC transporter ATP-binding protein			DRP23_00070	807	268	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	55	672	-							DRP23_00075	618		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	55	672	-	RKX41598.1			HAD family hydrolase			DRP23_00075	618	205	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	719	2278	-					pruA		DRP23_00080	1560		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	719	2278	-	RKX41607.1			L-glutamate gamma-semialdehyde dehydrogenase	pruA		DRP23_00080	1560	519	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	2326	3432	-							DRP23_00085	1107		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	2326	3432	-	RKX41608.1			FAD-dependent oxidoreductase			DRP23_00085	1107	368	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	3462	5258	-							DRP23_00090	1797		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	3462	5258	-	RKX41609.1			(2Fe-2S)-binding protein			DRP23_00090	1797	598	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	5263	5592	-							DRP23_00095	330		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	5263	5592	-	RKX41599.1			(2Fe-2S)-binding protein			DRP23_00095	330	109	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	5724	7532	+							DRP23_00100	1809		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	5724	7532	+	RKX41600.1			TIGR03960 family B12-binding radical SAM protein			DRP23_00100	1809	602	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	7534	8292	+							DRP23_00105	759		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	7534	8292	+	RKX41610.1			ribosome biogenesis GTPase YlqF			DRP23_00105	759	252	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	8313	9239	+							DRP23_00110	927		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	8313	9239	+	RKX41601.1			hypothetical protein			DRP23_00110	927	308	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	9257	9790	+							DRP23_00115	534		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	9257	9790	+	RKX41602.1			chromate transporter			DRP23_00115	534	177	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	9787	10305	+							DRP23_00120	519		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	9787	10305	+	RKX41603.1			chromate transporter			DRP23_00120	519	172	
gene	protein_coding	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	10545	12467	+							DRP23_00125	1923		
CDS	with_protein	GCA_003641755.1	Primary Assembly	unplaced scaffold		QNAN01000002.1	10545	12467	+	RKX41604.1			hypothetical protein			DRP23_00125	1923	640	
