# Assembly name:  ASM364175v1
# Organism name:  Thermotogae bacterium (bacteria)
# Isolate:  B96_G9
# Taxid:          2053689
# BioSample:      SAMN09215303
# BioProject:     PRJNA362212
# Submitter:      The University of Texas at Austin
# Date:           2018-10-15
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    QNAN01
# Assembly method: megahit v. 1.0.6
# Expected final version: yes
# Genome coverage: 38.0688405797101x
# Sequencing technology: Illumina HiSeq
# Excluded from RefSeq: derived from metagenome; fragmented assembly; genus undefined
# GenBank assembly accession: GCA_003641755.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003641775.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
B96_Guay9_scaffold_02968	unplaced-scaffold	na	na	QNAN01000001.1	<>	na	Primary Assembly	15924	na
B96_Guay9_scaffold_04094	unplaced-scaffold	na	na	QNAN01000002.1	<>	na	Primary Assembly	13921	na
B96_Guay9_scaffold_04371	unplaced-scaffold	na	na	QNAN01000003.1	<>	na	Primary Assembly	13581	na
B96_Guay9_scaffold_04517	unplaced-scaffold	na	na	QNAN01000004.1	<>	na	Primary Assembly	13392	na
B96_Guay9_scaffold_05261	unplaced-scaffold	na	na	QNAN01000005.1	<>	na	Primary Assembly	12506	na
B96_Guay9_scaffold_05675	unplaced-scaffold	na	na	QNAN01000006.1	<>	na	Primary Assembly	12075	na
B96_Guay9_scaffold_06169	unplaced-scaffold	na	na	QNAN01000007.1	<>	na	Primary Assembly	11620	na
B96_Guay9_scaffold_06329	unplaced-scaffold	na	na	QNAN01000008.1	<>	na	Primary Assembly	11469	na
B96_Guay9_scaffold_07561	unplaced-scaffold	na	na	QNAN01000009.1	<>	na	Primary Assembly	10525	na
B96_Guay9_scaffold_08283	unplaced-scaffold	na	na	QNAN01000010.1	<>	na	Primary Assembly	10098	na
B96_Guay9_scaffold_09402	unplaced-scaffold	na	na	QNAN01000011.1	<>	na	Primary Assembly	9521	na
B96_Guay9_scaffold_100110	unplaced-scaffold	na	na	QNAN01000244.1	<>	na	Primary Assembly	2678	na
B96_Guay9_scaffold_100146	unplaced-scaffold	na	na	QNAN01000245.1	<>	na	Primary Assembly	2677	na
B96_Guay9_scaffold_100811	unplaced-scaffold	na	na	QNAN01000246.1	<>	na	Primary Assembly	2668	na
B96_Guay9_scaffold_10145	unplaced-scaffold	na	na	QNAN01000012.1	<>	na	Primary Assembly	9194	na
B96_Guay9_scaffold_101873	unplaced-scaffold	na	na	QNAN01000247.1	<>	na	Primary Assembly	2652	na
B96_Guay9_scaffold_102128	unplaced-scaffold	na	na	QNAN01000248.1	<>	na	Primary Assembly	2648	na
B96_Guay9_scaffold_102577	unplaced-scaffold	na	na	QNAN01000249.1	<>	na	Primary Assembly	2641	na
B96_Guay9_scaffold_10280	unplaced-scaffold	na	na	QNAN01000013.1	<>	na	Primary Assembly	9140	na
B96_Guay9_scaffold_102829	unplaced-scaffold	na	na	QNAN01000250.1	<>	na	Primary Assembly	2638	na
B96_Guay9_scaffold_103151	unplaced-scaffold	na	na	QNAN01000251.1	<>	na	Primary Assembly	2634	na
B96_Guay9_scaffold_103778	unplaced-scaffold	na	na	QNAN01000252.1	<>	na	Primary Assembly	2624	na
B96_Guay9_scaffold_104037	unplaced-scaffold	na	na	QNAN01000253.1	<>	na	Primary Assembly	2620	na
B96_Guay9_scaffold_104072	unplaced-scaffold	na	na	QNAN01000254.1	<>	na	Primary Assembly	2620	na
B96_Guay9_scaffold_104320	unplaced-scaffold	na	na	QNAN01000255.1	<>	na	Primary Assembly	2616	na
B96_Guay9_scaffold_104499	unplaced-scaffold	na	na	QNAN01000256.1	<>	na	Primary Assembly	2614	na
B96_Guay9_scaffold_104662	unplaced-scaffold	na	na	QNAN01000257.1	<>	na	Primary Assembly	2611	na
B96_Guay9_scaffold_104953	unplaced-scaffold	na	na	QNAN01000258.1	<>	na	Primary Assembly	2607	na
B96_Guay9_scaffold_105384	unplaced-scaffold	na	na	QNAN01000259.1	<>	na	Primary Assembly	2601	na
B96_Guay9_scaffold_10651	unplaced-scaffold	na	na	QNAN01000014.1	<>	na	Primary Assembly	8987	na
B96_Guay9_scaffold_107252	unplaced-scaffold	na	na	QNAN01000260.1	<>	na	Primary Assembly	2575	na
B96_Guay9_scaffold_107300	unplaced-scaffold	na	na	QNAN01000261.1	<>	na	Primary Assembly	2574	na
B96_Guay9_scaffold_107887	unplaced-scaffold	na	na	QNAN01000262.1	<>	na	Primary Assembly	2567	na
B96_Guay9_scaffold_108059	unplaced-scaffold	na	na	QNAN01000263.1	<>	na	Primary Assembly	2565	na
B96_Guay9_scaffold_108414	unplaced-scaffold	na	na	QNAN01000264.1	<>	na	Primary Assembly	2560	na
B96_Guay9_scaffold_109053	unplaced-scaffold	na	na	QNAN01000265.1	<>	na	Primary Assembly	2551	na
B96_Guay9_scaffold_109311	unplaced-scaffold	na	na	QNAN01000266.1	<>	na	Primary Assembly	2547	na
B96_Guay9_scaffold_110177	unplaced-scaffold	na	na	QNAN01000267.1	<>	na	Primary Assembly	2537	na
B96_Guay9_scaffold_110696	unplaced-scaffold	na	na	QNAN01000268.1	<>	na	Primary Assembly	2530	na
B96_Guay9_scaffold_110975	unplaced-scaffold	na	na	QNAN01000269.1	<>	na	Primary Assembly	2526	na
B96_Guay9_scaffold_111124	unplaced-scaffold	na	na	QNAN01000270.1	<>	na	Primary Assembly	2524	na
B96_Guay9_scaffold_111244	unplaced-scaffold	na	na	QNAN01000271.1	<>	na	Primary Assembly	2522	na
B96_Guay9_scaffold_111582	unplaced-scaffold	na	na	QNAN01000272.1	<>	na	Primary Assembly	2518	na
B96_Guay9_scaffold_111634	unplaced-scaffold	na	na	QNAN01000273.1	<>	na	Primary Assembly	2518	na
B96_Guay9_scaffold_111974	unplaced-scaffold	na	na	QNAN01000274.1	<>	na	Primary Assembly	2513	na
B96_Guay9_scaffold_112249	unplaced-scaffold	na	na	QNAN01000275.1	<>	na	Primary Assembly	2509	na
B96_Guay9_scaffold_112699	unplaced-scaffold	na	na	QNAN01000276.1	<>	na	Primary Assembly	2504	na
B96_Guay9_scaffold_11646	unplaced-scaffold	na	na	QNAN01000015.1	<>	na	Primary Assembly	8589	na
B96_Guay9_scaffold_12321	unplaced-scaffold	na	na	QNAN01000016.1	<>	na	Primary Assembly	8335	na
B96_Guay9_scaffold_12965	unplaced-scaffold	na	na	QNAN01000017.1	<>	na	Primary Assembly	8122	na
B96_Guay9_scaffold_13280	unplaced-scaffold	na	na	QNAN01000018.1	<>	na	Primary Assembly	8017	na
B96_Guay9_scaffold_13428	unplaced-scaffold	na	na	QNAN01000019.1	<>	na	Primary Assembly	7973	na
B96_Guay9_scaffold_13443	unplaced-scaffold	na	na	QNAN01000020.1	<>	na	Primary Assembly	7966	na
B96_Guay9_scaffold_13553	unplaced-scaffold	na	na	QNAN01000021.1	<>	na	Primary Assembly	7936	na
B96_Guay9_scaffold_13572	unplaced-scaffold	na	na	QNAN01000022.1	<>	na	Primary Assembly	7929	na
B96_Guay9_scaffold_13841	unplaced-scaffold	na	na	QNAN01000023.1	<>	na	Primary Assembly	7852	na
B96_Guay9_scaffold_13896	unplaced-scaffold	na	na	QNAN01000024.1	<>	na	Primary Assembly	7835	na
B96_Guay9_scaffold_14292	unplaced-scaffold	na	na	QNAN01000025.1	<>	na	Primary Assembly	7719	na
B96_Guay9_scaffold_14427	unplaced-scaffold	na	na	QNAN01000026.1	<>	na	Primary Assembly	7687	na
B96_Guay9_scaffold_15217	unplaced-scaffold	na	na	QNAN01000027.1	<>	na	Primary Assembly	7478	na
B96_Guay9_scaffold_15244	unplaced-scaffold	na	na	QNAN01000028.1	<>	na	Primary Assembly	7472	na
B96_Guay9_scaffold_15520	unplaced-scaffold	na	na	QNAN01000029.1	<>	na	Primary Assembly	7403	na
B96_Guay9_scaffold_16326	unplaced-scaffold	na	na	QNAN01000030.1	<>	na	Primary Assembly	7214	na
B96_Guay9_scaffold_16636	unplaced-scaffold	na	na	QNAN01000031.1	<>	na	Primary Assembly	7149	na
B96_Guay9_scaffold_17542	unplaced-scaffold	na	na	QNAN01000032.1	<>	na	Primary Assembly	6955	na
B96_Guay9_scaffold_17899	unplaced-scaffold	na	na	QNAN01000033.1	<>	na	Primary Assembly	6887	na
B96_Guay9_scaffold_18511	unplaced-scaffold	na	na	QNAN01000034.1	<>	na	Primary Assembly	6773	na
B96_Guay9_scaffold_18734	unplaced-scaffold	na	na	QNAN01000035.1	<>	na	Primary Assembly	6730	na
B96_Guay9_scaffold_18738	unplaced-scaffold	na	na	QNAN01000036.1	<>	na	Primary Assembly	6730	na
B96_Guay9_scaffold_18853	unplaced-scaffold	na	na	QNAN01000037.1	<>	na	Primary Assembly	6710	na
B96_Guay9_scaffold_18924	unplaced-scaffold	na	na	QNAN01000038.1	<>	na	Primary Assembly	6698	na
B96_Guay9_scaffold_19610	unplaced-scaffold	na	na	QNAN01000039.1	<>	na	Primary Assembly	6573	na
B96_Guay9_scaffold_19888	unplaced-scaffold	na	na	QNAN01000040.1	<>	na	Primary Assembly	6520	na
B96_Guay9_scaffold_20597	unplaced-scaffold	na	na	QNAN01000041.1	<>	na	Primary Assembly	6404	na
