Filename	Number of sequences	Number of species
41684_NZ_CP071597.1_457_expanded.faa	5	5
43214_NZ_CP071597.1_1987_expanded.faa	5	5
CG_17.faa	7	5
CG_7.faa	5	5
CG_2.faa	23	5
43810_NZ_CP071597.1_2583_expanded.faa	4	4
42763_NZ_CP071597.1_1536_expanded.faa	4	4
43797_NZ_CP071597.1_2570_expanded.faa	4	4
43833_NZ_CP071597.1_2606_expanded.faa	4	4
CG_4.faa	4	4
44169_LOEP01000012_79_expanded.faa	4	4
43868_NZ_CP071597.1_2641_expanded.faa	4	4
47260_JNCS01000001_1423_expanded.faa	4	4
CG_1.faa	4	4
45611_LOEP01000012_1521_expanded.faa	3	3
45475_LOEP01000012_1385_expanded.faa	3	3
47154_JNCS01000001_1317_expanded.faa	3	3
45253_LOEP01000012_1163_expanded.faa	3	3
47247_JNCS01000001_1410_expanded.faa	3	3
45263_LOEP01000012_1173_expanded.faa	3	3
CG_9.faa	4	3
48048_JNCS01000001_2211_expanded.faa	4	3
47589_JNCS01000001_1752_expanded.faa	3	3
CG_21.faa	3	3
45237_LOEP01000012_1147_expanded.faa	3	3
CG_16.faa	3	3
CG_25.faa	3	3
CG_20.faa	3	3
47161_JNCS01000001_1324_expanded.faa	3	3
59235_ATYM01000002_572_expanded.faa	3	3
47667_JNCS01000001_1830_expanded.faa	3	3
44905_LOEP01000012_815_expanded.faa	2	2
48320_JNCS01000001_2483_expanded.faa	2	2
84146_Ga0207718_100100_2198_expanded.faa	2	2
42832_NZ_CP071597.1_1605_expanded.faa	4	2
46341_JNCS01000001_504_expanded.faa	2	2
45855_JNCS01000001_18_expanded.faa	2	2
44177_LOEP01000012_87_expanded.faa	2	2
48076_JNCS01000001_2239_expanded.faa	2	2
46442_JNCS01000001_605_expanded.faa	4	2
46941_JNCS01000001_1104_expanded.faa	2	2
CG_11.faa	2	2
CG_24.faa	4	2
47706_JNCS01000001_1869_expanded.faa	2	2
46496_JNCS01000001_659_expanded.faa	2	2
44441_LOEP01000012_351_expanded.faa	2	2
46092_JNCS01000001_255_expanded.faa	2	2
CG_22.faa	2	2
48377_JNCS01000001_2540_expanded.faa	2	2
48293_JNCS01000001_2456_expanded.faa	2	2
83409_Ga0207718_100100_1461_expanded.faa	2	2
56537_CP048739_306_expanded.faa	2	2
45254_LOEP01000012_1164_expanded.faa	2	2
45204_LOEP01000012_1114_expanded.faa	2	2
CG_5.faa	2	2
45290_LOEP01000012_1200_expanded.faa	2	2
59096_ATYM01000002_433_expanded.faa	2	2
44183_LOEP01000012_93_expanded.faa	2	2
84024_Ga0207718_100100_2076_expanded.faa	2	2
84302_Ga0207718_100100_2354_expanded.faa	2	2
48400_JNCS01000001_2563_expanded.faa	2	2
46404_JNCS01000001_567_expanded.faa	2	2
44437_LOEP01000012_347_expanded.faa	2	2
44447_LOEP01000012_357_expanded.faa	2	2
84155_Ga0207718_100100_2207_expanded.faa	2	2
44419_LOEP01000012_329_expanded.faa	2	2
45840_JNCS01000001_3_expanded.faa	2	2
47658_JNCS01000001_1821_expanded.faa	2	2
82354_Ga0207718_100100_406_expanded.faa	2	2
46412_JNCS01000001_575_expanded.faa	2	2
43248_NZ_CP071597.1_2021_expanded.faa	2	2
CG_15.faa	2	2
45209_LOEP01000012_1119_expanded.faa	1	1
82806_Ga0207718_100100_858_expanded.faa	1	1
43002_NZ_CP071597.1_1775_expanded.faa	1	1
53268_CP058579_1826_expanded.faa	1	1
82800_Ga0207718_100100_852_expanded.faa	1	1
43720_NZ_CP071597.1_2493_expanded.faa	1	1
CG_10.faa	1	1
60120_ATYM01000002_1457_expanded.faa	1	1
42813_NZ_CP071597.1_1586_expanded.faa	1	1
48625_JABURA010000001_54_expanded.faa	1	1
82702_Ga0207718_100100_754_expanded.faa	1	1
60136_ATYM01000002_1473_expanded.faa	1	1
85783_Ga0207719_100190_1101_expanded.faa	1	1
53883_CP058579_2441_expanded.faa	1	1
42794_NZ_CP071597.1_1567_expanded.faa	1	1
82852_Ga0207718_100100_904_expanded.faa	1	1
42988_NZ_CP071597.1_1761_expanded.faa	1	1
82396_Ga0207718_100100_448_expanded.faa	1	1
53204_CP058579_1762_expanded.faa	1	1
84209_Ga0207718_100100_2261_expanded.faa	1	1
43895_NZ_CP071597.1_2668_expanded.faa	1	1
CG_18.faa	3	1
43381_NZ_CP071597.1_2154_expanded.faa	1	1
54484_CP058579_3042_expanded.faa	1	1
48065_JNCS01000001_2228_expanded.faa	1	1
84632_Ga0207718_100100_2684_expanded.faa	1	1
83860_Ga0207718_100100_1912_expanded.faa	1	1
42908_NZ_CP071597.1_1681_expanded.faa	1	1
82375_Ga0207718_100100_427_expanded.faa	1	1
53252_CP058579_1810_expanded.faa	1	1
83645_Ga0207718_100100_1697_expanded.faa	1	1
60477_ATYM01000002_1814_expanded.faa	1	1
53178_CP058579_1736_expanded.faa	1	1
84018_Ga0207718_100100_2070_expanded.faa	1	1
57534_CP048739_1303_expanded.faa	1	1
53296_CP058579_1854_expanded.faa	1	1
83458_Ga0207718_100100_1510_expanded.faa	1	1
43027_NZ_CP071597.1_1800_expanded.faa	1	1
84204_Ga0207718_100100_2256_expanded.faa	1	1
84261_Ga0207718_100100_2313_expanded.faa	1	1
53221_CP058579_1779_expanded.faa	1	1
82267_Ga0207718_100100_319_expanded.faa	1	1
34553_QNDS01000002.1_592_expanded.faa	0	0
CG_6.faa	0	0
37515_DRYJ01000053.1_37_expanded.faa	0	0
34428_QNDS01000002.1_467_expanded.faa	0	0
50027_JABURA010000001_1456_expanded.faa	0	0
34548_QNDS01000002.1_587_expanded.faa	0	0
33758_QNAN01000020.1_88_expanded.faa	0	0
71369_Ga0172377_10000119_972_expanded.faa	0	0
33726_QNAN01000020.1_56_expanded.faa	0	0
37841_DRYJ01000053.1_363_expanded.faa	0	0
74969_Ga0172379_10000243_1974_expanded.faa	0	0
37817_DRYJ01000053.1_339_expanded.faa	0	0
91317_Ga0222658_1000332_184_expanded.faa	0	0
91803_Ga0222658_1000332_670_expanded.faa	0	0
37834_DRYJ01000053.1_356_expanded.faa	0	0
34062_QNDS01000002.1_101_expanded.faa	0	0
37916_DRYJ01000053.1_438_expanded.faa	0	0
36571_DQXS01000079.1_300_expanded.faa	0	0
19511_CP010426.1_19511_expanded.faa	0	0
55853_CP058579_4411_expanded.faa	0	0
35350_QNDS01000002.1_1389_expanded.faa	0	0
41701_NZ_CP071597.1_474_expanded.faa	0	0
34174_QNDS01000002.1_213_expanded.faa	0	0
33021_LKMP01000007.1_947_expanded.faa	0	0
33757_QNAN01000020.1_87_expanded.faa	0	0
36484_DQXS01000079.1_213_expanded.faa	0	0
64497_Ga0075122_10000557_332_expanded.faa	0	0
71306_Ga0172377_10000119_909_expanded.faa	0	0
33763_QNAN01000020.1_93_expanded.faa	0	0
43488_NZ_CP071597.1_2261_expanded.faa	0	0
37844_DRYJ01000053.1_366_expanded.faa	0	0
37975_DRYJ01000053.1_497_expanded.faa	0	0
35334_QNDS01000002.1_1373_expanded.faa	0	0
64551_Ga0075122_10000557_386_expanded.faa	0	0
34166_QNDS01000002.1_205_expanded.faa	0	0
91810_Ga0222658_1000332_677_expanded.faa	0	0
