	ga0222658_1000332	ga0207718_100100	ga0075122_10000827	Halovivax_sp_KZCA124	Haloplanus_natans_DSM_17983	ga0208375_1000150	ga0164313_10000250	Halobacteriota_Methanoperedens_sp012026795	Haloterrigena_sp_SYSU_A121-1	Fermentibacterota_Aegiribacteria_sp003644925	ga0075120_10000694	ga0065719_100268	Natrinema_altunense_strain_AJ2	ga0207719_100190	ga0207715_100102	ga0172379_10001592	ga0075122_10000557	ga0075122_10000851	Halogeometricum_borinquense_strain_wsp4	jgi12330j12834_1000008	ga0172377_10000119	ga0222667_1000160	Haloferax_sp_Q22	ga0078972_1006503	ga0172379_10000243	Thermoproteota_DSZF01_sp011372955	ga0116200_10000074	ga0207733_100382	Altarchaeota_QMZG01_sp003663045	Nanoarchaeota_GW2011-AR20_sp000830315	Halobonum_sp_NJ-3-1
ga0222658_1000332	1.0	0.023809524	0.076923077	0.035087719	0.013333333	0.033333333	0.0	0.0	0.020408163	0.0	0.038461538	0.015873016	0.013513514	0.017241379	0.0	0.046511628	0.138888889	0.0	0.037735849	0.022727273	0.045454545	0.628571429	0.016949153	0.0	0.058823529	0.015873016	0.0	0.019607843	0.0	0.06122449	0.015625
ga0207718_100100	0.023809524	1.0	0.015384615	0.127906977	0.1875	0.045454545	0.018181818	0.030769231	0.128205128	0.018181818	0.031746032	0.00990099	0.430379747	0.154761905	0.121212121	0.050632911	0.025974026	0.032258065	0.1625	0.777777778	0.05	0.021505376	0.139534884	0.047619048	0.057142857	0.00990099	0.021978022	0.097560976	0.021978022	0.097560976	0.157303371
ga0075122_10000827	0.076923077	0.015384615	1.0	0.026315789	0.018181818	0.222222222	0.038461538	0.125	0.034482759	0.038461538	0.4	0.047619048	0.018518519	0.026315789	0.066666667	0.041666667	0.05	0.2	0.029411765	0.014492754	0.04	0.088235294	0.025641026	0.142857143	0.142857143	0.047619048	0.060606061	0.032258065	0.060606061	0.032258065	0.022727273
Halovivax_sp_KZCA124	0.035087719	0.127906977	0.026315789	1.0	0.225352113	0.05	0.011904762	0.052631579	0.386363636	0.011904762	0.055555556	0.013513514	0.228571429	0.25	0.093023256	0.037037037	0.04	0.057142857	0.434782609	0.134831461	0.036363636	0.03030303	0.245614035	0.026315789	0.068181818	0.013513514	0.015384615	0.188679245	0.015384615	0.105263158	0.357142857
Haloplanus_natans_DSM_17983	0.013333333	0.1875	0.018181818	0.225352113	1.0	0.035087719	0.00990099	0.036363636	0.181818182	0.00990099	0.037735849	0.010989011	0.373333333	0.426229508	0.032258065	0.042857143	0.029850746	0.038461538	0.257575758	0.204081633	0.042253521	0.024096386	0.491525424	0.018181818	0.049180328	0.010989011	0.012195122	0.355932203	0.012195122	0.126760563	0.1625
ga0208375_1000150	0.033333333	0.045454545	0.222222222	0.05	0.035087719	1.0	0.075471698	0.090909091	0.064516129	0.075471698	0.111111111	0.093023256	0.054545455	0.076923077	0.055555556	0.076923077	0.090909091	0.125	0.055555556	0.042857143	0.074074074	0.052631579	0.048780488	0.222222222	0.1875	0.093023256	0.151515152	0.060606061	0.151515152	0.060606061	0.043478261
ga0164313_10000250	0.0	0.018181818	0.038461538	0.011904762	0.00990099	0.075471698	1.0	0.018518519	0.027027027	1.0	0.019230769	0.022727273	0.02020202	0.024096386	0.016393443	0.014285714	0.015151515	0.019607843	0.0125	0.01754386	0.014084507	0.012195122	0.011764706	0.038461538	0.033333333	0.022727273	0.051948052	0.012987013	0.051948052	0.012987013	0.011111111
Halobacteriota_Methanoperedens_sp012026795	0.0	0.030769231	0.125	0.052631579	0.036363636	0.090909091	0.018518519	1.0	0.068965517	0.018518519	0.333333333	0.022727273	0.037037037	0.052631579	0.133333333	0.083333333	0.047619048	0.4	0.058823529	0.028985507	0.125	0.027027027	0.051282051	0.125	0.214285714	0.022727273	0.028571429	0.03125	0.028571429	0.1	0.045454545
Haloterrigena_sp_SYSU_A121-1	0.020408163	0.128205128	0.034482759	0.386363636	0.181818182	0.064516129	0.027027027	0.068965517	1.0	0.027027027	0.074074074	0.015384615	0.132352941	0.22	0.117647059	0.044444444	0.048780488	0.076923077	0.295454545	0.135802469	0.043478261	0.035087719	0.24	0.034482759	0.085714286	0.015384615	0.017857143	0.173913043	0.017857143	0.058823529	0.34
Fermentibacterota_Aegiribacteria_sp003644925	0.0	0.018181818	0.038461538	0.011904762	0.00990099	0.075471698	1.0	0.018518519	0.027027027	1.0	0.019230769	0.022727273	0.02020202	0.024096386	0.016393443	0.014285714	0.015151515	0.019607843	0.0125	0.01754386	0.014084507	0.012195122	0.011764706	0.038461538	0.033333333	0.022727273	0.051948052	0.012987013	0.051948052	0.012987013	0.011111111
ga0075120_10000694	0.038461538	0.031746032	0.4	0.055555556	0.037735849	0.111111111	0.019230769	0.333333333	0.074074074	0.019230769	1.0	0.023809524	0.038461538	0.055555556	0.153846154	0.043478261	0.052631579	0.666666667	0.0625	0.029850746	0.041666667	0.058823529	0.054054054	0.166666667	0.153846154	0.023809524	0.03030303	0.033333333	0.03030303	0.068965517	0.047619048
ga0065719_100268	0.015873016	0.00990099	0.047619048	0.013513514	0.010989011	0.093023256	0.022727273	0.022727273	0.015384615	0.022727273	0.023809524	1.0	0.011111111	0.013513514	0.019607843	0.016666667	0.036363636	0.024390244	0.014285714	0.00952381	0.016393443	0.028169014	0.013333333	0.047619048	0.019607843	1.0	0.092307692	0.014925373	0.092307692	0.014925373	0.0125
Natrinema_altunense_strain_AJ2	0.013513514	0.430379747	0.018518519	0.228571429	0.373333333	0.054545455	0.02020202	0.037037037	0.132352941	0.02020202	0.038461538	0.011111111	1.0	0.194444444	0.105263158	0.043478261	0.03030303	0.039215686	0.205882353	0.444444444	0.042857143	0.024390244	0.175675676	0.057692308	0.06779661	0.011111111	0.025	0.128571429	0.025	0.128571429	0.15
ga0207719_100190	0.017241379	0.154761905	0.026315789	0.25	0.426229508	0.076923077	0.024096386	0.052631579	0.22	0.024096386	0.055555556	0.013513514	0.194444444	1.0	0.044444444	0.037037037	0.04	0.057142857	0.294117647	0.147727273	0.036363636	0.03030303	0.613636364	0.054054054	0.093023256	0.013513514	0.03125	0.8	0.03125	0.05	0.151515152
ga0207715_100102	0.0	0.121212121	0.066666667	0.093023256	0.032258065	0.055555556	0.016393443	0.133333333	0.117647059	0.016393443	0.153846154	0.019607843	0.105263158	0.044444444	1.0	0.03125	0.035714286	0.166666667	0.048780488	0.083333333	0.03030303	0.022727273	0.043478261	0.066666667	0.090909091	0.019607843	0.023809524	0.025641026	0.023809524	0.142857143	0.06
ga0172379_10001592	0.046511628	0.050632911	0.041666667	0.037037037	0.042857143	0.076923077	0.014285714	0.083333333	0.044444444	0.014285714	0.043478261	0.016666667	0.043478261	0.037037037	0.03125	1.0	0.055555556	0.045454545	0.06122449	0.035714286	0.791666667	0.038461538	0.036363636	0.041666667	0.222222222	0.016666667	0.019607843	0.042553191	0.019607843	0.113636364	0.050847458
ga0075122_10000557	0.138888889	0.025974026	0.05	0.04	0.029850746	0.090909091	0.015151515	0.047619048	0.048780488	0.015151515	0.052631579	0.036363636	0.03030303	0.04	0.035714286	0.055555556	1.0	0.055555556	0.043478261	0.024691358	0.054054054	0.470588235	0.039215686	0.05	0.074074074	0.036363636	0.021276596	0.046511628	0.021276596	0.071428571	0.035714286
ga0075122_10000851	0.0	0.032258065	0.2	0.057142857	0.038461538	0.125	0.019607843	0.4	0.076923077	0.019607843	0.666666667	0.024390244	0.039215686	0.057142857	0.166666667	0.045454545	0.055555556	1.0	0.064516129	0.03030303	0.043478261	0.029411765	0.055555556	0.2	0.166666667	0.024390244	0.03125	0.034482759	0.03125	0.071428571	0.048780488
Halogeometricum_borinquense_strain_wsp4	0.037735849	0.1625	0.029411765	0.434782609	0.257575758	0.055555556	0.0125	0.058823529	0.295454545	0.0125	0.0625	0.014285714	0.205882353	0.294117647	0.048780488	0.06122449	0.043478261	0.064516129	1.0	0.127906977	0.06	0.032258065	0.288461538	0.029411765	0.075	0.014285714	0.016393443	0.229166667	0.016393443	0.092592593	0.309090909
jgi12330j12834_1000008	0.022727273	0.777777778	0.014492754	0.134831461	0.204081633	0.042857143	0.01754386	0.028985507	0.135802469	0.01754386	0.029850746	0.00952381	0.444444444	0.147727273	0.083333333	0.035714286	0.024691358	0.03030303	0.127906977	1.0	0.035294118	0.020618557	0.146067416	0.044776119	0.054054054	0.00952381	0.021052632	0.093023256	0.021052632	0.08045977	0.202247191
ga0172377_10000119	0.045454545	0.05	0.04	0.036363636	0.042253521	0.074074074	0.014084507	0.125	0.043478261	0.014084507	0.041666667	0.016393443	0.042857143	0.036363636	0.03030303	0.791666667	0.054054054	0.043478261	0.06	0.035294118	1.0	0.037735849	0.035714286	0.04	0.214285714	0.016393443	0.019230769	0.041666667	0.019230769	0.111111111	0.05
ga0222667_1000160	0.628571429	0.021505376	0.088235294	0.03030303	0.024096386	0.052631579	0.012195122	0.027027027	0.035087719	0.012195122	0.058823529	0.028169014	0.024390244	0.03030303	0.022727273	0.038461538	0.470588235	0.029411765	0.032258065	0.020618557	0.037735849	1.0	0.029850746	0.027777778	0.071428571	0.028169014	0.015873016	0.033898305	0.015873016	0.033898305	0.027777778
Haloferax_sp_Q22	0.016949153	0.139534884	0.025641026	0.245614035	0.491525424	0.048780488	0.011764706	0.051282051	0.24	0.011764706	0.054054054	0.013333333	0.175675676	0.613636364	0.043478261	0.036363636	0.039215686	0.055555556	0.288461538	0.146067416	0.035714286	0.029850746	1.0	0.025641026	0.066666667	0.013333333	0.015151515	0.56097561	0.015151515	0.049180328	0.132352941
ga0078972_1006503	0.0	0.047619048	0.142857143	0.026315789	0.018181818	0.222222222	0.038461538	0.125	0.034482759	0.038461538	0.166666667	0.047619048	0.057692308	0.054054054	0.066666667	0.041666667	0.05	0.2	0.029411765	0.044776119	0.04	0.027777778	0.025641026	1.0	0.142857143	0.047619048	0.09375	0.032258065	0.09375	0.032258065	0.022727273
ga0172379_10000243	0.058823529	0.057142857	0.142857143	0.068181818	0.049180328	0.1875	0.033333333	0.214285714	0.085714286	0.033333333	0.153846154	0.019607843	0.06779661	0.093023256	0.090909091	0.222222222	0.074074074	0.166666667	0.075	0.054054054	0.214285714	0.071428571	0.066666667	0.142857143	1.0	0.019607843	0.048780488	0.052631579	0.048780488	0.142857143	0.06
Thermoproteota_DSZF01_sp011372955	0.015873016	0.00990099	0.047619048	0.013513514	0.010989011	0.093023256	0.022727273	0.022727273	0.015384615	0.022727273	0.023809524	1.0	0.011111111	0.013513514	0.019607843	0.016666667	0.036363636	0.024390244	0.014285714	0.00952381	0.016393443	0.028169014	0.013333333	0.047619048	0.019607843	1.0	0.092307692	0.014925373	0.092307692	0.014925373	0.0125
