# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	829056	440	-							QT11_C0001G0001	796		pseudo
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	437	1768	-							QT11_C0001G0002	1332		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	437	1768	-	AJF62163.1			ATPase associated with various cellular activity AAA_5			QT11_C0001G0002	1332	443	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	1761	1910	-							QT11_C0001G0003	150		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	1761	1910	-	AJF62164.1			hypothetical protein			QT11_C0001G0003	150	49	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	2000	2950	-							QT11_C0001G0004	951		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	2000	2950	-	AJF62165.1			UBA/THIF-type NAD/FAD binding protein			QT11_C0001G0004	951	316	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	3001	4872	+							QT11_C0001G0005	1872		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	3001	4872	+	AJF62166.1			GTP pyrophosphokinase			QT11_C0001G0005	1872	623	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	4865	5323	-							QT11_C0001G0006	459		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	4865	5323	-	AJF62167.1			hypothetical protein			QT11_C0001G0006	459	152	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	5325	5840	-							QT11_C0001G0007	516		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	5325	5840	-	AJF62168.1			Cytidylate kinase			QT11_C0001G0007	516	171	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	5884	6363	+							QT11_C0001G0008	480		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	5884	6363	+	AJF62169.1			hypothetical protein			QT11_C0001G0008	480	159	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	6709	6984	+							QT11_C0001G0009	276		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	6709	6984	+	AJF62170.1			hypothetical protein			QT11_C0001G0009	276	91	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	6985	7632	-							QT11_C0001G0010	648		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	6985	7632	-	AJF62171.1			hypothetical protein			QT11_C0001G0010	648	215	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	7695	8147	+							QT11_C0001G0011	453		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	7695	8147	+	AJF62172.1			Adenylate kinase			QT11_C0001G0011	453	150	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	8137	8736	-							QT11_C0001G0012	600		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	8137	8736	-	AJF62173.1			hypothetical protein			QT11_C0001G0012	600	199	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	8767	9282	-							QT11_C0001G0013	516		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	8767	9282	-	AJF62174.1			tRNA (cytidine(56)-2'-O)-methyltransferase			QT11_C0001G0013	516	171	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	9344	10222	+							QT11_C0001G0014	879		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	9344	10222	+	AJF62175.1			Protein-export membrane protein SecF			QT11_C0001G0014	879	292	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	10219	11769	+							QT11_C0001G0015	1551		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	10219	11769	+	AJF62176.1			SecD/SecF/SecDF export membrane protein			QT11_C0001G0015	1551	516	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	11807	12529	-							QT11_C0001G0016	723		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	11807	12529	-	AJF62177.1			hypothetical protein			QT11_C0001G0016	723	240	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	12712	13125	+							QT11_C0001G0017	414		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	12712	13125	+	AJF62178.1			hypothetical protein			QT11_C0001G0017	414	137	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	13122	14081	-							QT11_C0001G0018	960		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	13122	14081	-	AJF62179.1			hypothetical protein			QT11_C0001G0018	960	319	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	14219	14377	+							QT11_C0001G0019	159		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	14219	14377	+	AJF62180.1			hypothetical protein			QT11_C0001G0019	159	52	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	14410	15288	+							QT11_C0001G0020	879		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	14410	15288	+	AJF62181.1			hypothetical protein			QT11_C0001G0020	879	292	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	15293	16075	-							QT11_C0001G0021	783		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	15293	16075	-	AJF62182.1			hypothetical protein			QT11_C0001G0021	783	260	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	16245	16898	+							QT11_C0001G0022	654		
CDS	with_protein	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	16245	16898	+	AJF62183.1			50S ribosomal protein L1			QT11_C0001G0022	654	217	
gene	protein_coding	GCA_000830315.1	Primary Assembly	chromosome		CP010426.1	16895	17932	+							QT11_C0001G0023	1038		
