new_tip_label	newlab
3300000868-JGI12330J12834-1000008-299010-8 (Halobacteria)	1
3300014206-Ga0172377-10000119-870930-129 (Methanomicrobia)	2
3300014208-Ga0172379-10001592-871560-40 (Methanomicrobia)	3
3300014613-Ga0180008-1001212-875221-12	4
3300014208-Ga0172379-10000243-871512-158 (Methanomicrobia?)	5
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold72169_1 (1 ORF scaffold)	6
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold06785_2 (TBA)	7
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold17623_2 (TBA)	8
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold134102_1 (1 ORF scaffold)	9
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold29013_2 (TBA)	10
RLG94066.1 (Candidatus Bathyarchaeota archaeon)	11
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00511_6 (TBA)	12
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold83478_1 (1 ORF scaffold)	13
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold24857_2 (TBA)	14
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold01114_5 (TBA)	15
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold02562_2 (TBA)	16
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold11370_2 (TBA)	17
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold18285_3 (TBA)	18
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold82302_1 (1 ORF scaffold)	19
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold07707_5 (TBA)	20
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00557_40 (TBA)	21
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold36732_2 (1 ORF scaffold)	22
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold55385_1 (1 ORF scaffold)	23
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold34113_4 (1 ORF scaffold)	24
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold26691_1 (1 ORF scaffold)	25
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold70733_1 (1 ORF scaffold)	26
MGYP000642661316	27
MGYP000359581082	28
mc35926358|Representative=scaffold16196_4/1624 (TBA)	29
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold03294_14 (TBA)	30
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold12674_2 (TBA)	31
AntAceMinimDraft_14_1070370.scaffolds.fasta_scaffold61386_1 (1 ORF scaffold)	32
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold06919_8 (TBA)	33
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold15402_2 (TBA)	34
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold06212_4 (TBA)	35
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold28048_2 (TBA)	36
mc1330463358|Representative=gi|984778642|gb|LFUF01005182.1|_1/1417 (TBA)	37
PlaIllAssembly_1097288.scaffolds.fasta_scaffold00281_9 (TBA)	38
NOZ47386.1 (Chlorobi bacterium)	39
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold19757_2 (TBA)	40
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold02754_4 (TBA)	41
MGYP000692789748	42
AntAceMinimDraft_14_1070370.scaffolds.fasta_scaffold00694_11 (TBA)	43
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold13455_2 (TBA)	44
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00827_26 (TBA)	45
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold20657_2 (TBA)	46
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold10520_11 (TBA)	47
MGYP000335988725	48
HID09282.1 (Candidatus Micrarchaeota archaeon)	49
WP_179268568.1 (Halobonum sp. NJ-3-1)	50
WP_163487151.1 (Halogeometricum borinquense strain wsp4)	51
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00851_7 (TBA)	52
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold89608_1 (1 ORF scaffold)	53
RKZ11204.1 (Candidatus Fermentibacteria bacterium)	54
MGYP000672152970	55
Ace Lake-Antarctica -1402-Ga0222697_1002427_6 (TBA)	56
MGYP000565992219	57
SAMEA2619974_10776_4	58
MGYP000347782300	59
RKX41251.1 (**Thermotogae bacterium)	60
001179505.1	61
000189635.1	62
003719155.1	63
000313135.1	64
HAP2_Chlamy	65
000190715.1	66
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00069_38 (TBA)	67
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold50355_1 (1 ORF scaffold)	68
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold00713_2 (TBA)	69
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold31711_5 (1 ORF scaffold)	70
MGYP000681001372	71
MGYP000179698888-RLG58774.1 (Candidatus Geothermarchaeota B85_G16)	72
RLI53188.1 (Candidatus Thorarchaeota archaeon)	73
HHR27186.1 (Candidatus Bathyarchaeota archaeon)	74
MGYP000598426430-1548 (Archaea;Euryarchaeota;Halobacteria;Halobacteriales)	75
mc1328965482|Representative=gi|998585003|gb|LFCJ01001378.1|_8/1661 (TBA)	76
LKMP01000007_1 (Nanohaloarchaea archaeon B1-Br10_U2g21)	77
WP_007110832.1 - WP_144240185.1 (Natrinema altunense (AJ2))	78
ELY83688.1 (JCM12890) (Natrinema altunense JCM12890))	79
lcl|NZ_CP071597.1_prot_WP_207587115.1_2894 (Halovivax sp. KZCA124)	80
WP_174701778.1 (Haloterrigena sp. SYSU A121-1)	81
MGYP000353818161	82
MGYP000005856144	83
MGYP000141506420	84
WP_058826362.1 (Haloferax sp. Q22)	85
WP_049937247.1 - WP_157573584.1 (Haloplanus natans DSM 17983)	86
MGYP000648692434	87
MGYP000103175163	88
