# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000001.1	769	1809	-							EYP13_00005	1041		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000001.1	769	1809	-	HID08590.1			flippase-like domain-containing protein			EYP13_00005	1041	346	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000002.1	110	1171	+					pheS		EYP13_00010	1062		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000002.1	110	1171	+	HID08591.1			phenylalanine--tRNA ligase subunit alpha	pheS		EYP13_00010	1062	353	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	147	530	+							EYP13_00015	384		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	147	530	+	HID08592.1			Hsp20/alpha crystallin family protein			EYP13_00015	384	127	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	559	978	+							EYP13_00020	420		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	559	978	+	HID08593.1			hypothetical protein			EYP13_00020	420	139	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	978	1241	+							EYP13_00025	264		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	978	1241	+	HID08594.1			hypothetical protein			EYP13_00025	264	87	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	1242	1505	+							EYP13_00030	264		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	1242	1505	+	HID08595.1			hypothetical protein			EYP13_00030	264	87	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	1498	1839	-							EYP13_00035	342		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000003.1	1498	1839	-	HID08596.1			hypothetical protein			EYP13_00035	342	113	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000004.1	1	870	-							EYP13_00040	870		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000004.1	1	870	-	HID08597.1			dipeptide epimerase			EYP13_00040	870	290	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000004.1	912	1262	+							EYP13_00045	351		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000004.1	912	1262	+	HID08598.1			transcriptional regulator			EYP13_00045	351	116	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000005.1	1	985	+							EYP13_00050	985		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000005.1	1	985	+	HID08599.1			hypothetical protein			EYP13_00050	985	327	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000006.1	4	660	+							EYP13_00055	657		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000006.1	4	660	+	HID08600.1			50S ribosomal protein L1			EYP13_00055	657	218	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000006.1	662	1336	+					rplJ		EYP13_00060	675		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000006.1	662	1336	+	HID08601.1			50S ribosomal protein L10	rplJ		EYP13_00060	675	225	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000008.1	1	421	-							EYP13_00065	421		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000008.1	1	421	-	HID08602.1			hypothetical protein			EYP13_00065	421	140	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000008.1	509	1018	-							EYP13_00070	510		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000008.1	509	1018	-	HID08603.1			hypothetical protein			EYP13_00070	510	169	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000008.1	1360	1746	-							EYP13_00075	387		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000008.1	1360	1746	-	HID08604.1			metal-dependent hydrolase			EYP13_00075	387	128	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000009.1	1	530	+							EYP13_00080	530		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000009.1	1	530	+	HID08605.1			hypothetical protein			EYP13_00080	530	175	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000009.1	586	1423	+							EYP13_00085	838		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000009.1	586	1423	+	HID08606.1			DUF3552 domain-containing protein			EYP13_00085	838	279	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000010.1	195	1281	+							EYP13_00090	1087		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000010.1	195	1281	+	HID08607.1			ABC transporter substrate-binding protein			EYP13_00090	1087	362	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000011.1	1	245	-							EYP13_00095	245		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000011.1	1	245	-	HID08608.1			hypothetical protein			EYP13_00095	245	82	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000011.1	296	658	+							EYP13_00100	363		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000011.1	296	658	+	HID08609.1			hypothetical protein			EYP13_00100	363	120	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000011.1	652	1236	-							EYP13_00105	585		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000011.1	652	1236	-	HID08610.1			proline--tRNA ligase			EYP13_00105	585	194	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000012.1	1	75	-					rpl11p		EYP13_00110	75		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000012.1	1	75	-	HID08611.1			50S ribosomal protein L11	rpl11p		EYP13_00110	75	25	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000012.1	72	551	-							EYP13_00115	480		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000012.1	72	551	-	HID08612.1			transcription elongation factor Spt5			EYP13_00115	480	159	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000012.1	561	731	-							EYP13_00120	171		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000012.1	561	731	-	HID08613.1			protein translocase SEC61 complex subunit gamma			EYP13_00120	171	56	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000012.1	748	1499	-							EYP13_00125	752		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000012.1	748	1499	-	HID08614.1			cell division protein FtsZ			EYP13_00125	752	249	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000013.1	1	233	+							EYP13_00130	233		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000013.1	1	233	+	HID08615.1			transporter substrate-binding domain-containing protein			EYP13_00130	233	76	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000013.1	257	958	+							EYP13_00135	702		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000013.1	257	958	+	HID08616.1			amino acid ABC transporter permease			EYP13_00135	702	233	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000013.1	955	1351	+							EYP13_00140	397		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000013.1	955	1351	+	HID08617.1			amino acid ABC transporter ATP-binding protein			EYP13_00140	397	132	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000014.1	488	1240	-					serS		EYP13_00145	753		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000014.1	488	1240	-	HID08618.1			serine--tRNA ligase	serS		EYP13_00145	753	250	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000015.1	194	397	-							EYP13_00150	204		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000015.1	194	397	-	HID08619.1			hypothetical protein			EYP13_00150	204	67	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000015.1	433	651	-							EYP13_00155	219		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000015.1	433	651	-	HID08620.1			hypothetical protein			EYP13_00155	219	72	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000015.1	635	835	-							EYP13_00160	201		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000015.1	635	835	-	HID08621.1			hypothetical protein			EYP13_00160	201	66	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000015.1	835	1116	-							EYP13_00165	282		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000015.1	835	1116	-	HID08622.1			hypothetical protein			EYP13_00165	282	93	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000016.1	1	301	+							EYP13_00170	301		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000016.1	1	301	+	HID08623.1			histidine kinase			EYP13_00170	301	99	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000016.1	282	1244	-							EYP13_00175	963		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000016.1	282	1244	-	HID08624.1			cation transporter			EYP13_00175	963	320	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000016.1	1248	1466	-							EYP13_00180	219		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000016.1	1248	1466	-	HID08625.1			hypothetical protein			EYP13_00180	219	72	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000017.1	1	169	-							EYP13_00185	169		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000017.1	1	169	-	HID08626.1			DNA-binding protein			EYP13_00185	169	56	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000017.1	758	2677	-							EYP13_00190	1920		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000017.1	758	2677	-	HID08627.1			hypothetical protein			EYP13_00190	1920	639	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000017.1	2763	3986	-							EYP13_00195	1224		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000017.1	2763	3986	-	HID08628.1			toprim domain-containing protein			EYP13_00195	1224	407	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000018.1	1	572	+							EYP13_00200	572		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000018.1	1	572	+	HID08629.1			DedA family protein			EYP13_00200	572	189	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000018.1	563	991	-							EYP13_00205	429		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000018.1	563	991	-	HID08630.1			hypothetical protein			EYP13_00205	429	142	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000019.1	22	1260	+							EYP13_00210	1239		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000019.1	22	1260	+	HID08631.1			ABC transporter substrate-binding protein			EYP13_00210	1239	413	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000020.1	385	747	-							EYP13_00215	363		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000020.1	385	747	-	HID08632.1			hypothetical protein			EYP13_00215	363	120	
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000021.1	160	1784	+							EYP13_00220	1625		partial
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000021.1	160	1784	+	HID08633.1			hypothetical protein			EYP13_00220	1625	542	partial
gene	protein_coding	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000022.1	50	451	+							EYP13_00225	402		
CDS	with_protein	GCA_012962785.1	Primary Assembly	unplaced scaffold		DTWW01000022.1	50	451	+	HID08634.1			hypothetical protein			EYP13_00225	402	133	
