genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.17	G3I44_00085	argF	Ornithine carbamoyltransferase (EC 2.1.3.3)	2.1.3.3	Ornithine carbamoyltransferase	00330	Arginine and proline metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.24	G3I44_00120	argH	Argininosuccinate lyase (EC 4.3.2.1)	4.3.2.1	Argininosuccinate lyase	00250	Alanine, aspartate and glutamate metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.24	G3I44_00120	argH	Argininosuccinate lyase (EC 4.3.2.1)	4.3.2.1	Argininosuccinate lyase	00330	Arginine and proline metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.25	G3I44_00125		Argininosuccinate synthase (EC 6.3.4.5)	6.3.4.5	Argininosuccinate synthase	00250	Alanine, aspartate and glutamate metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.25	G3I44_00125		Argininosuccinate synthase (EC 6.3.4.5)	6.3.4.5	Argininosuccinate synthase	00330	Arginine and proline metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.31	G3I44_00150	glyS	Glycyl-tRNA synthetase (EC 6.1.1.14)	6.1.1.14	Glycine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.36	G3I44_00170		Archaeal DNA polymerase II large subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	00230	Purine metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.36	G3I44_00170		Archaeal DNA polymerase II large subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	00240	Pyrimidine metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.38	G3I44_00180		2-dehydropantoate 2-reductase (EC 1.1.1.169)	1.1.1.169	2-dehydropantoate 2-reductase	00770	Pantothenate and CoA biosynthesis
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.50	G3I44_00235		Uroporphyrinogen-III synthase (EC 4.2.1.75)	4.2.1.75	Uroporphyrinogen-III synthase	00860	Porphyrin and chlorophyll metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.51	G3I44_00240	cobA	Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	2.1.1.107	Uroporphyrinogen-III C-methyltransferase	00860	Porphyrin and chlorophyll metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.52	G3I44_00245	hemC	Porphobilinogen deaminase (EC 2.5.1.61)	2.5.1.61	Hydroxymethylbilane synthase	00860	Porphyrin and chlorophyll metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.56	G3I44_00265		Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	5.4.3.8	Glutamate-1-semialdehyde 2,1-aminomutase	00860	Porphyrin and chlorophyll metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.60	G3I44_00285	hemB	Porphobilinogen synthase (EC 4.2.1.24)	4.2.1.24	Porphobilinogen synthase	00860	Porphyrin and chlorophyll metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.81	G3I44_00380		Cysteine desulfurase (EC 2.8.1.7) => SufS	2.8.1.7	Cysteine desulfurase	00730	Thiamine metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.94	G3I44_00445		D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.1.1.95	Phosphoglycerate dehydrogenase	00260	Glycine, serine and threonine metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.94	G3I44_00445		D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1.1.1.95	Phosphoglycerate dehydrogenase	00680	Methane metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.100	G3I44_00475	fliE	Dephospho-CoA kinase archaeal, predicted (EC 2.7.1.24)	2.7.1.24	Dephospho-CoA kinase	00770	Pantothenate and CoA biosynthesis
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.106	G3I44_00510		Serine/threonine-protein kinase RIO1 (EC 2.7.11.1)	2.7.11.1	Non-specific serine/threonine protein kinase	04150	mTOR signaling pathway
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.109	G3I44_00525		Tyrosyl-tRNA synthetase (EC 6.1.1.1)	6.1.1.1	Tyrosine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.110	G3I44_00530		Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	3.6.1.17	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)	00230	Purine metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.110	G3I44_00530		Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	3.6.1.17	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)	00240	Pyrimidine metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.134	G3I44_00650		Alanyl-tRNA synthetase (EC 6.1.1.7)	6.1.1.7	Alanine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.141	G3I44_00685		Phosphomannomutase (EC 5.4.2.8)	5.4.2.8	Phosphomannomutase	00051	Fructose and mannose metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.141	G3I44_00685		Phosphomannomutase (EC 5.4.2.8)	5.4.2.8	Phosphomannomutase	00520	Amino sugar and nucleotide sugar metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.144	G3I44_00700	surE	5'-nucleotidase SurE (EC 3.1.3.5)	3.1.3.5	5'-nucleotidase	00230	Purine metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.144	G3I44_00700	surE	5'-nucleotidase SurE (EC 3.1.3.5)	3.1.3.5	5'-nucleotidase	00240	Pyrimidine metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.144	G3I44_00700	surE	5'-nucleotidase SurE (EC 3.1.3.5)	3.1.3.5	5'-nucleotidase	00760	Nicotinate and nicotinamide metabolism
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.149	G3I44_00720	rpiA	Ribose-5-phosphate isomerase A (EC 5.3.1.6)	5.3.1.6	Ribose-5-phosphate isomerase	00030	Pentose phosphate pathway
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.149	G3I44_00720	rpiA	Ribose-5-phosphate isomerase A (EC 5.3.1.6)	5.3.1.6	Ribose-5-phosphate isomerase	00710	Carbon fixation in photosynthetic organisms
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.184	G3I44_00870		Adenosylhomocysteinase (EC 3.3.1.1)	3.3.1.1	Adenosylhomocysteinase	00270	Cysteine and methionine metabolism
