genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.1	G3I44_00005	276	986	-	711		hypothetical protein	PLF_60846_00004524	PGF_01830723
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.2	G3I44_00010	1129	1587	-	459		hypothetical protein	PLF_60846_00004524	PGF_01830723
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.3	G3I44_00015	1626	2489	-	864		hypothetical protein	PLF_60846_00004524	PGF_01830723
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.4	G3I44_00020	2486	3046	-	561		hypothetical protein	PLF_60846_00007324	PGF_12151686
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.5	G3I44_00025	3043	3225	-	183		hypothetical protein		
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	repeat_region	fig|60847.21.repeat.1		3227	4070	+	844		repeat region		
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	tRNA	fig|60847.21.rna.1	G3I44_00030	3503	3575	-	73		tRNA-Arg		
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.6	G3I44_00035	4091	5065	+	975		hypothetical protein	PLF_60846_00000001	PGF_08225224
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	repeat_region	fig|60847.21.repeat.2		4232	4623	+	392		repeat region		
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.7	G3I44_00040	5068	6027	+	960		hypothetical protein	PLF_60846_00002983	PGF_07306811
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.8		6141	6866	+	726		hypothetical protein	PLF_60846_00002737	PGF_08225224
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	repeat_region	fig|60847.21.repeat.3		6257	6364	+	108		repeat region		
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.9	G3I44_00050	6863	7822	+	960		hypothetical protein	PLF_60846_00006853	PGF_11905582
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.10	G3I44_00055	7931	8128	+	198		hypothetical protein	PLF_60846_00001715	PGF_00274887
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.11	G3I44_00060	8176	8688	+	513		hypothetical protein	PLF_60846_00001716	PGF_07150286
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.12	G3I44_00065	8708	10084	-	1377		Cytochrome P450	PLF_60846_00000059	PGF_00420171
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.13	G3I44_00070	10154	12331	-	2178		ERCC2/XPD/Rad3-related DNA repair helicase	PLF_60846_00000513	PGF_00011075
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.14		12528	12710	-	183		hypothetical protein		
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.15	G3I44_00075	12740	12886	+	147		hypothetical protein	PLF_60846_00004292	PGF_07081952
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.16	G3I44_00080	13003	13464	+	462		hypothetical protein	PLF_60846_00000197	PGF_08225224
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.17	G3I44_00085	13504	14403	-	900	argF	Ornithine carbamoyltransferase (EC 2.1.3.3)	PLF_60846_00000793	PGF_02346669
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.18	G3I44_00090	14409	15482	-	1074		[LysW]-lysine hydrolase @ [LysW]-ornithine hydrolase	PLF_60846_00000324	PGF_00027000
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.19	G3I44_00095	15479	16615	-	1137		[LysW]-aminoadipate semialdehyde transaminase @ [LysW]-glutamate semialdehyde transaminase	PLF_60846_00000323	PGF_00023743
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.20	G3I44_00100	16612	17589	-	978		[LysW]-aminoadipate kinase @ [LysW]-glutamate kinase	PLF_60846_00000322	PGF_05409872
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.21	G3I44_00105	17664	18722	-	1059		[LysW]-L-2-aminoadipate 6-phosphate reductase @ [LysW]-gamma-glutamyl-phosphate reductase	PLF_60846_00000718	PGF_08280070
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.22	G3I44_00110	18719	19594	-	876	lysX	alpha-aminoadipate--LysW ligase (EC 6.3.2.43) @ Glutamate--LysW ligase	PLF_60846_00000346	PGF_12771415
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.23	G3I44_00115	19596	19775	-	180	lysW	hypothetical protein	PLF_60846_00001740	PGF_01851618
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.24	G3I44_00120	20012	21481	-	1470	argH	Argininosuccinate lyase (EC 4.3.2.1)	PLF_60846_00000365	PGF_02620298
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.25	G3I44_00125	21485	22720	-	1236		Argininosuccinate synthase (EC 6.3.4.5)	PLF_60846_00000366	PGF_02862285
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.26		22889	23134	+	246		hypothetical protein		
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.27	G3I44_00130	23297	25153	+	1857		hypothetical protein		PGF_00190592
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.28	G3I44_00135	25176	26378	-	1203		hypothetical protein	PLF_60846_00001112	PGF_10446827
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.29	G3I44_00140	26378	26863	-	486		hypothetical protein	PLF_60846_00001741	PGF_00169791
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.30	G3I44_00145	26939	27565	-	627		hypothetical protein	PLF_60846_00005496	PGF_00254399
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.31	G3I44_00150	27572	29362	-	1791	glyS	Glycyl-tRNA synthetase (EC 6.1.1.14)	PLF_60846_00000590	PGF_00009966
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.32	G3I44_00155	29363	30208	-	846		FIG044987: protein with 4 CBS domains	PLF_60846_00000543	PGF_00003106
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.33	G3I44_00160	30326	30826	-	501		hypothetical protein	PLF_60846_00004837	PGF_10767645
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.34		30953	31120	+	168		hypothetical protein	PLF_60846_00007471	PGF_11624401
60847.21	Halogeometricum borinquense strain wsp4	CP048739	PATRIC	CDS	fig|60847.21.peg.35	G3I44_00165	31307	31726	+	420		hypothetical protein	PLF_60846_00001111	PGF_00085457
